Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
HR00,2010,812798,1219197,75208,112812,255038,382557,0,0
HR00,2011,806715,1210073,74567,111851,257748,386622,0,0
HR00,2012,800632,1200948,73927,110891,260458,390688,0,0
HR00,2013,794549,1191823,73287,109931,263169,394753,0,0
HR00,2014,788466,1182699,72647,108971,265879,398819,0,0
HR00,2015,782383,1173574,72007,108010,268589,402884,0,0
HR00,2016,782287,1173431,73391,110087,268622,402934,2372,3558
HR00,2017,782192,1173288,74776,112164,268656,402984,4744,7116
HR00,2018,782097,1173145,76161,114241,268689,403034,7116,10674
HR00,2019,782001,1173002,77545,116318,268722,403084,9488,14232
HR00,2020,781906,1172859,78930,118395,268756,403134,11860,17790
HR00,2021,781149,1171724,79027,118540,269486,404229,12764,19147
HR00,2022,780393,1170590,79124,118686,270216,405324,13669,20504
HR00,2023,779636,1169455,79220,118831,270946,406420,14574,21862
HR00,2024,778880,1168320,79317,118976,271676,407515,15479,23219
HR00,2025,778124,1167186,79414,119121,272407,408610,16384,24577
HR00,2026,776463,1164695,78399,117599,274088,411132,15669,23504
HR00,2027,774803,1162204,77384,116076,275770,413655,14954,22432
HR00,2028,773142,1159713,76369,114553,277451,416177,14239,21359
HR00,2029,771482,1157223,75354,113031,279132,418699,13524,20286
HR00,2030,769821,1154732,74339,111508,280814,421221,12809,19214
HR00,2031,769882,1154824,76796,115194,280829,421244,15711,23566
HR00,2032,769943,1154915,79252,118879,280845,421267,18612,27919
HR00,2033,770004,1155007,81709,122564,280860,421290,21514,32271
HR00,2034,770066,1155099,84166,126249,280875,421313,24416,36624
HR00,2035,770127,1155190,86623,129934,280891,421336,27317,40976
HR00,2036,770318,1155478,87650,131475,280700,421050,28680,43021
HR00,2037,770510,1155765,88677,133016,280510,420765,30044,45066
HR00,2038,770702,1156053,89704,134557,280319,420479,31407,47110
HR00,2039,770893,1156340,90732,136098,280128,420193,32770,49155
HR00,2040,771085,1156628,91759,137638,279938,419907,34133,51200
HR00,2041,773817,1160726,92515,138772,277206,415810,35316,52974
HR00,2042,776549,1164824,93270,139906,274475,411713,36499,54749
HR00,2043,779281,1168922,94026,141040,271743,407615,37682,56524
HR00,2044,782013,1173020,94782,142173,269012,403518,38865,58298
HR00,2045,784745,1177118,95538,143307,266280,399421,40048,60073
HR00,2046,784718,1177077,95794,143691,266302,399453,40322,60483
HR00,2047,784691,1177037,96050,144075,266324,399486,40596,60894
HR00,2048,784664,1176996,96305,144458,266346,399519,40870,61305
HR00,2049,784637,1176956,96561,144842,266367,399551,41143,61715
HR00,2050,784610,1176915,96817,145226,266389,399584,41417,62126
HR00,2051,784622,1176933,97153,145730,266378,399567,41831,62746
HR00,2052,784634,1176951,97489,146234,266367,399551,42244,63366
HR00,2053,784645,1176968,97825,146738,266356,399534,42657,63986
HR00,2054,784657,1176986,98161,147242,266345,399518,43071,64607
HR00,2055,784669,1177004,98497,147746,266334,399501,43484,65227
HR00,2056,784616,1176924,98464,147697,266387,399581,43396,65095
HR00,2057,784563,1176845,98432,147648,266441,399661,43309,64963
HR00,2058,784510,1176765,98399,147599,266494,399742,43221,64831
HR00,2059,784457,1176685,98367,147550,266548,399822,43133,64700
HR00,2060,784404,1176606,98334,147501,266601,399902,43045,64568
HR00,2061,784272,1176409,98521,147782,266732,400099,43048,64573
HR00,2062,784141,1176212,98709,148063,266864,400296,43052,64578
HR00,2063,784010,1176016,98896,148344,266995,400492,43055,64582
HR00,2064,783879,1175819,99083,148625,267126,400689,43058,64587
HR00,2065,783748,1175623,99271,148906,267257,400886,43061,64592
HR00,2066,783632,1175448,99248,148873,267372,401059,42956,64434
HR00,2067,783516,1175274,99226,148839,267488,401232,42850,64276
HR00,2068,783400,1175100,99204,148806,267603,401404,42745,64117
HR00,2069,783284,1174926,99181,148772,267718,401577,42639,63959
HR00,2070,783168,1174752,99159,148738,267833,401750,42534,63801
