Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
MT00,2010,7851,11776,2174,3261,924,1386,0,0
MT00,2011,7741,11611,2132,3198,952,1428,0,0
MT00,2012,7631,11446,2089,3134,981,1471,0,0
MT00,2013,7520,11281,2047,3070,1009,1514,0,0
MT00,2014,7410,11116,2004,3007,1038,1557,0,0
MT00,2015,7300,10951,1962,2943,1067,1600,0,0
MT00,2016,7289,10934,1955,2933,1074,1611,0,0
MT00,2017,7278,10918,1948,2922,1081,1622,0,0
MT00,2018,7267,10901,1941,2912,1088,1633,0,0
MT00,2019,7256,10884,1934,2902,1096,1644,0,0
MT00,2020,7245,10868,1928,2892,1103,1654,0,0
MT00,2021,7243,10865,1900,2851,1108,1662,0,0
MT00,2022,7241,10861,1873,2810,1113,1669,0,0
MT00,2023,7238,10858,1846,2769,1118,1677,0,0
MT00,2024,7236,10854,1819,2728,1123,1684,0,0
MT00,2025,7234,10851,1792,2688,1128,1692,0,0
MT00,2026,7233,10849,1780,2670,1133,1700,16,24
MT00,2027,7231,10847,1768,2652,1138,1708,32,48
MT00,2028,7230,10845,1756,2635,1144,1716,48,72
MT00,2029,7229,10843,1745,2617,1149,1724,64,96
MT00,2030,7228,10842,1733,2600,1155,1732,80,120
MT00,2031,7214,10821,1719,2579,1160,1740,86,130
MT00,2032,7200,10801,1705,2558,1165,1748,93,140
MT00,2033,7187,10780,1691,2537,1171,1756,100,150
MT00,2034,7173,10760,1677,2516,1176,1764,106,160
MT00,2035,7160,10740,1664,2496,1181,1772,113,170
MT00,2036,7153,10729,1656,2484,1188,1783,123,185
MT00,2037,7146,10719,1648,2473,1196,1794,133,200
MT00,2038,7139,10709,1641,2462,1203,1804,143,215
MT00,2039,7133,10699,1633,2450,1210,1815,153,229
MT00,2040,7126,10689,1626,2439,1217,1826,163,244
MT00,2041,7130,10695,1627,2441,1224,1837,181,271
MT00,2042,7134,10701,1628,2442,1232,1848,199,298
MT00,2043,7138,10707,1629,2444,1239,1858,216,325
MT00,2044,7142,10713,1630,2446,1246,1869,234,352
MT00,2045,7146,10719,1632,2448,1253,1880,252,379
MT00,2046,7135,10703,1630,2445,1265,1897,262,393
MT00,2047,7124,10686,1628,2443,1276,1914,271,407
MT00,2048,7113,10669,1627,2440,1288,1932,280,420
MT00,2049,7102,10653,1625,2438,1299,1949,289,434
MT00,2050,7091,10636,1624,2436,1311,1966,299,448
MT00,2051,7104,10656,1622,2433,1308,1962,327,490
MT00,2052,7118,10677,1620,2431,1304,1957,354,532
MT00,2053,7131,10697,1619,2428,1301,1952,382,574
MT00,2054,7144,10717,1617,2426,1298,1947,410,615
MT00,2055,7158,10737,1616,2424,1295,1942,438,657
MT00,2056,7172,10758,1684,2526,1283,1924,512,768
MT00,2057,7186,10779,1752,2629,1270,1906,586,880
MT00,2058,7200,10800,1821,2732,1258,1888,661,991
MT00,2059,7214,10822,1889,2834,1246,1869,735,1103
MT00,2060,7228,10843,1958,2937,1234,1851,809,1214
MT00,2061,7232,10848,1955,2933,1231,1846,811,1217
MT00,2062,7235,10853,1952,2928,1227,1841,813,1219
MT00,2063,7238,10858,1949,2924,1224,1836,814,1222
MT00,2064,7242,10863,1946,2920,1220,1831,816,1224
MT00,2065,7245,10868,1944,2916,1217,1826,818,1227
MT00,2066,7236,10854,1852,2778,1228,1842,727,1090
MT00,2067,7226,10839,1760,2641,1238,1857,635,953
MT00,2068,7216,10825,1669,2504,1248,1873,544,816
MT00,2069,7207,10810,1577,2366,1259,1888,452,679
MT00,2070,7197,10796,1486,2229,1269,1904,361,542
