Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
NL00,2010,841489,1262234,126840,190260,661267,991900,0,0
NL00,2011,849631,1274446,132952,199428,652931,979397,0,0
NL00,2012,857772,1286658,139065,208597,644596,966894,0,0
NL00,2013,865913,1298870,145177,217766,636260,954390,0,0
NL00,2014,874055,1311083,151290,226935,627925,941887,0,0
NL00,2015,882196,1323295,157403,236104,619589,929384,0,0
NL00,2016,879187,1318780,155753,233629,619577,929366,0,0
NL00,2017,876177,1314265,154103,231155,619566,929349,0,0
NL00,2018,873167,1309751,152453,228680,619554,929331,0,0
NL00,2019,870157,1305236,150803,226205,619542,929314,0,0
NL00,2020,867148,1300722,149153,223730,619531,929296,0,0
NL00,2021,864191,1296287,147675,221512,619528,929292,55,83
NL00,2022,861234,1291852,146196,219294,619524,929287,110,166
NL00,2023,858278,1287417,144717,217076,619521,929282,166,249
NL00,2024,855321,1282982,143239,214859,619518,929277,221,332
NL00,2025,852364,1278547,141760,212641,619515,929272,276,415
NL00,2026,849422,1274134,141596,212394,619512,929268,328,492
NL00,2027,846480,1269721,141431,212146,619509,929264,380,570
NL00,2028,843539,1265308,141266,211899,619506,929259,431,647
NL00,2029,840597,1260895,141101,211652,619503,929255,483,725
NL00,2030,837655,1256482,140936,211405,619500,929251,535,802
NL00,2031,834764,1252147,142061,213092,619505,929258,690,1035
NL00,2032,831874,1247812,143187,214780,619510,929265,845,1268
NL00,2033,828984,1243476,144312,216468,619514,929272,1000,1501
NL00,2034,826094,1239141,145437,218155,619519,929279,1156,1734
NL00,2035,823204,1234806,146562,219843,619524,929286,1311,1966
NL00,2036,820334,1230501,147285,220928,619531,929297,1048,1573
NL00,2037,817464,1226196,148008,222013,619538,929308,786,1180
NL00,2038,814594,1221891,148732,223098,619546,929319,524,786
NL00,2039,811724,1217586,149455,224182,619553,929330,262,393
NL00,2040,808854,1213281,150178,225267,619560,929341,0,0
NL00,2041,806011,1209017,151171,226757,619566,929349,0,0
NL00,2042,803168,1204752,152164,228247,619571,929357,0,0
NL00,2043,800325,1200487,153158,229737,619576,929364,0,0
NL00,2044,797482,1196223,154151,231227,619581,929372,0,0
NL00,2045,794639,1191958,155144,232717,619587,929380,0,0
NL00,2046,791824,1187737,155846,233769,619590,929385,0,0
NL00,2047,789010,1183516,156548,234822,619592,929389,0,0
NL00,2048,786196,1179294,157250,235875,619595,929393,0,0
NL00,2049,783382,1175073,157951,236927,619598,929398,0,0
NL00,2050,780568,1170852,158653,237980,619601,929402,0,0
NL00,2051,777781,1166672,159361,239042,619600,929401,0,0
NL00,2052,774994,1162492,160069,240104,619600,929400,0,0
NL00,2053,772208,1158312,160777,241166,619599,929398,0,0
NL00,2054,769421,1154132,161485,242228,619598,929397,0,0
NL00,2055,766635,1149952,162193,243290,619597,929396,0,0
NL00,2056,763881,1145821,162934,244402,619598,929397,0,0
NL00,2057,761127,1141691,163675,245513,619598,929397,0,0
NL00,2058,758373,1137560,164416,246625,619599,929398,0,0
NL00,2059,755619,1133429,165158,247737,619599,929399,0,0
NL00,2060,752865,1129298,165899,248848,619600,929400,0,0
NL00,2061,750132,1125198,167416,251124,619599,929399,278,417
NL00,2062,747399,1121099,168933,253400,619598,929398,556,835
NL00,2063,744666,1117000,170451,255676,619598,929397,835,1252
NL00,2064,741933,1112900,171968,257952,619597,929396,1113,1670
NL00,2065,739200,1108801,173485,260228,619596,929395,1392,2088
NL00,2066,736491,1104736,174930,262396,619595,929393,1552,2328
NL00,2067,733781,1100672,176375,264563,619593,929390,1712,2568
NL00,2068,731072,1096608,177820,266731,619592,929388,1872,2809
NL00,2069,728362,1092543,179266,268899,619591,929386,2033,3049
NL00,2070,725652,1088479,180711,271066,619589,929384,2193,3290
NL11,2010,99152,148729,4821,7232,71111,106666,0,0
NL11,2011,99954,149931,5328,7992,70212,105319,0,0
NL11,2012,100755,151133,5834,8752,69314,103972,0,0
NL11,2013,101557,152335,6341,9511,68416,102624,0,0
NL11,2014,102358,153537,6847,10271,67518,101277,0,0
NL11,2015,103160,154740,7354,11031,66620,99930,0,0
NL11,2016,103420,155130,7255,10882,66578,99867,0,0
NL11,2017,103680,155520,7155,10733,66536,99805,0,0
NL11,2018,103940,155911,7056,10584,66495,99742,0,0
NL11,2019,104201,156301,6956,10435,66453,99680,0,0
NL11,2020,104461,156692,6857,10286,66412,99618,0,0
NL11,2021,104999,157498,6817,10226,66170,99255,5,8
NL11,2022,105536,158305,6777,10165,65928,98892,10,16
NL11,2023,106074,159111,6737,10105,65686,98529,16,24
NL11,2024,106612,159918,6696,10045,65444,98166,21,32
NL11,2025,107149,160724,6656,9985,65202,97803,27,40
NL11,2026,107513,161270,6726,10090,65041,97561,33,50
NL11,2027,107877,161815,6796,10194,64880,97320,39,59
NL11,2028,108241,162361,6866,10299,64719,97078,45,68
NL11,2029,108604,162907,6936,10404,64557,96836,52,78
NL11,2030,108968,163453,7006,10509,64396,96595,58,87
NL11,2031,109237,163855,7090,10635,64279,96419,75,113
NL11,2032,109505,164258,7174,10761,64161,96242,92,138
NL11,2033,109773,164660,7257,10886,64044,96066,109,164
NL11,2034,110042,165063,7341,11012,63927,95890,126,190
