Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
PL00,2010,10404020,15606030,526415,789622,2558316,3837475,0,0
PL00,2011,10409234,15613852,534025,801037,2550037,3825056,0,0
PL00,2012,10414449,15621674,541635,812453,2541759,3812638,0,0
PL00,2013,10419664,15629496,549245,823868,2533480,3800220,0,0
PL00,2014,10424879,15637319,556855,835283,2525201,3787801,0,0
PL00,2015,10430094,15645141,564465,846698,2516922,3775383,0,0
PL00,2016,10405051,15607577,569876,854814,2515769,3773654,263,394
PL00,2017,10380009,15570013,575286,862929,2514616,3771925,526,789
PL00,2018,10354966,15532450,580696,871045,2513464,3770196,789,1184
PL00,2019,10329924,15494886,586107,879160,2512311,3768466,1052,1579
PL00,2020,10304881,15457322,591517,887276,2511158,3766737,1316,1974
PL00,2021,10279150,15418725,595010,892516,2511080,3766620,1388,2082
PL00,2022,10253418,15380128,598503,897755,2511002,3766504,1460,2191
PL00,2023,10227687,15341531,601996,902995,2510925,3766387,1533,2300
PL00,2024,10201956,15302934,605490,908235,2510847,3766271,1605,2408
PL00,2025,10176224,15264337,608983,913474,2510769,3766154,1678,2517
PL00,2026,10150881,15226322,613755,920633,2510755,3766133,3357,5036
PL00,2027,10125538,15188308,618528,927792,2510742,3766113,5036,7554
PL00,2028,10100195,15150293,623301,934951,2510728,3766092,6715,10073
PL00,2029,10074852,15112278,628073,942110,2510714,3766071,8394,12591
PL00,2030,10049509,15074264,632846,949269,2510700,3766051,10073,15110
PL00,2031,10024643,15036965,635365,953048,2510777,3766165,10688,16032
PL00,2032,9999777,14999665,637884,956827,2510853,3766280,11303,16954
PL00,2033,9974910,14962366,640404,960606,2510930,3766395,11917,17876
PL00,2034,9950044,14925066,642923,964384,2511006,3766510,12532,18798
PL00,2035,9925178,14887767,645442,968163,2511083,3766624,13147,19720
PL00,2036,9900609,14850914,650306,975459,2511133,3766700,16548,24823
PL00,2037,9876040,14814061,655170,982756,2511183,3766775,19950,29925
PL00,2038,9851472,14777208,660034,990052,2511233,3766850,23352,35028
PL00,2039,9826903,14740354,664899,997348,2511284,3766926,26753,40130
PL00,2040,9802334,14703501,669763,1004644,2511334,3767001,30155,45232
PL00,2041,9777931,14666897,673820,1010730,2511390,3767085,48684,73026
PL00,2042,9753528,14630292,677878,1016817,2511446,3767170,67214,100821
PL00,2043,9729125,14593688,681935,1022903,2511502,3767254,85743,128615
PL00,2044,9704722,14557084,685992,1028989,2511559,3767338,104272,156409
PL00,2045,9680320,14520480,690050,1035075,2511615,3767422,122802,184203
PL00,2046,9656083,14484125,697332,1045998,2511707,3767561,131483,197225
PL00,2047,9631846,14447770,704613,1056920,2511799,3767699,140164,210247
PL00,2048,9607610,14411415,711895,1067843,2511891,3767837,148846,223269
PL00,2049,9583373,14375060,719177,1078766,2511983,3767975,157527,236291
PL00,2050,9559136,14338705,726459,1089688,2512076,3768114,166208,249313
PL00,2051,9535107,14302661,732437,1098656,2512078,3768117,175451,263177
PL00,2052,9511078,14266618,738416,1107624,2512080,3768120,184694,277041
PL00,2053,9487049,14230574,744395,1116593,2512082,3768124,193936,290905
PL00,2054,9463020,14194531,750374,1125561,2512084,3768127,203179,304769
PL00,2055,9438992,14158488,756352,1134529,2512087,3768130,212422,318633
PL00,2056,9415142,14122713,762388,1143582,2512106,3768159,215071,322607
PL00,2057,9391293,14086939,768423,1152635,2512125,3768187,217721,326581
PL00,2058,9367443,14051165,774458,1161688,2512144,3768216,220370,330556
PL00,2059,9343594,14015391,780494,1170741,2512163,3768245,223020,334530
PL00,2060,9319744,13979617,786529,1179794,2512182,3768273,225669,338504
PL00,2061,9296220,13944330,791808,1187712,2512155,3768233,228009,342014
PL00,2062,9272696,13909044,797086,1195629,2512128,3768193,230349,345524
PL00,2063,9249171,13873757,802364,1203547,2512102,3768153,232689,349034
PL00,2064,9225647,13838471,807643,1211464,2512075,3768113,235029,352544
PL00,2065,9202123,13803184,812921,1219382,2512048,3768073,237369,356054
PL00,2066,9178737,13768106,818061,1227092,2512037,3768055,235209,352814
PL00,2067,9155352,13733028,823202,1234803,2512025,3768038,233049,349574
PL00,2068,9131967,13697951,828342,1242513,2512014,3768021,230890,346335
PL00,2069,9108582,13662873,833482,1250224,2512002,3768004,228730,343095
PL00,2070,9085196,13627795,838623,1257934,2511991,3767986,226570,339855
PL11,2010,749940,1124910,49715,74572,142228,213343,0,0
PL11,2011,750635,1125953,50856,76285,140817,211226,0,0
PL11,2012,751330,1126996,51998,77997,139406,209110,0,0
PL11,2013,752026,1128039,53140,79710,137995,206993,0,0
PL11,2014,752721,1129082,54281,81422,136584,204876,0,0
PL11,2015,753416,1130125,55423,83134,135173,202760,0,0
PL11,2016,751000,1126500,56063,84094,135504,203256,18,27
PL11,2017,748583,1122874,56703,85054,135835,203752,36,54
PL11,2018,746166,1119249,57343,86014,136165,204248,54,81
PL11,2019,743749,1115624,57983,86974,136496,204744,72,108
PL11,2020,741332,1111999,58623,87934,136827,205240,90,135
PL11,2021,740161,1110242,59169,88754,135745,203618,95,143
PL11,2022,738990,1108486,59716,89574,134664,201996,100,150
PL11,2023,737819,1106729,60263,90395,133583,200375,105,157
PL11,2024,736648,1104972,60810,91215,132502,198753,110,165
PL11,2025,735477,1103216,61356,92035,131420,197131,115,172
PL11,2026,732393,1098589,61907,92860,132453,198680,230,345
PL11,2027,729308,1093963,62457,93686,133486,200229,345,517
PL11,2028,726224,1089336,63008,94512,134519,201778,460,690
PL11,2029,723140,1084710,63558,95337,135552,203328,575,863
PL11,2030,720056,1080084,64108,96163,136584,204877,690,1035
PL11,2031,717914,1076871,64571,96856,136755,205133,731,1097
PL11,2032,715772,1073659,65033,97549,136926,205389,772,1159
PL11,2033,713631,1070446,65495,98243,137097,205646,814,1221
PL11,2034,711489,1067234,65957,98936,137268,205902,855,1283
PL11,2035,709348,1064022,66420,99630,137439,206158,896,1345
PL11,2036,706724,1060087,66959,100438,138045,207068,1128,1692
PL11,2037,704101,1056152,67498,101247,138652,207978,1359,2039
PL11,2038,701478,1052218,68037,102055,139259,208889,1591,2387
PL11,2039,698855,1048283,68576,102864,139866,209799,1822,2734
PL11,2040,696232,1044349,69115,103672,140472,210709,2054,3081
PL11,2041,695004,1042506,69593,104390,139750,209626,3328,4992
PL11,2042,693776,1040664,70071,105107,139028,208543,4601,6902
PL11,2043,692548,1038822,70549,105824,138307,207460,5875,8812
PL11,2044,691320,1036980,71028,106542,137585,206377,7148,10723
PL11,2045,690092,1035138,71506,107259,136863,205294,8422,12633
PL11,2046,688830,1033245,72028,108042,136164,204246,9029,13543
PL11,2047,687568,1031352,72550,108826,135465,203197,9636,14454
PL11,2048,686306,1029459,73073,109609,134766,202149,10243,15364
PL11,2049,685044,1027566,73595,110393,134067,201100,10849,16274
PL11,2050,683782,1025673,74117,111176,133368,200052,11456,17185
PL11,2051,682433,1023649,74561,111842,132810,199215,12089,18134
PL11,2052,681084,1021626,75005,112508,132252,198379,12722,19083
PL11,2053,679735,1019602,75450,113175,131695,197542,13355,20032
