Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
SI00,2010,161228,241843,21833,32750,222468,333703,0,0
SI00,2011,161081,241622,22100,33150,224350,336525,0,0
SI00,2012,160935,241402,22367,33550,226232,339348,0,0
SI00,2013,160788,241182,22633,33950,228113,342170,0,0
SI00,2014,160641,240961,22900,34350,229995,344992,0,0
SI00,2015,160494,240741,23167,34750,231876,347815,0,0
SI00,2016,160255,240382,23129,34694,231326,346990,16,24
SI00,2017,160015,240023,23092,34638,230776,346164,32,48
SI00,2018,159776,239664,23055,34583,230226,345339,48,72
SI00,2019,159536,239305,23018,34527,229676,344514,64,96
SI00,2020,159297,238946,22980,34471,229126,343689,80,120
SI00,2021,158459,237689,22956,34435,229130,343695,139,209
SI00,2022,157621,236432,22933,34399,229134,343702,199,299
SI00,2023,156783,235175,22909,34363,229138,343708,259,388
SI00,2024,155945,233918,22885,34328,229143,343714,318,478
SI00,2025,155108,232662,22861,34292,229147,343720,378,567
SI00,2026,154362,231544,22834,34252,229148,343722,353,530
SI00,2027,153617,230426,22807,34211,229149,343723,329,494
SI00,2028,152872,229308,22780,34171,229150,343725,304,457
SI00,2029,152126,228190,22754,34131,229151,343726,280,420
SI00,2030,151381,227072,22727,34090,229152,343728,256,384
SI00,2031,150603,225905,22938,34407,229158,343738,308,463
SI00,2032,149826,224739,23149,34724,229165,343748,361,542
SI00,2033,149048,223572,23361,35041,229172,343758,414,622
SI00,2034,148270,222405,23572,35358,229178,343768,467,701
SI00,2035,147492,221239,23784,35676,229185,343778,520,781
SI00,2036,146742,220114,24185,36278,229190,343785,536,804
SI00,2037,145992,218988,24587,36881,229194,343791,551,827
SI00,2038,145242,217863,24989,37484,229199,343798,566,850
SI00,2039,144492,216738,25391,38087,229203,343805,582,873
SI00,2040,143742,215613,25793,38690,229208,343812,597,896
SI00,2041,142980,214470,25952,38928,229213,343819,938,1407
SI00,2042,142218,213327,26111,39167,229218,343827,1278,1918
SI00,2043,141456,212184,26270,39405,229223,343835,1619,2429
SI00,2044,140694,211041,26429,39643,229228,343842,1960,2940
SI00,2045,139932,209898,26588,39882,229233,343850,2300,3451
SI00,2046,139200,208801,26635,39953,229236,343855,2399,3599
SI00,2047,138469,207704,26683,40025,229240,343860,2498,3747
SI00,2048,137738,206607,26731,40097,229243,343864,2596,3895
SI00,2049,137007,205510,26779,40169,229246,343869,2695,4043
SI00,2050,136276,204414,26827,40240,229249,343874,2794,4191
SI00,2051,136017,204026,26715,40073,229249,343874,2874,4312
SI00,2052,135759,203639,26603,39905,229249,343874,2955,4433
SI00,2053,135501,203251,26492,39738,229250,343875,3035,4553
SI00,2054,135243,202864,26380,39570,229250,343875,3116,4674
SI00,2055,134984,202477,26268,39403,229250,343875,3196,4795
SI00,2056,135108,202663,26272,39408,229250,343875,3199,4799
SI00,2057,135232,202849,26275,39413,229250,343875,3201,4802
SI00,2058,135356,203035,26279,39419,229250,343875,3204,4806
SI00,2059,135480,203221,26282,39424,229250,343875,3207,4810
SI00,2060,135604,203407,26286,39429,229250,343875,3209,4814
SI00,2061,135574,203361,26307,39461,229250,343876,3217,4826
SI00,2062,135544,203316,26329,39493,229251,343876,3226,4839
SI00,2063,135513,203270,26350,39526,229251,343877,3234,4851
SI00,2064,135483,203224,26372,39558,229251,343877,3242,4864
SI00,2065,135452,203179,26393,39590,229252,343878,3251,4876
SI00,2066,135428,203143,26372,39559,229281,343922,3219,4829
SI00,2067,135405,203107,26352,39528,229311,343967,3187,4781
SI00,2068,135381,203071,26331,39496,229341,344012,3155,4733
SI00,2069,135357,203036,26310,39465,229371,344057,3123,4685
SI00,2070,135333,203000,26289,39434,229401,344102,3092,4638
