Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
SK00,2010,1136110,1704165,25239,37858,460155,690232,0,0
SK00,2011,1141081,1711622,25455,38183,454565,681848,0,0
SK00,2012,1146052,1719079,25672,38508,448976,673464,0,0
SK00,2013,1151024,1726536,25889,38833,443387,665081,0,0
SK00,2014,1155995,1733992,26105,39158,437798,656697,0,0
SK00,2015,1160966,1741449,26322,39483,432208,648313,0,0
SK00,2016,1157792,1736688,25635,38453,432208,648313,53,80
SK00,2017,1154617,1731926,24948,37422,432209,648313,107,161
SK00,2018,1151443,1727164,24261,36392,432209,648313,161,241
SK00,2019,1148268,1722403,23574,35362,432209,648314,215,322
SK00,2020,1145094,1717641,22888,34332,432209,648314,268,403
SK00,2021,1141939,1712909,22473,33710,432217,648325,331,496
SK00,2022,1138784,1708176,22059,33089,432224,648337,393,590
SK00,2023,1135629,1703443,21645,32467,432232,648348,456,684
SK00,2024,1132474,1698711,21231,31846,432240,648360,518,777
SK00,2025,1129319,1693978,20816,31225,432248,648372,580,871
SK00,2026,1126198,1689298,20436,30654,432254,648381,629,943
SK00,2027,1123078,1684617,20056,30084,432261,648391,677,1016
SK00,2028,1119958,1679937,19675,29513,432267,648401,726,1089
SK00,2029,1116837,1675256,19295,28943,432274,648411,774,1162
SK00,2030,1113717,1670576,18915,28372,432280,648421,823,1234
SK00,2031,1112077,1668115,18694,28042,432239,648358,921,1382
SK00,2032,1110436,1665655,18474,27711,432197,648295,1020,1530
SK00,2033,1108796,1663194,18253,27380,432155,648233,1119,1679
SK00,2034,1107156,1660734,18033,27049,432113,648170,1218,1827
SK00,2035,1105516,1658274,17812,26719,432072,648108,1316,1975
SK00,2036,1101376,1652064,17723,26585,432010,648015,1451,2176
SK00,2037,1097236,1645855,17634,26451,431948,647923,1585,2377
SK00,2038,1093097,1639646,17544,26317,431887,647830,1719,2579
SK00,2039,1088957,1633436,17455,26183,431825,647738,1853,2780
SK00,2040,1084818,1627227,17366,26049,431764,647646,1988,2982
SK00,2041,1082868,1624302,17087,25631,431758,647638,1964,2946
SK00,2042,1080918,1621378,16808,25212,431753,647630,1940,2910
SK00,2043,1078969,1618453,16529,24793,431748,647622,1916,2874
SK00,2044,1077019,1615529,16250,24375,431743,647615,1892,2838
SK00,2045,1075069,1612604,15971,23956,431738,647607,1868,2803
SK00,2046,1070943,1606415,17485,26227,431758,647638,3509,5263
SK00,2047,1066817,1600226,18999,28498,431779,647668,5149,7724
SK00,2048,1062691,1594037,20512,30769,431799,647699,6789,10184
SK00,2049,1058565,1587847,22026,33040,431819,647729,8430,12645
SK00,2050,1054439,1581658,23540,35311,431840,647760,10070,15105
SK00,2051,1051625,1577437,24005,36008,431810,647715,10689,16034
SK00,2052,1048811,1573216,24470,36705,431780,647670,11308,16963
