Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
UK00,2010,4854565,7281848,112765,169148,8753514,13130271,0,0
UK00,2011,4858914,7288371,115594,173391,8750342,13125514,0,0
UK00,2012,4863263,7294895,118422,177634,8747171,13120757,0,0
UK00,2013,4867612,7301418,121251,181877,8743999,13115999,0,0
UK00,2014,4871961,7307942,124080,186120,8740828,13111242,0,0
UK00,2015,4876310,7314465,126908,190363,8737656,13106485,0,0
UK00,2016,4861614,7292421,130328,195492,8760702,13141053,4977,7466
UK00,2017,4846918,7270377,133748,200622,8783747,13175621,9955,14933
UK00,2018,4832222,7248333,137168,205752,8806792,13210188,14933,22399
UK00,2019,4817526,7226289,140588,210882,8829837,13244756,19911,29866
UK00,2020,4802830,7204245,144008,216012,8852883,13279324,24888,37333
UK00,2021,4806349,7209523,145663,218495,8849215,13273823,28028,42042
UK00,2022,4809868,7214802,147319,220979,8845547,13268321,31168,46752
UK00,2023,4813387,7220080,148975,223463,8841879,13262819,34308,51462
UK00,2024,4816905,7225358,150631,225947,8838211,13257317,37448,56172
UK00,2025,4820424,7230637,152287,228430,8834544,13251816,40588,60882
UK00,2026,4817212,7225818,152425,228638,8837717,13256576,41833,62749
UK00,2027,4813999,7220999,152564,228846,8840891,13261337,43078,64617
UK00,2028,4810787,7216181,152702,229053,8844065,13266097,44323,66485
UK00,2029,4807574,7211362,152840,229261,8847239,13270858,45568,68352
UK00,2030,4804362,7206543,152979,229468,8850412,13275619,46813,70220
UK00,2031,4812692,7219039,155464,233196,8842211,13263317,50310,75465
UK00,2032,4821023,7231534,157949,236923,8834009,13251014,53806,80710
UK00,2033,4829353,7244030,160434,240651,8825808,13238712,57303,85955
UK00,2034,4837684,7256526,162919,244378,8817607,13226410,60800,91200
UK00,2035,4846014,7269021,165404,248106,8809405,13214108,64296,96445
UK00,2036,4849205,7273808,167851,251776,8806357,13209536,67667,101501
UK00,2037,4852396,7278595,170298,255447,8803309,13204963,71038,106558
UK00,2038,4855588,7283382,172745,259118,8800261,13200391,74409,111614
UK00,2039,4858779,7288168,175192,262789,8797212,13195819,77780,116671
UK00,2040,4861970,7292955,177640,266460,8794164,13191247,81152,121728
UK00,2041,4854639,7281959,180252,270379,8801503,13202255,84564,126846
UK00,2042,4847308,7270962,182865,274298,8808842,13213263,87976,131964
UK00,2043,4839977,7259965,185478,278218,8816180,13224271,91388,137083
UK00,2044,4832646,7248969,188091,282137,8823519,13235279,94801,142201
UK00,2045,4825315,7237972,190704,286057,8830858,13246287,98213,147320
UK00,2046,4827037,7240556,193327,289990,8829183,13243775,101560,152340
UK00,2047,4828760,7243140,195949,293924,8827508,13241263,104907,157361
UK00,2048,4830482,7245724,198572,297858,8825834,13238751,108254,162382
UK00,2049,4832205,7248308,201194,301791,8824159,13236239,111601,167402
UK00,2050,4833928,7250892,203816,305725,8822484,13233727,114948,172423
UK00,2051,4824408,7236612,202953,304430,8832008,13248012,114749,172124
UK00,2052,4814888,7222333,202090,303136,8841532,13262298,114551,171826
UK00,2053,4805369,7208054,201227,301841,8851055,13276583,114352,171528
UK00,2054,4795849,7193774,200364,300546,8860579,13290869,114153,171229
UK00,2055,4786330,7179495,199501,299252,8870103,13305154,113954,170931
UK00,2056,4775086,7162629,198656,297984,8881332,13321998,113759,170638
UK00,2057,4763842,7145763,197811,296717,8892560,13338841,113564,170346
UK00,2058,4752597,7128896,196966,295450,8903789,13355684,113368,170053
UK00,2059,4741353,7112030,196121,294182,8915018,13372527,113173,169760
UK00,2060,4730109,7095164,195276,292915,8926247,13389370,112978,169467
UK00,2061,4719756,7079634,194569,291854,8936608,13404912,112824,169236
UK00,2062,4709403,7064104,193863,290794,8946969,13420453,112669,169004
UK00,2063,4699049,7048574,193156,289734,8957330,13435995,112515,168772
UK00,2064,4688696,7033044,192449,288673,8967691,13451536,112360,168541
UK00,2065,4678343,7017514,191742,287613,8978052,13467078,112206,168309
UK00,2066,4667659,7001489,190997,286496,8988736,13483104,112007,168011
UK00,2067,4656976,6985464,190252,285378,8999420,13499131,111808,167712
UK00,2068,4646292,6969438,189507,284261,9010105,13515158,111609,167414
UK00,2069,4635609,6953413,188762,283143,9020789,13531184,111410,167116
UK00,2070,4624925,6937388,188017,282026,9031474,13547211,111212,166818
UKC0,2010,140828,211242,2324,3487,341435,512152,0,0
UKC0,2011,140694,211041,2368,3553,341454,512182,0,0
UKC0,2012,140561,210841,2412,3619,341474,512211,0,0
UKC0,2013,140427,210641,2456,3685,341494,512241,0,0
UKC0,2014,140294,210441,2500,3751,341513,512270,0,0
UKC0,2015,140160,210241,2544,3817,341533,512300,0,0
UKC0,2016,139252,208879,2662,3993,341732,512598,177,266
UKC0,2017,138344,207517,2780,4170,341931,512897,355,532
UKC0,2018,137436,206155,2897,4346,342130,513196,532,799
UKC0,2019,136528,204793,3015,4522,342329,513494,710,1065
UKC0,2020,135620,203431,3132,4699,342528,513793,888,1332
UKC0,2021,135301,202952,3194,4791,342163,513245,1003,1504
UKC0,2022,134982,202474,3255,4883,341798,512697,1118,1677
UKC0,2023,134663,201995,3316,4974,341432,512149,1233,1849
UKC0,2024,134344,201516,3377,5066,341067,511601,1348,2022
UKC0,2025,134025,201038,3439,5158,340702,511053,1463,2194
UKC0,2026,133258,199887,3439,5159,340756,511134,1509,2263
UKC0,2027,132490,198735,3440,5160,340810,511216,1555,2332
UKC0,2028,131723,197584,3440,5160,340865,511297,1600,2401
UKC0,2029,130955,196433,3441,5161,340919,511379,1646,2470
UKC0,2030,130188,195282,3441,5162,340973,511460,1692,2539
UKC0,2031,129572,194358,3528,5292,340863,511294,1820,2730
UKC0,2032,128956,193434,3615,5422,340752,511128,1947,2921
UKC0,2033,128340,192510,3701,5552,340641,510962,2074,3112
UKC0,2034,127724,191586,3788,5682,340531,510797,2202,3303
UKC0,2035,127108,190663,3875,5812,340420,510631,2329,3494
UKC0,2036,126718,190078,3965,5947,340135,510203,2455,3682
UKC0,2037,126328,189492,4055,6083,339850,509775,2580,3871
UKC0,2038,125938,188907,4145,6218,339565,509348,2706,4059
UKC0,2039,125548,188322,4235,6353,339280,508920,2832,4248
UKC0,2040,125158,187737,4325,6488,338995,508492,2957,4436
UKC0,2041,124397,186595,4421,6631,339060,508590,3082,4624
UKC0,2042,123635,185453,4516,6775,339124,508687,3208,4812
UKC0,2043,122874,184311,4612,6918,339189,508784,3333,5000
UKC0,2044,122113,183169,4708,7062,339254,508881,3458,5188
UKC0,2045,121352,182028,4804,7206,339319,508978,3584,5376
UKC0,2046,121143,181714,4903,7354,338924,508387,3707,5561
UKC0,2047,120934,181401,5002,7503,338530,507795,3831,5747
UKC0,2048,120725,181087,5101,7651,338136,507204,3955,5932
UKC0,2049,120516,180774,5200,7800,337741,506612,4078,6118
UKC0,2050,120307,180460,5299,7948,337347,506020,4202,6303
UKC0,2051,119991,179986,5272,7909,337087,505631,4197,6296
UKC0,2052,119674,179512,5246,7869,336827,505241,4192,6289
UKC0,2053,119358,179038,5220,7830,336568,504852,4188,6282
UKC0,2054,119042,178563,5193,7790,336308,504462,4183,6274
UKC0,2055,118726,178089,5167,7750,336048,504073,4178,6267
UKC0,2056,118186,177279,5144,7717,335940,503910,4174,6261
UKC0,2057,117646,176469,5122,7683,335832,503748,4170,6256
UKC0,2058,117106,175659,5100,7650,335723,503585,4166,6250
UKC0,2059,116566,174849,5077,7616,335615,503423,4163,6244
UKC0,2060,116026,174039,5055,7582,335507,503260,4159,6238
UKC0,2061,115479,173218,5036,7554,335412,503118,4156,6234
UKC0,2062,114932,172398,5017,7526,335318,502977,4154,6231
UKC0,2063,114384,171577,4999,7498,335223,502835,4151,6227
UKC0,2064,113837,170756,4980,7470,335128,502693,4148,6223
UKC0,2065,113290,169935,4961,7442,335034,502551,4146,6219
UKC0,2066,111721,167581,4944,7416,335737,503605,4142,6214
UKC0,2067,110152,165228,4926,7390,336440,504660,4139,6208
UKC0,2068,108583,162874,4909,7363,337143,505714,4135,6203
UKC0,2069,107013,160520,4891,7337,337845,506768,4131,6197
UKC0,2070,105444,158167,4874,7311,338548,507823,4128,6192
UKD0,2010,112931,169396,848,1272,674206,1011309,0,0
UKD0,2011,111205,166808,840,1260,676591,1014887,0,0
UKD0,2012,109479,164219,833,1249,678976,1018464,0,0
UKD0,2013,107753,161630,825,1238,681361,1022041,0,0
UKD0,2014,106028,159042,818,1227,683746,1025619,0,0
UKD0,2015,104302,156453,811,1216,686131,1029196,0,0
UKD0,2016,102607,153910,1086,1629,688254,1032381,290,436
UKD0,2017,100912,151368,1360,2041,690377,1035565,581,872
UKD0,2018,99216,148825,1635,2453,692500,1038750,872,1308
UKD0,2019,97521,146282,1910,2866,694623,1041935,1163,1745
UKD0,2020,95826,143739,2185,3278,696746,1045119,1454,2181
UKD0,2021,94704,142056,2358,3537,698076,1047114,1641,2462
UKD0,2022,93581,140372,2531,3796,699406,1049109,1828,2743
UKD0,2023,92459,138688,2704,4056,700736,1051104,2016,3024
UKD0,2024,91336,137005,2876,4315,702066,1053099,2203,3304
UKD0,2025,90214,135321,3049,4574,703396,1055094,2390,3585
UKD0,2026,89148,133722,3113,4670,704794,1057191,2464,3696
UKD0,2027,88081,132122,3177,4766,706192,1059289,2538,3807
UKD0,2028,87015,130522,3242,4863,707591,1061386,2612,3918
UKD0,2029,85948,128923,3306,4959,708989,1063484,2686,4030
UKD0,2030,84882,127323,3370,5055,710388,1065582,2760,4141
UKD0,2031,84408,126613,3568,5353,711219,1066829,2967,4450
UKD0,2032,83935,125902,3767,5650,712051,1068077,3173,4760
UKD0,2033,83461,125192,3965,5948,712883,1069325,3380,5070
UKD0,2034,82988,124482,4164,6246,713715,1070573,3586,5379
UKD0,2035,82514,123771,4362,6543,714547,1071820,3792,5689
UKD0,2036,81915,122873,4557,6835,715427,1073141,3994,5991
UKD0,2037,81316,121975,4752,7128,716307,1074461,4196,6294
