Party;AVERAGE (forest-to-forest) t C/ha;EF
AUT;0.254477176288614;0.931386465216329
BEL;0.660879150706751;2.41881769158671
BGR;0.552892129985387;2.02358519574652
HRV;0.816259970545136;2.9875114921952
CYP;0.141639088883488;0.518399065313567
CZE;0.533922863957599;1.95415768208481
DNM;1.26278309268064;4.62178611921115
EST;0.269378135250629;0.985923975017303
FIN;0.463185945938634;1.6952605621354
FRK;0.684055441899094;2.50364291735068
DEU;0.925507764545455;3.38735841823636
GRC;0.168151748232935;0.615435398532544
HUN;0.355742257782494;1.30201666348393
IRL;0.251550332771978;0.92067421794544
ITA;0.938805030569431;3.43602641188412
LVA;0.361960132501085;1.32477408495397
LTU;0.966379714458073;3.53694975491655
LUX;1.04341981841369;3.81891653539409
MLT;#DIV/0!;#DIV/0!
NLD;1.22662257080186;4.4894386091348
POL;0.995833657366061;3.64475118595978
PRT;0.610596462770393;2.23478305373964
ROU;0.876558907917481;3.20820560297798
SVK;0.653103059035707;2.39035719607069
SVN;1.34153243366061;4.91000870719784
ESP;0.509575430089274;1.86504607412674
SWE;0.321820319650669;1.17786236992145
GBE;1.07202060512919;3.92359541477283
EU-28;0.676246416364161;2.47506188389283
ISL;0.0904176855434018;0.330928729088851
GBK;1.07284085235656;3.926597519625
