Party;AVERAGE (crop-to-crop) t C/ha;EF;(tCO2/ha)
AUT;-0.00238363932244;-0.0087241199201304;
BEL;0.00226521599505636;0.00829069054190629;
BGR;-0.03353202954551;-0.122727228136567;
HRV;-0.00318933514627182;-0.0116729666353549;
CYP;0.147823803514558;0.541035120863283;
CZE;-0.000421506006547273;-0.00154271198396302;
DNM;-0.0252886275307691;-0.0925563767626149;
EST;-0.00249738413087182;-0.00914042591899085;
FIN;0.000226832855853636;0.000830208252424309;
FRK;-0.00158814645503909;-0.00581261602544307;
DEU;0.00015646;0.0005726436;
GRC;0.0225494142926782;0.0825308563112022;
HUN;-0.00171872495534364;-0.00629053333655771;
IRL;0.00626180698610273;0.022918213569136;
ITA;-0.0199049993280173;-0.0728522975405432;
LVA;0.00578597338645091;0.0211766625944103;
LTU;0.000510638182261818;0.00186893574707825;
LUX;-0.0118075631234409;-0.0432156810317937;
MLT;0.197914911684406;0.724368576764928;
NLD;#DIV/0!;#DIV/0!;
POL;0.0343736660643409;0.125807617795488;
PRT;0.0161677971386745;0.0591741375275489;
ROU;0.03008284840773;0.110103225172292;
SVK;0.20812292025096;0.761729888118514;
SVN;0.331741575670754;1.21417416695496;
ESP;-0.00184002730733273;-0.00673449994483778;
SWE;0.0229791276502145;0.0841036071997852;
GBE;0.000257740593531818;0.000943330572326455;
EU-28;0.0341869907341478;0.125124386086981;
ISL;#DIV/0!;#DIV/0!;
GBK;0.000257355377284545;0.000941920680861436;
