Party;value;EF
AUT;0.04637078047594;-0.170026195078447
BGR;-0.09993498863233;0.366428291651877
HRV;0.08564383078381;-0.314027379540637
CYP;0.00674833435957;-0.0247438926517567
CZE;-0.20147732230383;0.73875018178071
DNM;0.22986229243637;-0.842828405600023
EST;-0.08556964489668;0.31375536462116
FRK;-0.09646843875855;0.35371760878135
DEU;-0.16387822860082;0.600886838203007
GRC;-0.02437395981405;0.08937118598485
HUN;0.04897712078414;-0.179582776208513
ITA;-0.1534;0.562466666666667
LTU;-0.10419941348974;0.382064516129047
LUX;-0.03902492667884;0.143091397822413
MLT;-0.10431774972868;0.382498415671827
NLD;-0.19762478123408;0.724624197858293
PRT;0.07638121671802;-0.280064461299407
ROU;0.19368353158301;-0.710172949137703
SVK;-0.00211566114411;0.00775742419507
SVN;-0.28807182011695;1.05626334042882
ESP;0.11708952465941;-0.429328257084503
SWE;-0.12904692991065;0.47317207633905
