Party;value;EF
AUT;-0.04736654512718;0.173677332132993
HRV;-0.02426485162584;0.08897112262808
CYP;0.12300128123755;-0.451004697871017
CZE;0.12482242192239;-0.45768221371543
DNM;-0.09733473965165;0.356894045389383
EST;0.17484326940113;-0.641091987804143
FIN;0.00199600798403;-0.00731869594144333
FRK;0.05027312852245;-0.184334804582317
DEU;0.1348027556554;-0.494276770736467
GRC;-0.02975561313381;0.10910391482397
HUN;-0.03695832120559;0.135513844420497
LTU;0.02683274282929;-0.0983867237073967
LUX;0.09237273963852;-0.33870004534124
MLT;0.808046199832;-2.96283606605067
NLD;0.1641530196919;-0.601894405536967
POL;0.2204864495723;-0.808450315098433
PRT;-0.05686401403386;0.20850138479082
ROU;-0.08379383291034;0.30724405400458
SVK;0.00738783975549;-0.02708874577013
SVN;-0.1457672191719;0.5344798036303
SWE;0.1254662652544;-0.460042972599467
