Party;AVERAGE (Wet-to-Wet) t C/ha;EF

AUT;0;-0.0

BEL;0;-0.0

BGR;0;-0.0

HRV;0;-0.0

CYP;0;-0.0

CZE;0;-0.0

DNM;0;-0.0

EST;0;-0.0

FIN;-0.00012582814868064516;0.000461369878495699

FRK;0;-0.0

DEU;0.0005977925742387094;-0.0021919061055419345

GRC;0;-0.0

HUN;-0.0008426834843948387;0.003089839442781075

IRL;0.0013915738824077423;-0.0051024375688283885

ITA;0;-0.0

LVA;0.07097280803104355;-0.2602336294471597

LTU;0;-0.0

LUX;0;-0.0

MLT;1.2672208436724548;-4.646476426799

NLD;0;-0.0

POL;0;-0.0

PRT;0;-0.0

ROU;0.0013972640307526318;-0.005123301446092983

SVK;0;-0.0

SVN;0;-0.0

ESP;0;-0.0

SWE;0;-0.0

EU-27;0.2198475867147292;-0.8061078179540071

GBE;0;-0.0

ISL;0;-0.0

GBK;0;-0.0
