Party;AVERAGE (Sett-to-Sett) t C/ha;EF;(tCO2/ha)
AUT;#DIV/0!;#DIV/0!;
BEL;#DIV/0!;#DIV/0!;
BGR;#DIV/0!;#DIV/0!;
HRV;#DIV/0!;#DIV/0!;
CYP;#DIV/0!;#DIV/0!;
CZE;#DIV/0!;#DIV/0!;
DNM;#DIV/0!;#DIV/0!;
EST;#DIV/0!;#DIV/0!;
FIN;#DIV/0!;#DIV/0!;
FRK;-0.0218495510672318;-0.0799693569060685;
DEU;#DIV/0!;#DIV/0!;
GRC;#DIV/0!;#DIV/0!;
HUN;#DIV/0!;#DIV/0!;
IRL;#DIV/0!;#DIV/0!;
ITA;#DIV/0!;#DIV/0!;
LVA;0.492946749030402;1.80418510145127;
LTU;#DIV/0!;#DIV/0!;
LUX;#DIV/0!;#DIV/0!;
MLT;#DIV/0!;#DIV/0!;
NLD;#DIV/0!;#DIV/0!;
POL;0.0182131716494145;0.0666602082368572;
PRT;#DIV/0!;#DIV/0!;
ROU;#DIV/0!;#DIV/0!;
SVK;#DIV/0!;#DIV/0!;
SVN;0.3219;1.178154;
ESP;#DIV/0!;#DIV/0!;
SWE;0.0247529681044545;0.0905958632623036;
GBE;#DIV/0!;#DIV/0!;
EU-28;0.167192667543408;0.611925163208873;
ISL;#DIV/0!;#DIV/0!;
GBK;#DIV/0!;#DIV/0!;
