Party;AVERAGE (Forest-to-Sett) t C/ha;EF

AUT;-1.51745236441221;5.5639920028447705

BEL;-10.37129171242073;38.02806961220934

BGR;-4.457098484570802;16.342694443426275

HRV;-0.7833098722761435;2.8721361983458595

CYP;-1.034946891005472;3.7948052670200636

CZE;-4.131514427308715;15.148886233465289

DNM;-7.877716053486102;28.884958862782373

EST;-15.886730943244803;58.25134679189761

FIN;-1.6060903170869434;5.888997829318792

FRK;-4.3409781038848845;15.916919714244576

DEU;-1.3189250035371187;4.836058346302768

GRC;-2.4753973300671017;9.076456876912706

HUN;-1.4884271492685655;5.45756621398474

IRL;-24.247808087743888;88.90862965506092

ITA;-4.034604573107632;14.793550101394652

LVA;-3.727790853942777;13.66856646445685

LTU;-3.727790853942777;13.66856646445685

LUX;-5.624686176959539;20.62384931551831

MLT;0;-0.0

NLD;-4.77985442950953;17.526132908201614

POL;-3.584741888501241;13.144053591171216

PRT;-3.4123123640219526;12.511812001413825

ROU;-5.907449332212519;21.660647551445905

SVK;-3.41815953103867;12.533251613808458

SVN;-4.158607710274565;15.24822827100674

ESP;-1.2561391001422295;4.605843367188175

SWE;-2.7473541231407514;10.073631784849422

EU-27;-4.715479605499654;17.290091886832066

GBE;-2.3706180905620324;8.692266332060786

ISL;-1.7632055965626123;6.465087187396246

GBK;-2.529886329082093;9.276249873301007
