Party;value;EF
AUT;0.45411504161092;-1.66508848590671
BGR;-0.04001066753753;0.146705780970943
HRV;-0.04975581167758;0.182437976151127
CYP;-0.24118179120576;0.88433323442112
DNM;-0.18251295669844;0.669214174560947
FIN;-0.08255563531945;0.302703996171317
FRK;-0.03347445730557;0.12273967678709
DEU;1.06881738305393;-3.91899707119774
GRC;-0.23500000000255;0.861666666676017
HUN;-0.17714575433256;0.64953443255272
IRL;-0.12100229218974;0.44367507136238
LVA;-0.21268353911208;0.77983964341096
LUX;0.09215398242722;-0.337897935566473
NLD;-0.19566357085364;0.717433093130013
POL;-0.03178035341828;0.116527962533693
PRT;-0.0933710139293;0.342360384407433
ROU;-0.14149828397391;0.51882704123767
SVK;-0.20468924036534;0.750527214672913
SVN;0.22859971054767;-0.83819893867479
ESP;-0.23499999997887;0.86166666658919
SWE;0.00439333375536;-0.01610889043632
