Party;AVERAGE (Crop-to-Sett) t C/ha;EF

AUT;0.407311453374109;-1.4934753290383995

BEL;0.14650730589140487;-0.5371934549351512

BGR;-0.16379904348438554;0.6005964927760803

HRV;-0.41151650645894605;1.5088938570161357

CYP;-0.17413440844530387;0.6384928309661142

CZE;-0.268852369578169;0.9857920217866196

DNM;-0.10225284985718612;0.3749271161430158

EST;-0.64623974570654;2.369545734257313

FIN;-0.64623974570654;2.369545734257313

FRK;-0.02406059614518903;0.08822218586569312

DEU;1.1419934301192134;-4.187309243770449

GRC;-0.629953285180172;2.3098287123272976

HUN;-0.34267260944317657;1.2564662346249806

IRL;-0.7093435351408915;2.600926295516602

ITA;-0.43538251669747846;1.5964025612240877

LVA;-0.7277325129996453;2.668352547665366

LTU;-0.8833748431790714;3.2390410916565955

LUX;0.14650730589140487;-0.5371934549351512

MLT;-0.3962085316405082;1.4527646160151966

NLD;-0.27076457224511613;0.9928034315654258

POL;-0.10982065154711099;0.4026757223394069

PRT;-0.26921786573812;0.9871321743731066

ROU;-0.26598632171391257;0.9752831796176794

SVK;-0.268852369578169;0.9857920217866196

SVN;0.06361883656093291;-0.23326906739008735

ESP;-0.36075988910404505;1.3227862600481652

SWE;-0.1531877523289638;0.5616884252062007

EU-27;-0.2084164693514824;0.7641937209554355

GBE;-0.14147536731444324;0.5187430134862919

ISL;0;-0.0

GBK;-0.14011767170021094;0.5137647962341068
