id;Label;CaseCount;U_Score;C_Score
0;Urban;128;0.359375;0.03125
1;Industrial;476;0;0.214286
2;Arable;559782;0.721377;0.572973
3;PermanentCrops;135964;0.393663;0.582654
4;Pastures;351650;0.850579;0.494236
5;ForestsMature;3703466;0.941535;0.0476073
6;TransWoodlandShrub;86980;0.268958;0.198023
7;AbanArable;0;null;null
8;AbanPermanentCrops;0;null;null
9;AbanPastures;0;null;null
10;AbanUrban;0;null;null
11;AbanIndustry;0;null;null
12;NewEnergyCrops;0;null;null
13;SHVA;6300;0.187937;0.0892064
14;ForestsYoung;3370516;0.783279;0.0871564


id;Label;PredictionCount;CorrectCount;FalsePredicted;PredictionScore;Unchanged_PredictionCount;Unchanged_CorrectCount;Unchanged_FalsePredicted;Unchanged_PredictionScore;Changed_PredictionCount;Changed_CorrectCount;Changed_FalsePredicted;Changed_PredictionScore
0;Urban;11233;2044;9189;0.181963856;6704;23;6681;0.00343078759;4529;2021;2508;0.446235372
1;Industrial;2394;944;1450;0.394319131;1012;0;1012;0;1382;944;438;0.683068017
2;Arable;501794;327169;174625;0.651998629;269521;201907;67614;0.749132721;232273;125262;107011;0.539287821
3;PermanentCrops;141110;100293;40817;0.710743392;46825;26762;20063;0.571532301;94285;73531;20754;0.779880151
4;Pastures;670067;239867;430200;0.35797465;398664;149553;249111;0.375135452;271403;90314;181089;0.33276714
5;ForestsMature;3824887;1890716;1934171;0.49431944;1957649;1743471;214178;0.890594279;1867238;147245;1719993;0.0788571141
6;TransWoodlandShrub;39151;12718;26433;0.324844832;21749;11697;10052;0.537817831;17402;1021;16381;0.0586714171
7;AbanArable;27643;0;27643;0;17434;0;17434;0;10209;0;10209;0
8;AbanPermanentCrops;7308;0;7308;0;5147;0;5147;0;2161;0;2161;0
9;AbanPastures;0;0;0;null;0;0;0;null;0;0;0;null
10;AbanUrban;9;0;9;0;9;0;9;0;0;0;0;null
11;AbanIndustry;152;0;152;0;76;0;76;0;76;0;76;0
12;NewEnergyCrops;6;0;6;0;6;0;6;0;0;0;0;null
13;SHVA;1884;619;1265;0.328556263;885;592;293;0.668926554;999;27;972;0.027027027
14;ForestsYoung;2984300;1410524;1573776;0.472648192;1379941;1320027;59914;0.956582202;1604359;90497;1513862;0.0564069513
