ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-145345;-148769;-152186;-155129;-156743;-159302;-162134;-165696
0.85;-132942;-136407;-139639;-142372;-143939;-146175;-148604;-152039
0.9;-121664;-125181;-128262;-131001;-132456;-134795;-137232;-140471
0.91;-119283;-123044;-126157;-128830;-130398;-132569;-135049;-138304
0.92;-116900;-120707;-124019;-126740;-128290;-130550;-132866;-136070
0.93;-114540;-118381;-121816;-124653;-126248;-128454;-130868;-133946
0.94;-112250;-116061;-119529;-122559;-124161;-126449;-128800;-131879
0.95;-110349;-113781;-117266;-120272;-122053;-124389;-126805;-129909
0.96;-108668;-111619;-114959;-118055;-119796;-122356;-124800;-127924
0.97;-107013;-109849;-112756;-115828;-117646;-120123;-122817;-125953
0.98;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
0.99;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.01;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.02;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.03;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.04;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.05;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.06;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.07;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.08;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.09;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
