ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-106824;-107182;-107278;0;0;6058;667283;197881
0.85;-104766;-105087;-105141;0;0;6058;664220;198485
0.9;-103391;-103597;-103623;0;0;6058;646823;198937
0.91;-103207;-103326;-103344;0;0;6058;646737;199024
0.92;-102917;-103116;-103146;0;0;6058;599999;199072
0.93;-102683;-102866;-102875;0;0;6058;599999;199150
0.94;-102515;-102590;-102633;0;0;6058;599999;199207
0.95;-102322;-102434;-102464;0;0;6058;599999;199276
0.96;-102133;-102271;-102299;0;0;6058;599999;199340
0.97;-101964;-102089;-102128;0;0;6058;599999;199382
0.98;-101803;-101899;-101934;0;0;6058;599999;199428
0.99;-101650;-101762;-101778;0;0;6058;599999;199461
1;-101544;-101619;-101650;0;0;6058;599999;199516
1.01;-101405;-101515;-101538;0;0;6058;599999;199554
1.02;-101290;-101376;-101392;0;0;0;599999;199586
1.03;-101180;-101266;-101277;0;0;0;599999;198577
1.04;-101062;-101166;-101180;0;0;0;599999;198689
1.05;-100979;-101048;-101061;0;0;0;599999;198799
1.06;-100908;-100950;-100977;0;0;0;599999;198905
1.07;-100817;-100901;-100907;0;0;0;599999;198990
1.08;-100748;-100811;-100816;0;0;0;599999;199072
1.09;-100687;-100739;-100748;0;0;0;599999;173464
1.1;-100616;-100681;-100687;0;0;0;299806;173464
1.15;-100377;-100407;-100414;0;0;0;299879;172753
1.2;-100211;-100238;-100242;0;-79975;0;299927;170437
