ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;312934;331534;348240;358424;365105;386514;402105;439710
0.85;572500;570785;407334;414708;422777;445319;454911;477542
0.9;664558;572449;409514;417303;425261;447688;457074;480175
0.91;675866;572714;409914;417802;425898;447957;457459;480639
0.92;685195;572960;410261;418222;426405;448639;457656;481052
0.93;693119;573157;410582;418664;426880;449370;457998;481549
0.94;698852;573365;410909;419115;427394;450071;458424;481988
0.95;699985;573489;411188;419589;427768;450607;458977;482395
0.96;699996;573654;411406;420040;428121;451105;459492;482742
0.97;699999;573783;411699;420362;428703;451537;459944;483154
0.98;700000;573901;411940;420715;429051;451925;460382;483540
0.99;752565;574614;412692;421517;429909;452716;461259;484109
1;840033;576853;414758;423513;431832;454431;463051;485261
1.01;849999;576987;415049;423803;432133;454845;463471;485579
1.02;849999;577107;415246;424127;432559;455149;463844;485915
1.03;849999;577215;415520;424438;432851;455505;464239;486267
1.04;850126;577351;415765;424750;433164;455785;464606;486568
1.05;856249;577584;416168;425096;433609;456110;464999;486888
1.06;856249;577674;416380;425416;433978;456350;465316;487144
1.07;877467;577993;416791;425869;434471;456694;465751;487479
1.08;886928;578143;417020;426192;434820;456970;466038;487738
1.09;891739;578266;417320;426502;435467;457269;466383;488005
1.1;894686;578389;417649;426775;435774;457567;466782;488238
1.15;899573;578950;418991;428465;437584;459004;468328;489423
1.2;899980;579587;420495;429915;439050;460482;470278;490413
