ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-100346;-100347;-100379;-68749;-100432;-100480;-100615;-100794
0.85;-100072;-100072;-100077;-51249;-100089;-100100;-100129;-100187
0.9;-100008;-100008;-100009;-49992;-100013;-100015;-100025;-100042
0.91;-100004;-100004;-100005;-49983;-100007;-100009;-100016;-100027
0.92;-100002;-100002;-100002;-49657;-100004;-100004;-100009;-100017
0.93;-100000;-100000;-100000;-48722;-100001;-100002;-100005;-100011
0.94;-50002;-100000;-100000;0;-100000;-100000;-100001;-100004
0.95;-50000;-50000;-100000;0;-100000;-100000;-100001;-100002
0.96;-50000;-50000;-50000;0;0;0;-100000;-100000
0.97;0;0;0;0;0;0;-100000;-100000
0.98;0;0;0;0;0;0;0;-50000
0.99;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0
1.01;0;0;0;0;0;0;0;0
1.02;0;0;0;0;0;0;0;0
1.03;0;0;0;0;0;0;0;0
1.04;0;0;0;0;0;0;0;0
1.05;0;0;0;0;0;0;0;0
1.06;0;0;0;0;0;0;0;0
1.07;0;0;0;0;0;0;0;0
1.08;0;0;0;0;0;0;0;0
1.09;0;0;0;0;0;0;0;0
1.1;0;0;0;0;0;0;0;0
1.15;0;0;0;0;0;0;0;0
1.2;0;0;1;430000;5;7;7;0
