ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-100147;-100155;-100162;-100168;-100172;-100178;-100183;-100194
0.85;-100105;-100112;-100118;-100123;-100127;-100133;-100138;-100149
0.9;-100075;-100082;-100086;-100090;-100093;-100097;-100102;-100111
0.91;-100071;-100076;-100081;-100085;-100088;-100092;-100095;-100104
0.92;-100066;-100071;-100076;-100080;-100082;-100086;-100090;-100098
0.93;-100061;-100067;-100071;-100075;-100077;-100081;-100085;-100092
0.94;-100058;-100062;-100066;-100070;-100072;-100076;-100079;-100087
0.95;-100054;-100058;-100062;-100065;-100068;-100071;-100074;-100082
0.96;-100050;-100055;-100058;-100061;-100063;-100067;-100070;-100077
0.97;-100046;-100051;-100055;-100058;-100060;-100063;-100066;-100072
0.98;-100043;-100047;-100051;-100054;-100056;-100059;-100061;-100067
0.99;-100039;-100044;-100047;-100050;-100053;-100056;-100058;-100063
1;-100036;-100040;-100044;-100047;-100049;-100052;-100054;-100060
1.01;-100033;-100037;-100040;-100043;-100045;-100048;-100051;-100056
1.02;-100031;-100034;-100037;-100040;-100042;-100045;-100047;-100053
1.03;-100028;-100032;-100034;-100037;-100039;-100042;-100044;-100050
1.04;-100026;-100029;-100032;-100034;-100036;-100039;-100041;-100046
1.05;-100024;-100027;-100029;-100032;-100033;-100036;-100038;-100043
1.06;-100022;-100025;-100027;-100029;-100031;-100033;-100035;-100040
1.07;-100020;-100023;-100025;-100027;-100029;-100031;-100033;-100037
1.08;-100019;-100021;-100023;-100025;-100026;-100028;-100030;-100034
1.09;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1.2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
