ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-506632;-506632;-506632;-506938;-211874;-407448;-211911;-211919
0.85;-505896;-506552;-506632;-506632;-210617;-408728;-207973;-207973
0.9;-504216;-504465;-504600;-504882;-208034;-427646;-207958;-207963
0.91;-504216;-504216;-504243;-504527;-207939;-414563;-207950;-207955
0.92;-504062;-504216;-504216;-504216;-207934;-427028;-207947;-207952
0.93;-503757;-504216;-504216;-504216;-207934;-428424;-207947;-207952
0.94;-503438;-503917;-504039;-504216;-218682;-504216;-207943;-207948
0.95;-503119;-503616;-503748;-503989;-219148;-504082;-207938;-207942
0.96;-502821;-503303;-503433;-503688;-218569;-503846;-207931;-207935
0.97;-502571;-502994;-503117;-503381;-217989;-503591;-207925;-207929
0.98;-502281;-502704;-502822;-503064;-217416;-503346;-207919;-207923
0.99;-502015;-502436;-502552;-502782;-216889;-503078;-207913;-303486
1;-501752;-502158;-502278;-502516;-216390;-502808;-207908;-303049
1.01;-501484;-501895;-502013;-502228;-217895;-502545;-207902;-302659
1.02;-501217;-501639;-501755;-501964;-217398;-502280;-207896;-302335
1.03;-500972;-501374;-501497;-501699;-217487;-502016;-207891;-302108
1.04;-500700;-501121;-501249;-501443;-217018;-501764;-207885;-303454
1.05;-500423;-500871;-500993;-501197;-216544;-501500;-207880;-303234
1.06;-500291;-500609;-500742;-500955;-216044;-501266;-207875;-330017
1.07;-500291;-500345;-500475;-500684;-215558;-501020;-207870;-329768
1.08;-500101;-500291;-500291;-500423;-219298;-500762;-207866;-330927
1.09;-499883;-500255;-500291;-500291;-226907;-500498;-207860;-332297
1.1;-499668;-500041;-500141;-500291;-219229;-500291;-207855;-332398
1.15;-498655;-499038;-499146;-499314;-217326;-499579;-207841;-342098
1.2;-497454;-497929;-498044;-498233;-444426;-498610;-207822;-341483
