ArableDemandFactor;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
0.8;-554582;-557154;-557457;-163013;-19435;-793;0;0
0.85;-549070;-552178;-552597;-161921;-12763;-1446;0;0
0.9;-543281;-546750;-547380;-145712;-11012;0;0;0
0.91;-541128;-545734;-546462;-145642;-10849;0;0;0
0.92;-538973;-544367;-545475;-146109;-10614;0;0;0
0.93;-537778;-542535;-544060;-150197;-10370;0;0;0
0.94;-536774;-540320;-542215;-149092;-10084;0;0;0
0.95;-535791;-538618;-539997;-147554;-9778;0;0;0
0.96;-534978;-537559;-538418;-149590;-9606;0;0;0
0.97;-533920;-536574;-537422;-150081;-9370;0;0;0
0.98;-532778;-535634;-536442;-150542;-9123;0;0;0
0.99;-531578;-534836;-535480;-152013;-8827;0;0;0
1;-530192;-533800;-534676;-151827;-8400;0;0;0
1.01;-528781;-532685;-533642;-146161;-7514;0;0;0
1.02;-527221;-531549;-532437;-144716;-7467;0;0;0
1.03;-525819;-530221;-531186;-144698;-7405;0;0;0
1.04;-524853;-528859;-529767;-144646;-7344;0;0;0
1.05;-523539;-527360;-528320;-144646;-7268;0;0;0
1.06;-521979;-525906;-526735;-144602;-7209;0;0;0
1.07;-520206;-525027;-525545;-144075;-7145;0;0;0
1.08;-518270;-523792;-524485;-144166;-7085;0;0;0
1.09;-515844;-522324;-523114;-144128;-7023;0;0;0
1.1;-513184;-520713;-521610;-143999;-6958;0;0;0
1.15;-505620;-510224;-510926;-128014;-6404;0;0;0
1.2;-492577;-501399;-503054;-143768;-5783;0;0;0
