ArableDemandIncrease;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
-20;-499999;-499999;-499999;-499999;170224;0;0;-199999
-15;-499999;-499999;-499999;-499999;157402;0;0;-199999
-10;-499999;-499999;-499999;-499999;89098;0;0;-199999
-9;-499999;-499999;-499999;-499999;88164;0;0;-199999
-8;-499999;-499999;-499999;-499999;87954;0;0;-199999
-7;-499999;-499999;-499999;-499999;54302;0;0;-199999
-6;-499999;-499999;-499999;-499999;50839;0;0;-199999
-5;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-4;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-3;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
0;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
3;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
4;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
5;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
6;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
7;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
8;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
9;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
20;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
