ArableDemandIncrease;P2015;P2020;P2025;P2030;P2035;P2040;P2045;P2050
-20;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-9;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-8;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-7;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-6;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-5;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-4;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-3;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
-1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
0;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
1;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
2;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
3;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
4;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
5;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
6;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
7;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
8;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
9;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
15;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
20;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10;1E+10
