Label;count
Forest land remaining Forest land;3867451
Forest land converted to Grassland;2
Forest land converted to Artificial land;857
Cropland converted to Forest land;2
Cropland remaining Cropland;1935577
Cropland converted to Grassland;9744
Cropland converted to Artificial land;25910
Grassland converted to Forest land;129
Grassland converted to Cropland;41928
Grassland remaining Grassland;650827
Grassland converted to Artificial land;4619
Grassland converted to Residual land;7
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;2511
Residual land converted to Grassland;14871
Residual land converted to Artificial land;2098
Residual land remaining Residual land;675049
