Region;Code;Label;count
BL10;FORFOR;Forest land remaining Forest land;2026
BL10;FORART;Forest land converted to Artificial land;268
BL10;CRPART;Cropland converted to Artificial land;352
BL10;GRSGRS;Grassland remaining Grassland;41
BL10;GRSART;Grassland converted to Artificial land;1
BL10;ARTART;Artificial land remaining Artificial land;12008
BL21;FORFOR;Forest land remaining Forest land;49488
BL21;CRPCRP;Cropland remaining Cropland;66154
BL21;CRPGRS;Cropland converted to Grassland;703
BL21;CRPART;Cropland converted to Artificial land;31261
BL21;GRSGRS;Grassland remaining Grassland;40304
BL21;GRSART;Grassland converted to Artificial land;1509
BL21;ARTART;Artificial land remaining Artificial land;78151
BL21;RESRES;Residual land remaining Residual land;2280
BL22;FORFOR;Forest land remaining Forest land;49034
BL22;CRPCRP;Cropland remaining Cropland;88839
BL22;CRPGRS;Cropland converted to Grassland;1411
BL22;CRPART;Cropland converted to Artificial land;14584
BL22;GRSCRP;Grassland converted to Cropland;8
BL22;GRSGRS;Grassland remaining Grassland;14884
BL22;GRSART;Grassland converted to Artificial land;764
BL22;ARTART;Artificial land remaining Artificial land;60176
BL22;RESRES;Residual land remaining Residual land;5254
BL23;FORFOR;Forest land remaining Forest land;9768
BL23;CRPCRP;Cropland remaining Cropland;155289
BL23;CRPGRS;Cropland converted to Grassland;1538
BL23;CRPART;Cropland converted to Artificial land;23249
BL23;GRSGRS;Grassland remaining Grassland;24363
BL23;GRSART;Grassland converted to Artificial land;1051
BL23;ARTART;Artificial land remaining Artificial land;73843
BL23;RESRES;Residual land remaining Residual land;1384
BL24;FORFOR;Forest land remaining Forest land;19925
BL24;CRPCRP;Cropland remaining Cropland;84422
BL24;CRPGRS;Cropland converted to Grassland;635
BL24;CRPART;Cropland converted to Artificial land;28622
BL24;GRSGRS;Grassland remaining Grassland;8831
BL24;GRSART;Grassland converted to Artificial land;613
BL24;ARTART;Artificial land remaining Artificial land;64555
BL24;RESRES;Residual land remaining Residual land;189
BL25;FORFOR;Forest land remaining Forest land;7340
BL25;CRPCRP;Cropland remaining Cropland;199233
BL25;CRPART;Cropland converted to Artificial land;14888
BL25;GRSGRS;Grassland remaining Grassland;29444
BL25;GRSART;Grassland converted to Artificial land;879
BL25;ARTART;Artificial land remaining Artificial land;55555
BL25;RESRES;Residual land remaining Residual land;1468
BL31;FORFOR;Forest land remaining Forest land;11192
BL31;CRPCRP;Cropland remaining Cropland;66426
BL31;CRPART;Cropland converted to Artificial land;2346
BL31;GRSGRS;Grassland remaining Grassland;1581
BL31;GRSART;Grassland converted to Artificial land;1416
BL31;ARTART;Artificial land remaining Artificial land;24135
BL31;RESRES;Residual land remaining Residual land;29
BL32;FORFOR;Forest land remaining Forest land;48495
BL32;CRPCRP;Cropland remaining Cropland;190394
BL32;CRPGRS;Cropland converted to Grassland;2569
BL32;CRPART;Cropland converted to Artificial land;15191
BL32;GRSGRS;Grassland remaining Grassland;40586
BL32;GRSART;Grassland converted to Artificial land;311
BL32;ARTART;Artificial land remaining Artificial land;74061
BL32;RESRES;Residual land remaining Residual land;1600
BL33;FORFOR;Forest land remaining Forest land;123156
BL33;CRPCRP;Cropland remaining Cropland;92661
BL33;CRPGRS;Cropland converted to Grassland;3566
BL33;CRPART;Cropland converted to Artificial land;13839
BL33;GRSGRS;Grassland remaining Grassland;70373
BL33;GRSART;Grassland converted to Artificial land;706
BL33;ARTART;Artificial land remaining Artificial land;67590
BL33;RESRES;Residual land remaining Residual land;3006
BL34;FORFOR;Forest land remaining Forest land;237979
BL34;CRPCRP;Cropland remaining Cropland;96457
BL34;CRPART;Cropland converted to Artificial land;3478
BL34;GRSGRS;Grassland remaining Grassland;81076
BL34;GRSART;Grassland converted to Artificial land;614
BL34;ARTART;Artificial land remaining Artificial land;23543
BL34;RESRES;Residual land remaining Residual land;695
BL35;FORFOR;Forest land remaining Forest land;132398
BL35;CRPCRP;Cropland remaining Cropland;150501
BL35;CRPGRS;Cropland converted to Grassland;845
BL35;CRPART;Cropland converted to Artificial land;8723
BL35;GRSGRS;Grassland remaining Grassland;30417
BL35;GRSART;Grassland converted to Artificial land;329
BL35;ARTART;Artificial land remaining Artificial land;39811
BL35;RESRES;Residual land remaining Residual land;199
BL40;FORFOR;Forest land remaining Forest land;94828
BL40;CRPCRP;Cropland remaining Cropland;86077
BL40;CRPART;Cropland converted to Artificial land;10430
BL40;GRSGRS;Grassland remaining Grassland;39764
BL40;GRSART;Grassland converted to Artificial land;812
BL40;ARTART;Artificial land remaining Artificial land;23988
