CumulHa;Price
3821600;0
3821601;26
3821602;54
3821603;60
3821604;61
3821605;193
3821606;390
3821607;394
3821608;575
3821609;624
3821610;692
3821611;733
3821612;803
3821613;904
3821614;947
3821615;979
3821616;1195
3821617;1239
3821618;1311
3821619;1363
3821620;1465
3821621;1496
3821622;1535
3821623;1588
3821624;1678
3821625;1702
3821626;1750
3821627;1771
3821628;1826
3821629;1871
3821630;1917
3821631;2078
3821632;2130
3821634;2208
3821635;2229
3821636;2310
3821637;2316
3821638;2397
3821639;2448
3821640;2517
3821641;2608
3821642;2653
3821643;2680
3821644;2743
3821645;2811
3821646;2903
3821647;2971
3821648;3001
3821649;3223
3821650;3297
3821651;3437
3821652;3500
3821653;3528
3821654;3766
3821655;3782
3821656;3897
3821657;3915
3821658;4078
3821659;4079
3821660;4150
3821661;4158
3821662;4171
3821663;4306
3821664;4362
3821665;4449
3821666;4453
3821667;4485
3821668;4721
3821669;4809
3821670;4825
3821671;4869
3821672;5195
3821673;5477
3821674;5491
3821675;5503
3821676;5511
3821677;5512
3821678;5568
3821679;5578
3821680;5620
3821682;5661
3821683;5662
3821684;5677
3821685;5751
3821686;5848
3821687;5908
3821688;5921
3821689;5968
3821690;6002
3821691;6008
3821692;6017
3821693;6033
3821694;6090
3821695;6114
3821696;6153
3821697;6157
3821698;6214
3821699;6220
3821700;6335
3821701;6379
3821702;6518
3821703;6529
3821704;6550
3821705;6671
3821706;6806
3821707;6813
3821708;6821
3821709;6891
3821710;6892
3821711;6893
3821712;6941
3821713;6979
3821714;6988
3821715;6993
3821716;7008
3821717;7019
3821718;7075
3821719;7091
3821720;7106
3821721;7116
3821722;7164
3821723;7168
3821724;7185
3821725;7225
3821726;7286
3821727;7351
3821728;7374
3821729;7393
3821730;7554
3821731;7569
3821732;7679
3821733;7759
3821734;7797
3821735;7836
3821736;7867
3821737;7929
3821738;8027
3821739;8134
3821740;8483
3821741;8522
3821742;8557
3821743;8584
3821744;8682
3821745;8714
3821746;8904
3821747;9053
3821749;9077
3821750;9119
3821751;9188
3821752;9214
3821754;9568
3821755;9582
3821756;9634
3821757;9695
3821758;9928
3821759;10345
3821760;10629
3821761;10917
3821762;11033
3821763;11067
3821764;11183
3821765;11220
3821766;11274
3821767;11350
3821768;11520
3821769;11640
3821770;11690
3821771;11697
3821772;11864
3821773;11920
3821774;12232
3821775;12280
3821776;12322
3821777;12329
3821778;12367
3821779;12454
3821780;12753
3821781;13173
3821782;13385
3821783;13497
3821784;13794
3821785;13809
3821786;14070
3821787;14178
3821788;14193
3821789;14201
3821790;14256
3821791;14519
3821792;14575
3821793;14596
3821794;14751
3821795;14822
3821796;14878
3821797;14987
3821798;15227
3821799;15230
3821800;15274
3821801;15302
3821802;15602
3821803;15649
3821804;15669
3821805;15691
3821806;15826
3821807;15847
3821808;15972
3821809;16114
3821810;16196
3821811;16400
3821812;16438
3821813;16600
3821814;16664
3821815;17066
3821816;17667
3821817;17983
3821818;17993
3821819;18139
3821820;18747
3821821;19014
3821822;19115
3821823;19248
3821824;19517
3821825;19589
3821826;19608
3821827;19870
3821828;20235
3821829;20683
3821830;20814
3821831;20859
3821832;21075
3821833;21311
3821834;21326
3821835;21497
3821836;21783
3821837;21844
3821838;21940
3821839;22171
3821840;22241
3821841;22242
3821842;22449
3821843;22688
3821844;22690
3821845;22721
3821846;22726
3821847;22758
3821848;22806
3821849;22905
3821850;22936
3821851;22982
3821852;23076
3821853;23720
3821854;24389
3821855;25757
3821856;27032
3821857;27094
3821858;27180
3821859;27968
3821860;28471
3821861;28575
3821862;29607
3821863;30015
3821864;30051
3821865;30649
3821866;31318
3821867;32051
3821868;32544
3821869;32799
3821870;32907
3821871;34151
3821872;36596
3821873;95796
