Region;Code;Label;count
BG01;FORFOR;Forest land remaining Forest land;500440
BG01;CRPCRP;Cropland remaining Cropland;1120903
BG01;CRPGRS;Cropland converted to Grassland;8919
BG01;CRPART;Cropland converted to Artificial land;3867
BG01;GRSGRS;Grassland remaining Grassland;107410
BG01;GRSART;Grassland converted to Artificial land;823
BG01;ARTART;Artificial land remaining Artificial land;87279
BG01;RESRES;Residual land remaining Residual land;42376
BG02;FORFOR;Forest land remaining Forest land;419432
BG02;CRPCRP;Cropland remaining Cropland;841981
BG02;CRPART;Cropland converted to Artificial land;38055
BG02;GRSGRS;Grassland remaining Grassland;63655
BG02;GRSART;Grassland converted to Artificial land;5765
BG02;ARTART;Artificial land remaining Artificial land;78780
BG02;RESRES;Residual land remaining Residual land;10960
BG03;FORFOR;Forest land remaining Forest land;370285
BG03;CRPCRP;Cropland remaining Cropland;915776
BG03;CRPART;Cropland converted to Artificial land;7711
BG03;GRSGRS;Grassland remaining Grassland;62996
BG03;GRSART;Grassland converted to Artificial land;949
BG03;ARTART;Artificial land remaining Artificial land;76836
BG03;RESRES;Residual land remaining Residual land;8444
BG04;FORFOR;Forest land remaining Forest land;1081121
BG04;CRPCRP;Cropland remaining Cropland;533915
BG04;CRPGRS;Cropland converted to Grassland;16283
BG04;CRPART;Cropland converted to Artificial land;33415
BG04;GRSGRS;Grassland remaining Grassland;39340
BG04;GRSART;Grassland converted to Artificial land;8963
BG04;ARTART;Artificial land remaining Artificial land;74480
BG04;RESRES;Residual land remaining Residual land;183455
BG05;FORFOR;Forest land remaining Forest land;1113691
BG05;CRPCRP;Cropland remaining Cropland;798782
BG05;CRPGRS;Cropland converted to Grassland;2482
BG05;CRPART;Cropland converted to Artificial land;50361
BG05;GRSCRP;Grassland converted to Cropland;168
BG05;GRSGRS;Grassland remaining Grassland;52292
BG05;GRSART;Grassland converted to Artificial land;386
BG05;ARTART;Artificial land remaining Artificial land;72919
BG05;RESRES;Residual land remaining Residual land;105322
BG06;FORFOR;Forest land remaining Forest land;752195
BG06;CRPFOR;Cropland converted to Forest land;3
BG06;CRPCRP;Cropland remaining Cropland;935125
BG06;CRPGRS;Cropland converted to Grassland;14599
BG06;CRPART;Cropland converted to Artificial land;3132
BG06;GRSCRP;Grassland converted to Cropland;32
BG06;GRSGRS;Grassland remaining Grassland;67279
BG06;GRSART;Grassland converted to Artificial land;333
BG06;ARTART;Artificial land remaining Artificial land;75345
BG06;RESRES;Residual land remaining Residual land;82625
