CumulHa;Price
123863;0
130610;200000
130612;200001
130616;200003
130622;200005
130630;200006
130640;200007
130641;200009
130643;200010
130648;200011
130651;200012
130656;200013
130663;200015
130669;200017
130671;200018
130673;200019
130677;200020
130690;200021
130700;200023
130704;200024
130706;200025
130709;200028
130718;200029
130723;200030
130724;200032
130726;200033
130736;200035
130738;200038
130741;200039
130749;200041
130751;200042
130752;200043
130755;200045
130759;200047
130763;200048
130765;200049
130769;200050
130772;200051
130774;200052
130783;200054
130784;200055
130785;200056
130790;200057
130793;200059
130796;200060
130801;200061
130807;200064
130810;200065
130817;200066
130824;200068
130826;200070
130827;200072
130834;200073
130837;200074
130841;200075
130852;200076
130856;200077
130859;200078
130869;200080
130872;200082
130874;200083
130877;200084
130879;200086
130882;200087
130887;200088
130889;200089
130895;200092
130897;200095
130901;200096
130908;200097
130914;200098
130918;200101
130921;200102
130925;200103
130932;200105
130939;200106
130946;200107
130947;200110
130952;200114
130960;200115
130973;200116
130974;200117
130978;200120
130980;200121
130984;200122
130988;200124
130991;200125
130996;200126
130997;200128
131005;200129
131006;200131
131010;200133
131018;200135
131019;200136
131024;200138
131026;200139
131035;200140
131037;200141
131039;200142
131045;200143
131059;200147
131062;200149
131065;200151
131067;200152
131069;200153
131074;200154
131080;200155
131083;200157
131089;200158
131092;200160
131094;200161
131096;200162
131103;200164
131104;200165
131114;200166
131117;200167
131120;200169
131124;200172
131129;200173
131132;200174
131135;200175
131139;200176
131145;200177
131152;200179
131158;200183
131162;200184
131164;200185
131167;200186
131169;200188
131175;200190
131180;200191
131186;200192
131194;200193
131196;200194
131202;200195
131203;200196
131211;200199
131213;200200
131214;200205
131217;200206
131225;200207
131228;200208
131231;200209
131234;200211
131235;200212
131243;200213
131245;200216
131248;200217
131251;200218
131253;200219
131256;200220
131257;200221
131261;200222
131270;200224
131280;200225
131286;200226
131291;200227
131295;200228
131301;200230
131306;200231
131308;200233
131309;200235
131320;200236
131324;200237
131329;200240
131337;200241
131341;200244
131342;200245
131344;200247
131352;200249
131356;200250
131357;200251
131360;200252
131369;200256
131371;200257
131373;200258
131374;200261
131376;200262
131379;200263
131392;200266
131397;200267
131401;200268
131405;200269
131407;200270
131411;200273
131422;200274
131428;200275
131432;200277
131434;200279
131441;200280
131444;200283
131452;200284
131453;200285
131456;200287
131469;200290
131470;200292
131478;200294
131488;200296
131496;200297
131501;200298
131502;200299
131506;200300
131515;200302
131519;200304
131529;200307
131538;200308
131543;200309
131551;200310
131556;200311
131561;200312
131564;200313
131567;200317
131575;200318
131576;200319
131585;200320
131591;200322
131598;200325
131603;200326
131611;200327
131613;200328
131617;200330
131620;200333
131627;200334
131634;200337
131636;200338
131643;200339
131647;200341
131652;200342
131655;200343
131657;200345
131660;200346
131670;200348
131677;200349
131679;200350
131681;200351
131684;200352
131697;200353
131698;200356
131699;200359
131703;200361
131706;200362
131715;200363
131717;200366
131725;200367
131732;200368
131733;200369
131740;200370
131741;200371
131745;200373
131752;200375
131755;200379
131761;200380
131767;200381
131779;200384
131781;200386
131783;200387
131784;200388
131786;200389
131794;200390
131795;200391
131796;200392
131798;200395
131808;200396
131825;200397
131829;200399
131832;200401
131838;200403
131847;200404
131850;200405
131855;200406
131865;200407
131870;200409
131877;200410
131886;200412
131893;200414
131900;200415
131903;200416
131905;200417
131916;200419
131920;200422
131928;200423
131931;200424
131935;200426
131943;200427
131945;200428
131948;200429
131953;200430
131959;200431
131964;200436
131966;200437
131967;200438
131974;200439
131975;200440
131992;200441
131998;200443
131999;200445
132012;200449
132020;200450
132028;200451
132032;200455
132036;200457
132040;200458
132045;200459
132046;200460
132057;200462
132058;200464
132065;200465
132079;200467
132081;200468
132091;200469
132099;200470
132101;200471
132109;200472
132114;200474
132116;200475
132127;200476
132131;200477
132141;200478
132144;200479
132151;200482
132158;200485
132160;200486
132161;200487
132171;200489
132174;200490
132180;200492
132181;200494
132185;200497
132191;200500
132195;200501
132205;200502
132214;200503
132215;200504
132221;200506
132227;200507
132231;200509
132234;200510
132240;200511
132246;200512
132254;200514
132259;200517
132263;200518
132273;200519
132275;200520
132284;200521
132289;200524
132291;200525
132295;200527
132304;200528
132305;200530
132309;200531
132311;200533
132315;200534
132319;200535
132322;200536
132325;200537
132332;200539
132333;200540
132338;200541
132339;200542
132340;200543
132342;200544
132344;200546
132354;200548
132358;200549
132369;200550
132375;200551
132385;200552
132390;200555
132398;200556
132400;200557
132404;200560
132414;200562
132422;200565
132423;200569
132424;200570
132428;200571
132435;200572
132436;200574
132440;200576
132443;200577
132450;200578
132463;200581
132470;200582
132485;200583
132486;200584
132489;200585
132495;200586
132505;200588
132512;200589
132514;200590
132520;200591
132529;200593
132530;200594
132535;200596
132548;200598
132550;200599
132555;200601
132559;200602
132562;200603
132569;200606
132575;200607
132576;200608
132585;200609
132588;200610
132592;200611
132593;200612
132594;200613
132602;200614
132605;200616
132617;200619
132627;200620
132635;200621
132639;200623
132644;200624
132653;200625
132658;200626
132661;200627
132662;200628
132664;200629
132668;200630
132672;200631
132679;200633
132681;200634
132685;200635
132689;200636
132691;200637
132693;200638
132695;200639
132699;200641
132715;200642
132717;200644
132719;200646
132720;200649
132722;200651
132724;200652
132733;200653
132744;200655
132745;200656
132747;200657
132757;200660
132762;200661
132776;200662
132780;200664
132785;200666
132790;200669
132791;200670
132797;200672
132809;200673
132810;200675
132820;200676
132825;200679
132833;200682
132835;200683
132843;200684
132848;200685
132860;200686
132862;200687
132868;200688
132873;200690
132874;200693
132884;200694
132888;200695
132892;200697
132905;200699
132925;200701
132926;200702
132936;200704
132943;200707
132949;200709
132955;200711
132965;200712
132967;200713
132968;200714
132970;200715
132972;200716
132976;200718
132988;200719
132989;200720
132990;200721
132994;200723
132999;200725
133000;200726
133002;200727
133003;200728
133006;200729
133011;200730
133014;200732
133026;200734
133044;200736
133053;200737
133060;200739
133065;200740
133071;200741
133080;200744
133081;200745
133082;200746
133084;200747
133086;200750
133092;200751
133097;200752
133105;200753
133111;200757
133112;200758
133122;200760
133124;200761
133129;200763
133135;200764
133148;200766
133160;200768
133167;200772
133176;200774
133182;200775
133184;200777
133186;200779
133193;200781
133197;200782
133210;200783
133214;200784
133219;200786
133221;200787
133229;200788
133232;200790
133248;200792
133251;200794
133257;200796
133264;200797
133267;200798
133269;200800
133274;200801
133279;200802
133281;200804
133289;200805
133295;200806
133302;200807
133310;200809
133315;200810
133318;200812
133332;200813
133335;200815
133345;200817
133352;200819
133368;200820
133373;200823
133377;200826
133380;200827
133382;200828
133394;200830
133397;200831
133402;200834
133407;200836
133408;200838
133414;200839
133422;200841
133425;200842
133430;200843
133442;200847
133449;200849
133451;200850
133459;200851
133464;200853
133466;200855
133471;200856
133473;200857
133478;200859
133482;200860
133488;200862
133489;200863
133498;200865
133513;200866
133514;200869
133519;200871
133526;200872
133538;200873
133545;200874
133547;200875
133551;200876
133557;200877
133562;200878
133570;200880
133572;200881
133574;200882
133578;200884
133589;200885
133590;200886
133595;200887
133603;200888
133611;200889
133620;200890
133622;200891
133631;200893
133634;200894
133635;200898
133641;200899
133649;200901
133652;200903
133661;200904
133664;200905
133671;200906
133680;200909
133681;200911
133687;200913
133689;200916
133694;200917
133697;200918
133700;200919
133702;200920
133706;200921
133713;200923
133723;200924
133727;200925
133735;200927
133746;200929
133748;200930
133758;200931
133759;200932
133761;200933
133762;200934
133767;200935
133776;200936
133779;200940
133781;200941
133795;200942
133798;200945
133805;200948
133807;200950
133811;200951
133824;200952
133833;200953
133837;200954
133851;200956
133855;200959
133857;200960
133860;200962
133863;200964
133869;200966
133875;200968
133881;200969
133885;200970
133889;200971
133893;200972
133895;200973
133907;200974
133916;200976
133917;200978
133922;200979
133924;200980
133929;200982
133935;200983
133936;200987
133944;200988
133948;200990
133963;200992
133971;200994
133976;200995
133978;200996
133983;201000
133987;201002
134002;201003
134008;201004
134011;201005
134033;201006
134039;201008
134042;201009
134044;201010
134054;201012
134060;201014
134065;201015
134067;201016
134068;201019
134072;201021
134080;201022
134089;201023
134090;201024
134091;201027
134094;201029
134095;201031
134107;201032
134115;201036
134119;201037
134127;201038
134134;201040
134142;201042
134150;201044
134159;201046
134160;201047
134161;201049
134162;201051
134163;201052
134168;201053
134171;201054
134174;201055
134194;201056
134195;201057
134202;201060
134204;201061
134206;201062
134220;201064
134235;201066
134238;201068
134239;201069
134243;201071
134244;201072
134245;201073
134254;201075
134273;201079
134275;201080
134277;201081
134279;201082
134287;201085
134294;201088
134298;201089
134306;201091
134316;201092
134319;201094
134323;201095
134328;201099
134339;201101
134351;201102
134357;201103
134360;201104
134364;201105
134367;201106
134372;201109
134375;201110
134379;201111
134386;201112
134394;201113
134396;201117
134404;201118
134417;201120
134429;201122
134437;201124
134453;201125
134455;201126
134465;201128
134470;201130
134474;201132
134477;201134
134479;201135
134481;201137
134487;201138
134491;201139
134500;201140
134512;201142
134513;201143
134514;201144
134518;201145
134520;201146
134531;201149
134538;201150
134549;201151
134561;201153
134566;201154
134568;201155
134571;201157
134573;201161
134584;201162
134587;201164
134598;201165
134601;201166
134613;201168
134616;201171
134624;201172
134628;201173
134630;201175
134633;201176
134637;201178
134655;201180
134656;201183
134661;201186
134669;201188
134671;201189
134681;201191
134686;201193
134688;201194
134693;201197
134697;201198
134699;201199
134704;201200
134711;201201
134713;201203
134731;201204
134742;201205
134745;201209
134757;201210
134759;201212
134765;201214
134768;201217
134772;201218
134776;201219
134780;201221
134787;201222
134789;201223
134794;201224
134798;201225
134807;201229
134821;201230
134824;201233
134836;201235
134842;201236
134847;201237
134852;201239
134855;201240
134863;201241
134867;201243
134884;201244
134897;201246
134900;201247
134904;201250
134907;201252
134920;201253
134922;201255
134937;201256
134942;201257
134949;201260
134957;201261
134963;201265
134966;201266
134977;201269
134982;201272
134990;201276
134992;201277
134997;201280
135002;201281
135005;201282
135009;201283
135012;201286
135023;201287
135030;201289
135037;201290
135045;201291
135047;201292
135056;201295
135059;201296
135070;201298
135078;201300
135086;201303
135088;201306
135092;201307
135100;201308
135101;201309
135108;201315
135118;201317
135137;201319
135141;201320
135150;201321
135153;201322
135156;201323
135164;201324
135171;201326
135179;201328
135188;201330
135195;201333
135201;201334
135206;201335
135207;201338
135212;201339
135221;201341
135223;201342
135225;201343
135230;201345
135236;201347
135243;201348
135248;201351
135260;201352
135265;201353
135268;201356
135271;201357
135272;201358
135283;201359
135290;201360
135296;201361
135299;201362
135308;201365
135312;201366
135315;201367
135322;201369
135323;201370
135338;201372
135341;201374
135351;201375
135360;201377
135368;201379
135380;201382
135385;201383
135388;201386
135396;201387
135401;201390
135405;201391
135413;201392
135420;201394
135422;201395
135423;201396
135427;201400
135428;201402
135430;201404
135442;201405
135445;201406
135458;201407
135471;201409
135484;201410
135490;201412
135494;201414
135495;201417
135504;201418
135511;201419
135520;201423
135525;201424
135535;201425
135542;201426
135555;201427
135557;201428
135571;201430
135575;201434
135583;201439
135595;201441
135597;201442
135599;201444
135605;201446
135609;201448
135614;201449
135629;201450
135642;201452
135648;201455
135650;201458
135652;201459
135660;201462
135665;201463
135672;201464
135689;201465
135692;201467
135709;201468
135713;201470
135718;201471
135726;201475
135739;201478
135747;201481
135750;201482
135754;201485
135765;201486
135768;201487
135771;201488
135780;201489
135785;201491
135796;201493
135801;201494
135810;201495
135815;201496
135816;201497
135821;201500
135833;201501
135847;201503
135855;201507
135858;201509
135865;201512
135868;201513
135873;201514
135875;201515
135881;201516
135886;201518
135891;201519
135892;201520
135906;201521
135919;201522
135922;201523
135926;201525
135929;201526
135933;201527
135938;201528
135943;201530
135951;201532
135955;201533
135957;201534
135960;201535
135974;201537
135979;201542
135991;201546
135992;201547
135997;201549
136002;201551
136006;201552
136008;201555
136010;201556
136019;201558
136026;201559
136039;201560
136045;201561
136048;201563
136055;201565
136058;201567
136062;201569
136075;201570
136077;201572
136083;201575
136086;201577
136089;201578
136111;201579
136128;201580
136134;201583
136143;201584
136150;201586
136157;201588
136158;201590
136166;201591
136175;201592
136180;201595
136189;201596
136192;201600
136204;201602
136208;201605
136213;201606
136217;201607
136219;201609
136226;201611
136231;201612
136238;201613
136255;201614
136261;201616
136269;201617
136286;201621
136299;201622
136303;201623
136307;201624
136309;201625
136315;201627
136317;201628
136323;201633
