CumulHa;Price
653162;0
653163;213
653164;421
653165;1512
653166;2050
653167;86053
653168;86062
653169;86083
653170;86085
653171;86114
653172;86143
653173;86146
653174;86152
653175;86207
653176;86233
653177;86235
653178;86271
653179;86289
653180;86296
653181;86305
653182;86430
653183;86435
653184;86466
653185;86477
653186;86509
653187;86525
653188;86537
653189;86564
653190;86831
653191;86890
653192;86942
653193;86950
653194;87263
653195;87577
653196;88212
653197;88775
653198;91888
653199;91892
653200;91903
653201;91917
653202;91918
653203;91921
653204;91926
653205;91927
653206;91934
653207;91938
653208;91942
653209;91948
653210;91955
653211;91963
653212;91964
653213;91992
653214;92025
697639;199999
1102494;200000
1102495;295277
1102497;295280
1102498;295281
1102499;295282
1102500;295495
1102501;295497
1102502;295507
1102503;295516
1102504;295521
1102505;295525
1102506;295527
1102507;295529
1102508;295544
1102509;295550
1102510;295555
1102511;295559
1102512;295567
1102513;295596
1102514;295637
1102515;295690
1102516;295695
1102517;295710
1102518;295726
1102519;295729
1102520;295738
1102522;295742
1102523;295747
1102524;295752
1102526;295761
1102527;295766
1102528;295776
1102529;295834
1102530;295872
1102531;295886
1102532;295960
1102533;296000
1102534;296068
1102535;296165
1102536;296175
1102537;296325
1102538;296329
1102539;296358
1102540;296385
1102541;296409
1102542;296460
1102543;296503
1102544;296511
1102545;296533
1102546;296562
1102547;296637
1102548;296642
1102549;296644
1102550;296710
1102551;296714
1102552;296716
1102553;296726
1102554;296735
1102555;296788
1102556;296800
1102557;296832
1102558;296841
1102559;296872
1102560;296874
1102561;296948
1102562;296952
1102563;296958
1102564;296963
1102565;296969
1102566;296970
1102567;297007
1102568;297038
1102569;297043
1102570;297051
1102571;297058
1102572;297063
1102574;297074
1102575;297094
1102576;297153
1102577;297196
1102578;297211
1102579;297278
1102580;297342
1102581;297355
1102582;297408
1102583;297433
1102584;297492
1102585;297606
1102586;297791
1102587;297843
1102588;297922
1102589;298010
1102590;298011
1102591;298047
1102592;298075
1102593;298080
1102594;298085
1102595;298186
1102596;298201
1102597;298224
1102598;298237
1102599;298258
1102600;298278
1102601;298283
1102602;298292
1102603;298309
1102604;298339
1102605;298345
1102606;298348
1102607;298352
1102608;298370
1102609;298385
1102610;298388
1102611;298402
1102612;298410
1102613;298418
1102614;298426
1102615;298439
1102616;298464
1102617;298480
1102618;298486
1102619;298494
1102620;298515
1102621;298523
1102622;298550
1102623;298557
1102624;298571
1102625;298573
1102626;298577
1102627;298588
1102628;298591
1102629;298606
1102630;298628
1102631;298650
1102632;298655
1102633;298657
1102634;298684
1102635;298701
1102636;298704
1102637;298728
1102638;298729
1102640;298739
1102641;298741
1102642;298763
1102643;298765
1102644;298775
1102645;298790
1102646;298791
1102647;298804
1102648;298815
1102649;298820
1102650;298825
1102651;298835
1102652;298852
1102653;298858
1102654;298879
1102656;298885
1102657;298887
1102658;298890
1102659;298893
1102660;298900
1102661;298915
1102662;298918
1102663;298936
1102664;298937
1102665;298950
1102666;298958
1102668;298970
1102669;298981
1102670;298992
1102671;299005
1102672;299009
1102673;299010
1102675;299012
1102676;299014
1102677;299022
1102678;299029
1102679;299033
1102680;299047
1102681;299052
1102682;299062
1102683;299063
1102684;299078
1102685;299094
1102686;299107
1102687;299109
1102689;299110
1102690;299112
1102691;299114
1102692;299117
1102693;299121
1102694;299126
1102695;299128
1102696;299137
1102697;299147
1102698;299152
1102699;299156
1102700;299167
1102701;299170
1102702;299180
1102704;299181
1102705;299184
1102706;299187
1102707;299188
1102708;299192
1102709;299218
1102710;299220
1102711;299222
1102712;299249
1102713;299254
1102714;299297
1102715;299357
1102716;299371
1102717;299422
1102718;299468
1102719;299489
1102720;299506
1102721;299546
1102722;299589
1102723;299628
1102724;299640
1102725;299674
1102726;299706
1102727;299712
1102728;299720
1102729;299733
1102730;299753
1102731;299759
1102732;299777
1102733;299783
1102734;299790
1102735;299802
1102736;299807
1102739;299816
1102740;299825
1102741;299836
1102742;299850
1102743;299854
1102744;299866
1102745;299869
1102746;299870
1102747;299875
1102748;299886
1102749;299898
1102783;299997
1102794;299998
1102907;299999
1104662;300000
1104676;300001
1104677;362530
1104678;362531
1104682;362532
1104683;362535
1104684;362541
1104685;362543
1104686;362547
1104687;362548
1104688;362550
1104689;362553
1104691;362554
1104692;362556
1104693;362557
1104694;362558
1104696;362559
1104698;362560
1104699;362561
1104700;362563
1104702;362565
1104703;362567
1104705;362568
1104706;362569
1104710;362571
1104711;362573
1104712;362574
1104715;362575
1104716;362576
1104718;362577
1104720;362578
1104723;362580
1104724;362582
1104725;362584
1104731;362585
1104732;362587
1104733;362588
1104734;362589
1104735;362591
1104737;362592
1104738;362593
1104739;362594
1104740;362595
1104743;362597
1104744;362600
1104745;362601
1104747;362602
1104748;362608
1104749;362611
1104750;362626
1104753;362635
1104754;362638
1104755;362642
1104756;362643
1104758;362668
1104759;362676
1104760;362684
1104761;362686
1104763;362694
1104764;362696
1104765;362697
1104766;362720
1104767;362723
1104768;362740
1104769;362747
1104771;362749
1104772;362754
1104774;362758
1104775;362764
1104776;362773
1104778;362775
1104779;362776
1104780;362782
1104781;362786
1104782;362787
1104784;362789
1104785;362792
1104786;362799
1104787;362802
1104788;362812
1104789;362814
1104791;362819
1104792;362820
1104793;362827
1104794;362828
1104795;362831
1104796;362839
1104797;362840
1104798;362843
1104799;362846
1104800;362847
1104801;362850
1104802;362852
1104803;362855
1104804;362857
1104805;362858
1104806;362863
1104807;362868
1104809;362869
1104810;362870
1104813;362872
1104816;362877
1104818;362879
1104819;362883
1104821;362885
1104822;362888
1104823;362891
1104825;362896
1104826;362902
1104827;362904
1104828;362905
1104829;362908
1104830;362909
1104831;362911
1104832;362912
1104833;362913
1104834;362914
1104836;362917
1104837;362918
1104838;362925
1104839;362930
1104840;362931
1104841;362933
1104842;362937
1104843;362939
1104844;362940
1104846;362941
1104847;362942
1104848;362944
1104849;362946
1104850;362952
