Region;Code;Label;count
FR10;FORFOR;Forest land remaining Forest land;303834
FR10;FORART;Forest land converted to Artificial land;196
FR10;CRPFOR;Cropland converted to Forest land;1005
FR10;CRPCRP;Cropland remaining Cropland;568822
FR10;CRPGRS;Cropland converted to Grassland;262
FR10;CRPART;Cropland converted to Artificial land;55301
FR10;GRSGRS;Grassland remaining Grassland;19179
FR10;GRSART;Grassland converted to Artificial land;1034
FR10;ARTART;Artificial land remaining Artificial land;211625
FR10;RESRES;Residual land remaining Residual land;681
FR21;FORFOR;Forest land remaining Forest land;713806
FR21;CRPCRP;Cropland remaining Cropland;1396611
FR21;CRPART;Cropland converted to Artificial land;4958
FR21;GRSGRS;Grassland remaining Grassland;307615
FR21;GRSART;Grassland converted to Artificial land;14376
FR21;ARTART;Artificial land remaining Artificial land;88451
FR21;RESRES;Residual land remaining Residual land;15524
FR22;FORFOR;Forest land remaining Forest land;347397
FR22;CRPCRP;Cropland remaining Cropland;1294680
FR22;CRPART;Cropland converted to Artificial land;8158
FR22;GRSGRS;Grassland remaining Grassland;134144
FR22;GRSART;Grassland converted to Artificial land;18385
FR22;ARTART;Artificial land remaining Artificial land;117967
FR22;RESRES;Residual land remaining Residual land;4306
FR23;FORFOR;Forest land remaining Forest land;230149
FR23;CRPCRP;Cropland remaining Cropland;686708
FR23;CRPART;Cropland converted to Artificial land;2377
FR23;GRSGRS;Grassland remaining Grassland;190802
FR23;GRSART;Grassland converted to Artificial land;12723
FR23;ARTART;Artificial land remaining Artificial land;89897
FR23;RESRES;Residual land remaining Residual land;1350
FR24;FORFOR;Forest land remaining Forest land;940435
FR24;CRPCRP;Cropland remaining Cropland;2360745
FR24;CRPART;Cropland converted to Artificial land;1771
FR24;GRSGRS;Grassland remaining Grassland;435328
FR24;GRSART;Grassland converted to Artificial land;13915
FR24;ARTART;Artificial land remaining Artificial land;152536
FR24;RESRES;Residual land remaining Residual land;4145
FR25;FORFOR;Forest land remaining Forest land;160227
FR25;FORART;Forest land converted to Artificial land;13
FR25;CRPCRP;Cropland remaining Cropland;714811
FR25;CRPART;Cropland converted to Artificial land;1933
FR25;GRSGRS;Grassland remaining Grassland;800274
FR25;GRSART;Grassland converted to Artificial land;2481
FR25;ARTART;Artificial land remaining Artificial land;75384
FR25;RESART;Residual land converted to Artificial land;2
FR25;RESRES;Residual land remaining Residual land;5493
FR26;FORFOR;Forest land remaining Forest land;987900
FR26;CRPCRP;Cropland remaining Cropland;1197542
FR26;CRPART;Cropland converted to Artificial land;2585
FR26;GRSGRS;Grassland remaining Grassland;844375
FR26;GRSART;Grassland converted to Artificial land;2240
FR26;ARTART;Artificial land remaining Artificial land;108394
FR26;RESRES;Residual land remaining Residual land;3036
FR30;FORFOR;Forest land remaining Forest land;102394
FR30;CRPCRP;Cropland remaining Cropland;770735
FR30;CRPART;Cropland converted to Artificial land;11296
FR30;GRSGRS;Grassland remaining Grassland;162294
FR30;GRSART;Grassland converted to Artificial land;4998
FR30;ARTART;Artificial land remaining Artificial land;164360
FR30;RESRES;Residual land remaining Residual land;3249
FR41;FORFOR;Forest land remaining Forest land;910491
FR41;CRPCRP;Cropland remaining Cropland;816208
FR41;CRPART;Cropland converted to Artificial land;10801
FR41;GRSCRP;Grassland converted to Cropland;106
FR41;GRSGRS;Grassland remaining Grassland;441709
FR41;GRSART;Grassland converted to Artificial land;15321
FR41;ARTART;Artificial land remaining Artificial land;133854
FR41;RESART;Residual land converted to Artificial land;3
FR41;RESRES;Residual land remaining Residual land;4232
FR42;FORFOR;Forest land remaining Forest land;345440
FR42;CRPCRP;Cropland remaining Cropland;306674
FR42;CRPGRS;Cropland converted to Grassland;2833
FR42;CRPART;Cropland converted to Artificial land;27949
FR42;GRSGRS;Grassland remaining Grassland;40068
FR42;GRSART;Grassland converted to Artificial land;4321
FR42;ARTART;Artificial land remaining Artificial land;83589
FR42;RESART;Residual land converted to Artificial land;9
FR42;RESRES;Residual land remaining Residual land;4841
FR43;FORFOR;Forest land remaining Forest land;763984
FR43;FORART;Forest land converted to Artificial land;1
FR43;CRPCRP;Cropland remaining Cropland;436325
FR43;CRPGRS;Cropland converted to Grassland;1067
FR43;CRPART;Cropland converted to Artificial land;3312
FR43;GRSGRS;Grassland remaining Grassland;313167
FR43;GRSART;Grassland converted to Artificial land;1315
FR43;ARTART;Artificial land remaining Artificial land;79443
FR43;RESRES;Residual land remaining Residual land;12519
FR51;FORFOR;Forest land remaining Forest land;304075
FR51;FORART;Forest land converted to Artificial land;14
FR51;CRPCRP;Cropland remaining Cropland;1831364
FR51;CRPART;Cropland converted to Artificial land;28315
FR51;GRSGRS;Grassland remaining Grassland;794199
FR51;GRSART;Grassland converted to Artificial land;10493
FR51;ARTART;Artificial land remaining Artificial land;196898
FR51;RESRES;Residual land remaining Residual land;2671
FR52;FORFOR;Forest land remaining Forest land;332436
FR52;FORART;Forest land converted to Artificial land;29
FR52;CRPCRP;Cropland remaining Cropland;1869050
FR52;CRPGRS;Cropland converted to Grassland;1
FR52;CRPART;Cropland converted to Artificial land;13388
FR52;GRSGRS;Grassland remaining Grassland;271237
FR52;GRSART;Grassland converted to Artificial land;14909
FR52;ARTART;Artificial land remaining Artificial land;182895
FR52;RESRES;Residual land remaining Residual land;30400
FR53;FORFOR;Forest land remaining Forest land;394429
FR53;CRPCRP;Cropland remaining Cropland;1717963
FR53;CRPART;Cropland converted to Artificial land;6156
FR53;GRSGRS;Grassland remaining Grassland;319628
FR53;GRSART;Grassland converted to Artificial land;2820
FR53;ARTART;Artificial land remaining Artificial land;118844
FR53;RESRES;Residual land remaining Residual land;2933
FR61;FORFOR;Forest land remaining Forest land;1893333
FR61;CRPFOR;Cropland converted to Forest land;1983
FR61;CRPCRP;Cropland remaining Cropland;1547619
FR61;CRPGRS;Cropland converted to Grassland;617
FR61;CRPART;Cropland converted to Artificial land;31993
FR61;GRSGRS;Grassland remaining Grassland;298648
FR61;GRSART;Grassland converted to Artificial land;6690
FR61;ARTART;Artificial land remaining Artificial land;192366
FR61;RESRES;Residual land remaining Residual land;106408
FR62;FORFOR;Forest land remaining Forest land;1337064
FR62;CRPFOR;Cropland converted to Forest land;2056
FR62;CRPCRP;Cropland remaining Cropland;2137261
FR62;CRPGRS;Cropland converted to Grassland;2447
FR62;CRPART;Cropland converted to Artificial land;20588
FR62;GRSGRS;Grassland remaining Grassland;547946
FR62;GRSART;Grassland converted to Artificial land;5830
FR62;ARTART;Artificial land remaining Artificial land;149402
FR62;RESRES;Residual land remaining Residual land;210276
FR63;FORFOR;Forest land remaining Forest land;638414
FR63;CRPCRP;Cropland remaining Cropland;367841
FR63;CRPGRS;Cropland converted to Grassland;17998
FR63;CRPART;Cropland converted to Artificial land;1862
FR63;GRSGRS;Grassland remaining Grassland;620400
FR63;GRSART;Grassland converted to Artificial land;204
FR63;ARTART;Artificial land remaining Artificial land;42067
FR63;RESRES;Residual land remaining Residual land;5050
FR71;FORFOR;Forest land remaining Forest land;1829252
FR71;FORART;Forest land converted to Artificial land;387
FR71;CRPCRP;Cropland remaining Cropland;1013987
FR71;CRPGRS;Cropland converted to Grassland;56136
FR71;CRPART;Cropland converted to Artificial land;32474
FR71;GRSGRS;Grassland remaining Grassland;574703
FR71;GRSART;Grassland converted to Artificial land;8216
FR71;ARTART;Artificial land remaining Artificial land;283145
FR71;RESART;Residual land converted to Artificial land;13515
FR71;RESRES;Residual land remaining Residual land;306872
FR72;FORFOR;Forest land remaining Forest land;819351
FR72;CRPCRP;Cropland remaining Cropland;594486
FR72;CRPGRS;Cropland converted to Grassland;24758
FR72;CRPART;Cropland converted to Artificial land;3021
FR72;GRSGRS;Grassland remaining Grassland;969080
FR72;GRSART;Grassland converted to Artificial land;2317
FR72;ARTART;Artificial land remaining Artificial land;78028
FR72;RESART;Residual land converted to Artificial land;1
FR72;RESRES;Residual land remaining Residual land;108755
FR81;FORFOR;Forest land remaining Forest land;1216842
FR81;FORCRP;Forest land converted to Cropland;5
FR81;FORGRS;Forest land converted to Grassland;3003
FR81;FORART;Forest land converted to Artificial land;1044
FR81;CRPFOR;Cropland converted to Forest land;1
FR81;CRPCRP;Cropland remaining Cropland;797425
FR81;CRPGRS;Cropland converted to Grassland;46338
FR81;CRPART;Cropland converted to Artificial land;27257
FR81;GRSGRS;Grassland remaining Grassland;108789
FR81;GRSART;Grassland converted to Artificial land;1763
FR81;ARTART;Artificial land remaining Artificial land;118427
FR81;RESCRP;Residual land converted to Cropland;509
FR81;RESGRS;Residual land converted to Grassland;13969
FR81;RESART;Residual land converted to Artificial land;1158
FR81;RESRES;Residual land remaining Residual land;321842
FR82;FORFOR;Forest land remaining Forest land;1355129
FR82;FORGRS;Forest land converted to Grassland;87
FR82;FORART;Forest land converted to Artificial land;2784
FR82;CRPCRP;Cropland remaining Cropland;578215
FR82;CRPGRS;Cropland converted to Grassland;48231
FR82;CRPART;Cropland converted to Artificial land;24630
FR82;GRSGRS;Grassland remaining Grassland;59652
FR82;GRSART;Grassland converted to Artificial land;902
FR82;ARTART;Artificial land remaining Artificial land;200418
FR82;RESGRS;Residual land converted to Grassland;22
FR82;RESART;Residual land converted to Artificial land;2626
FR82;RESRES;Residual land remaining Residual land;468415
FR83;FORFOR;Forest land remaining Forest land;514348
FR83;FORART;Forest land converted to Artificial land;9
FR83;CRPFOR;Cropland converted to Forest land;29843
FR83;CRPCRP;Cropland remaining Cropland;32770
FR83;CRPGRS;Cropland converted to Grassland;8610
FR83;CRPART;Cropland converted to Artificial land;2332
FR83;CRPRES;Cropland converted to Residual land;220
FR83;GRSFOR;Grassland converted to Forest land;3241
FR83;GRSCRP;Grassland converted to Cropland;5525
FR83;GRSGRS;Grassland remaining Grassland;8259
FR83;GRSART;Grassland converted to Artificial land;1108
FR83;GRSRES;Grassland converted to Residual land;14
FR83;ARTART;Artificial land remaining Artificial land;18523
FR83;RESRES;Residual land remaining Residual land;151275
