Region;Code;Label;count
EL11;FORFOR;Forest land remaining Forest land;570450
EL11;FORCRP;Forest land converted to Cropland;111
EL11;FORART;Forest land converted to Artificial land;771
EL11;CRPFOR;Cropland converted to Forest land;15520
EL11;CRPCRP;Cropland remaining Cropland;486043
EL11;CRPGRS;Cropland converted to Grassland;26189
EL11;CRPART;Cropland converted to Artificial land;2648
EL11;GRSFOR;Grassland converted to Forest land;590
EL11;GRSGRS;Grassland remaining Grassland;8009
EL11;GRSART;Grassland converted to Artificial land;47
EL11;ARTART;Artificial land remaining Artificial land;26182
EL11;RESCRP;Residual land converted to Cropland;251
EL11;RESRES;Residual land remaining Residual land;206550
EL12;FORFOR;Forest land remaining Forest land;560997
EL12;FORART;Forest land converted to Artificial land;192
EL12;CRPFOR;Cropland converted to Forest land;1241
EL12;CRPCRP;Cropland remaining Cropland;944104
EL12;CRPART;Cropland converted to Artificial land;2151
EL12;GRSFOR;Grassland converted to Forest land;2222
EL12;GRSGRS;Grassland remaining Grassland;19178
EL12;GRSART;Grassland converted to Artificial land;1063
EL12;ARTART;Artificial land remaining Artificial land;61034
EL12;RESRES;Residual land remaining Residual land;215852
EL13;FORFOR;Forest land remaining Forest land;364240
EL13;FORART;Forest land converted to Artificial land;300
EL13;CRPFOR;Cropland converted to Forest land;140093
EL13;CRPCRP;Cropland remaining Cropland;176275
EL13;CRPGRS;Cropland converted to Grassland;6172
EL13;CRPART;Cropland converted to Artificial land;366
EL13;GRSGRS;Grassland remaining Grassland;10782
EL13;GRSART;Grassland converted to Artificial land;24
EL13;ARTART;Artificial land remaining Artificial land;13023
EL13;RESART;Residual land converted to Artificial land;10
EL13;RESRES;Residual land remaining Residual land;157524
EL14;FORFOR;Forest land remaining Forest land;396875
EL14;FORCRP;Forest land converted to Cropland;6
EL14;FORART;Forest land converted to Artificial land;218
EL14;CRPFOR;Cropland converted to Forest land;24309
EL14;CRPCRP;Cropland remaining Cropland;552054
EL14;CRPGRS;Cropland converted to Grassland;3368
EL14;CRPART;Cropland converted to Artificial land;1817
EL14;GRSFOR;Grassland converted to Forest land;5581
EL14;GRSGRS;Grassland remaining Grassland;11209
EL14;GRSART;Grassland converted to Artificial land;708
EL14;ARTART;Artificial land remaining Artificial land;29200
EL14;RESCRP;Residual land converted to Cropland;306
EL14;RESRES;Residual land remaining Residual land;334814
EL21;FORFOR;Forest land remaining Forest land;414190
EL21;FORART;Forest land converted to Artificial land;357
EL21;CRPFOR;Cropland converted to Forest land;128831
EL21;CRPCRP;Cropland remaining Cropland;71389
EL21;CRPGRS;Cropland converted to Grassland;2425
EL21;CRPART;Cropland converted to Artificial land;962
EL21;GRSFOR;Grassland converted to Forest land;5042
EL21;GRSCRP;Grassland converted to Cropland;698
EL21;GRSGRS;Grassland remaining Grassland;492
EL21;GRSART;Grassland converted to Artificial land;325
EL21;ARTART;Artificial land remaining Artificial land;13004
EL21;RESART;Residual land converted to Artificial land;9
EL21;RESRES;Residual land remaining Residual land;220820
EL22;FORFOR;Forest land remaining Forest land;56758
EL22;FORCRP;Forest land converted to Cropland;25
EL22;FORART;Forest land converted to Artificial land;279
EL22;CRPFOR;Cropland converted to Forest land;2991
EL22;CRPCRP;Cropland remaining Cropland;81155
EL22;CRPGRS;Cropland converted to Grassland;1069
EL22;CRPART;Cropland converted to Artificial land;2220
EL22;GRSCRP;Grassland converted to Cropland;675
EL22;GRSGRS;Grassland remaining Grassland;4019
EL22;GRSART;Grassland converted to Artificial land;988
EL22;ARTART;Artificial land remaining Artificial land;7046
EL22;RESCRP;Residual land converted to Cropland;50
EL22;RESRES;Residual land remaining Residual land;59685
EL23;FORFOR;Forest land remaining Forest land;333251
EL23;FORART;Forest land converted to Artificial land;697
EL23;CRPFOR;Cropland converted to Forest land;87513
EL23;CRPCRP;Cropland remaining Cropland;371411
EL23;CRPGRS;Cropland converted to Grassland;9661
EL23;CRPART;Cropland converted to Artificial land;1782
EL23;GRSFOR;Grassland converted to Forest land;1176
EL23;GRSCRP;Grassland converted to Cropland;131
EL23;GRSGRS;Grassland remaining Grassland;2925
EL23;ARTART;Artificial land remaining Artificial land;17880
EL23;RESCRP;Residual land converted to Cropland;88
