CumulHa;Price
4792168;0
4792169;78
4792170;104
4792171;129
4792172;433
4792173;444
4792174;455
4792175;536
4792176;672
4792177;716
4792178;877
4792179;901
4792180;1025
4792181;1084
4792182;1364
4792183;1367
4792184;1715
4792185;1726
4792186;2003
4792187;2078
4792188;2102
4792189;2149
4792190;2171
4792191;2205
4792192;2306
4792193;2345
4792194;2734
4792195;2753
4792196;2861
4792197;2909
4792198;3063
4792199;3194
4792200;3380
4792201;3443
4792202;3849
4792203;3871
4792204;4013
4792205;4575
4792206;4580
4792208;4629
4792209;4642
4792210;5168
4792211;5170
4792212;5424
4792213;5512
4792214;5875
4792215;6038
4792216;6258
4792217;6349
4792218;6484
4792219;6582
4792220;6772
4792221;6839
4792222;6990
4792223;7172
4792224;7185
4792225;7508
4792226;7992
4792227;8224
4792228;8278
4792229;8402
4792230;8410
4792231;8479
4792232;8656
4792233;8833
4792234;8899
4792235;9056
4792236;9190
4792237;9221
4792238;9251
4792239;9355
4792240;9576
4792241;9731
4792242;9824
4792243;9887
4792244;9927
4792245;9960
4792246;10098
4792247;10238
4792248;10265
4792249;11269
4792250;11328
4792251;11542
4792252;11722
4792253;11814
4792254;11921
4792255;11997
4792256;12365
4792257;13427
4792258;13478
4792259;13664
4792260;13995
4792261;14225
4792262;14294
4792263;14882
4792264;15573
4792265;15710
4792266;15940
4792267;16278
4792268;16430
4792269;16684
4792270;16696
4792271;16794
4792272;16838
4792273;17027
4792274;17115
4792275;17187
4792276;17305
4792277;17598
4792278;17718
4792279;17837
4792280;17848
4792281;17858
4792282;18008
4792283;18217
4792284;18283
4792285;18302
4792286;18321
4792287;18402
4792288;18425
4792289;18454
4792290;18490
4792291;19218
4792292;19616
4792293;19669
4792294;19797
4792295;20162
4792296;21130
4792297;21188
4792298;21588
4792299;21836
4792300;21838
4792301;22049
4792302;22069
4792303;22376
4792304;22847
4792305;24253
4792306;24411
4792307;24501
4792308;24570
4792309;24881
4792310;25052
4792311;25322
4792312;26306
4792313;26401
4792314;26497
4792315;26658
4792316;26767
4792317;26981
4792318;27573
4792319;27953
4792320;27991
4792321;28013
4792322;28196
4792323;28282
4792324;28283
4792325;28480
4792326;29132
4792327;29214
4792328;29703
4792329;29963
4792330;30043
4792331;30192
4792332;30688
4792333;31008
4792334;32756
4792335;32947
4792336;33105
4792337;33496
4792338;33504
4792339;33713
4792340;33876
4792341;34176
4792342;34382
4792343;35207
4792344;35536
4792345;36637
4792346;36788
4792347;36975
4792348;37900
4792349;38043
4792350;38088
4792351;38286
4792352;38445
4792353;38778
4792354;39076
4792355;39198
4792356;39586
4792357;39913
4792358;40305
4792359;40348
4792360;41384
4792361;41807
4792362;42808
4792363;42940
4792364;43153
4792365;44034
4792366;44261
4792367;44463
4792368;44727
4792369;45297
4792370;45387
4792371;45503
4792372;46210
4792373;46310
4792374;46941
4792375;47189
4792376;47295
4792377;47324
4792378;47671
4792379;48788
4792380;49464
4792381;49592
4792382;49593
4792383;49687
4792384;49759
4792385;49980
4792386;50421
4792387;50806
4792388;50867
4792389;51116
4792390;51118
4792391;51141
4792392;52637
4792393;52650
4792394;52994
4792395;53299
4792396;53305
4792397;54620
4792398;54718
4792399;54846
4792400;55044
4792401;55333
4792402;55380
4792403;55906
4792404;55995
4792405;56107
4792406;56183
4792407;56257
4792408;56516
4792409;56660
4792410;56910
4792411;57002
4792412;57203
4792413;57767
4792414;57939
4792415;58309
4792416;58813
4792417;58845
4792418;59325
4792419;60510
4792420;60868
4792421;61092
4792422;61318
4792423;62124
4792424;62532
4792425;62585
4792426;63676
4792427;63789
4792428;63843
4792429;64250
4792430;64845
4792431;65458
4792432;66009
4792433;66028
4792434;66353
4792435;67044
4792436;67940
4792437;68096
4792438;68133
4792439;68375
4792440;69324
4792441;69718
4792442;69833
4792443;72465
4792444;73131
4792445;74059
4792446;74185
4792447;74513
4792448;74899
4792449;75881
4792450;76757
4792451;77323
4792452;77550
4792453;77591
4792454;77972
