Label;count
Forest land remaining Forest land;667037
Forest land converted to Cropland;72628
Forest land converted to Artificial land;481
Cropland remaining Cropland;854352
Cropland converted to Grassland;4
Cropland converted to Artificial land;35
Grassland converted to Cropland;32698
Grassland remaining Grassland;3850464
Grassland converted to Artificial land;934
Artificial land remaining Artificial land;111108
Residual land converted to Cropland;89081
Residual land converted to Artificial land;109
Residual land remaining Residual land;78435
