Region;Code;Label;count
IR01;FORFOR;Forest land remaining Forest land;331513
IR01;CRPFOR;Cropland converted to Forest land;405
IR01;CRPCRP;Cropland remaining Cropland;364113
IR01;CRPGRS;Cropland converted to Grassland;4
IR01;CRPART;Cropland converted to Artificial land;13449
IR01;GRSCRP;Grassland converted to Cropland;1124
IR01;GRSGRS;Grassland remaining Grassland;1650499
IR01;GRSART;Grassland converted to Artificial land;1471
IR01;ARTART;Artificial land remaining Artificial land;34562
IR01;RESART;Residual land converted to Artificial land;109
IR01;RESRES;Residual land remaining Residual land;74230
IR02;FORFOR;Forest land remaining Forest land;335427
IR02;FORCRP;Forest land converted to Cropland;72628
IR02;FORART;Forest land converted to Artificial land;578
IR02;CRPCRP;Cropland remaining Cropland;476420
IR02;GRSCRP;Grassland converted to Cropland;59007
IR02;GRSGRS;Grassland remaining Grassland;2161749
IR02;GRSART;Grassland converted to Artificial land;10246
IR02;ARTART;Artificial land remaining Artificial land;76546
IR02;RESCRP;Residual land converted to Cropland;89045
IR02;RESART;Residual land converted to Artificial land;36
IR02;RESRES;Residual land remaining Residual land;4205
