CumulHa;Price
1198648;0
1866407;1
1866408;10
1866409;51
1866410;53
1866411;63
1866412;69
1866413;170
1866414;217
1866415;293
1866416;428
1866417;688
1866418;843
1866419;936
1866420;954
1866421;1297
1866422;1591
1866423;1609
1866424;1730
1866425;2019
1866426;2042
1866427;2053
1866428;2256
1866429;2331
1866430;2610
1866431;2909
1866432;3031
1866433;3195
1866434;3294
1866435;3397
1866436;3678
1866437;3755
1866438;4087
1866439;4191
1866440;4705
1866441;4759
1866442;4955
1866443;5005
1866444;5329
1866445;5463
1866446;5506
1866447;5730
1866448;5793
1866449;5880
1866450;6290
1866451;6600
1866452;6700
1866453;6883
1866454;7219
1866455;7353
1866456;7380
1866457;7407
1866458;7467
1866459;7933
1866460;7993
1866461;8231
1866462;8235
1866463;8640
1866464;8898
1866465;8981
1866466;9356
1866467;9373
1866468;9553
1866469;9577
1866470;9883
1866471;10584
1866472;10678
1866473;12278
1866474;12598
1866475;13111
1866476;13332
1866477;13525
1866478;13658
1866479;13881
1866480;14106
1866481;14196
1866482;15612
1866483;15619
1866484;15649
1866485;15716
1866486;15896
1866487;15997
1866488;16121
1866489;16158
1866490;16417
1866491;16627
1866492;16807
1866493;17138
1866494;17171
1866495;17296
1866496;17559
1866497;17946
1866498;18131
1866499;18342
1866500;18586
1866501;18922
1866502;19075
1866503;19377
1866504;19546
1866505;19808
1866506;20113
1866507;20323
1866508;20708
1866509;20975
1866510;21011
1866511;21183
1866512;21317
1866513;21358
1866514;21855
1866515;22432
1866516;22496
1866517;22544
1866518;22796
1866519;23166
1866520;23629
1866521;23924
1866522;24444
1866523;24544
1866524;25398
1866525;25423
1866526;25631
1866527;25739
1866528;25783
1866529;26134
1866530;26246
1866531;26491
1866532;27057
1866533;27140
1866534;27182
1866535;27439
1866536;27522
1866537;27636
1866538;27935
1866539;29025
1866540;29259
1866541;29294
1866542;29307
1866543;29312
1866544;29325
1866545;29510
1866546;30418
1866547;30629
1866548;30898
1866549;31382
1866550;31385
1866551;31430
1866552;31456
1866553;31477
1866554;31563
1866555;31888
1866556;31992
1866557;32230
1866558;32279
1866559;32374
1866560;32449
1866561;32459
1866562;32531
1866563;32594
1866564;32698
1866565;32776
1866566;32826
1866567;33135
1866568;33182
1866569;33278
1866570;33323
1866571;33792
1866572;33938
1866573;33942
1866574;34136
1866575;34406
1866576;34742
1866577;35087
1866578;35131
1866579;35141
1866580;35287
1866581;35419
1866582;35490
1866583;35537
1866584;35797
1866585;35920
1866586;35954
1866587;36130
1866588;36536
1866589;36661
1866590;36918
1866591;36928
1866592;37245
1866593;37524
1866594;37899
1866595;38004
1866596;38600
1866597;38773
1866598;38796
1866599;39034
1866600;39421
1866601;39938
1866602;39979
1866603;40019
1866604;40042
1866605;40185
1866607;40500
1866608;40680
1866609;40769
1866610;41220
1866611;41540
1866612;41617
1866613;41737
1866614;42152
1866615;42291
1866616;42393
1866617;42445
1866618;42851
1866619;42957
1866620;43257
1866621;43474
1866622;43981
1866623;44102
1866624;44454
1866626;44762
1866627;44957
1866628;45014
1866629;45298
1866630;45655
1866631;45988
1866632;46077
1866633;46190
1866634;46275
1866635;46498
1866636;46955
1866637;47074
1866638;47624
1866639;47903
1866640;48462
1866641;48528
1866642;48751
1866643;48904
1866644;49050
1866645;49135
1866646;49243
1866648;49749
1866649;50030
1866650;50067
1866651;50083
1866652;50106
1866653;50131
1866654;50412
1866655;50482
1866656;50554
1866657;50588
1866658;50726
1866659;50753
1866660;50863
1866661;50892
1866662;51006
1866663;51582
1866664;51889
1866665;51890
1866666;52000
1866667;52051
1866668;52089
1866669;52166
1866670;52339
1866671;52944
1866672;53431
1866673;53554
1866674;53717
1866675;53754
1866676;53808
1866677;54275
1866678;54694
1866679;54732
1866680;54899
1866681;55079
1866682;55149
1866683;55159
1866684;55160
1866685;55229
1866686;55312
1866687;55331
1866688;55719
1866689;55742
1866690;55870
1866691;55903
1866692;56420
1866693;56610
1866694;56723
1866695;56967
1866696;57443
1866697;57588
1866698;57693
1866699;57994
1866700;58112
1866701;58321
1866702;58789
1866703;58806
1866704;58937
1866705;59300
1866706;59535
1866707;59614
1866708;59704
1866709;59750
1866710;59758
1866711;59787
1866712;60083
1866713;60130
1866714;60625
1866715;60674
1866716;60747
1866717;60889
1866718;60949
1866719;61008
1866720;61370
1866721;61453
1866722;61505
1866723;61864
1866724;61955
1866725;62039
1866726;62254
1866727;62353
1866728;62409
1866729;62719
1866730;62817
1866731;62873
1866732;62936
1866733;63160
1866734;63329
1866735;63335
1866736;63722
1866737;64248
1866738;64458
1866739;64527
1866740;64613
1866741;64861
1866742;65088
1866743;65128
1866744;65231
1866745;65243
1866746;65571
1866747;65787
1866748;65824
1866749;66148
1866750;66213
1866751;66283
1866752;66313
1866753;66337
1866754;66509
1866755;66664
1866756;67945
1866757;68445
1866758;70860
1866759;70953
1866760;71035
1866761;71200
1866762;71741
1866763;71956
1866764;72199
1866765;72654
1866766;72775
1866767;72939
1866768;73744
1866769;74671
1866770;75174
1866771;75522
1866772;76193
1866773;76938
1866774;77002
1866775;77480
1866776;77926
1866777;78202
1866778;78524
1866779;78645
1866780;80225
1866781;80752
1866782;81090
1866783;81778
1866784;82240
1866785;83436
1866786;83768
1866787;84373
1866788;84377
1866789;84857
1866790;84986
1866791;85028
1866792;85749
1866793;85812
1866794;86501
1866795;86748
1866796;86943
1866797;87031
1866798;87575
1866799;87720
1866800;88533
1866801;88974
1866802;89044
1866803;89148
1866804;89186
1866805;89319
1866806;90422
1866807;90817
1866808;90871
1866809;91598
1866810;91634
1866811;92152
1866812;93415
1866813;93475
1866814;94114
1866815;94432
1866816;95008
1866817;96186
1866818;96507
1866819;96672
1866820;96702
1866821;96712
1866822;97406
1866823;98378
1866824;98473
1866825;98630
1866827;99883
1866829;99884
1866830;99885
1866831;99886
1866832;99888
1866833;99889
1866834;99890
1866835;99891
1866836;99909
1866837;99911
1866839;99912
1866840;99914
1866841;99915
1866843;99916
1866846;99917
1866848;99931
1866850;99932
1866855;99933
1866858;99934
1866860;99935
1866861;99936
1866862;99987
1866864;99988
1866869;99989
1866879;99990
1866887;99991
1866897;99992
1866899;99993
1866904;99994
1866909;99995
1866910;99996
1866911;99997
1866912;99998
1866936;99999
1867205;100000
1872250;100001
1872251;100564
1872252;101129
1872253;101146
1872254;101225
1872255;101264
1872256;101664
1872257;101764
1872258;101859
1872259;101869
1872260;102187
1872261;102504
1872262;102895
1872263;103014
1872264;103126
1872265;103302
1872266;103379
1872267;103422
1872268;103441
1872269;103553
1872270;103864
1872271;103927
1872272;103944
1872273;103952
1872274;104387
1872275;104511
1872276;104516
1872277;104522
1872278;104545
1872279;104624
1872280;104870
1872281;104873
1872282;104938
1872283;105093
1872284;105179
1872285;105453
1872286;105546
1872287;105731
1872288;106316
1872289;106518
1872290;106741
1872291;106856
1872292;107265
1872293;107279
1872294;107513
1872295;107560
1872296;107710
1872297;107829
1872298;107893
