CumulHa;Price
2185698;0
2185700;97141
2185701;99150
2185702;102197
2185703;102380
2185708;103006
2185711;103800
2185714;104120
2185719;104477
2185724;105905
2185732;106583
2185735;108691
2185737;110785
2185738;156504
2185741;158347
2185742;166771
2185743;168071
2185744;170603
2185745;172503
2185746;199993
2185748;199994
2185755;199996
2185756;199997
2185757;199998
2191424;199999
3366814;200000
3366834;200001
3366882;200002
3366905;200003
3366906;200006
3366907;200008
3366908;200161
3366909;200906
3366911;240931
3366929;299999
3369775;300000
3369777;314855
3369778;318036
3369779;399846
3371245;400000
3371247;457502
3371256;483749
3371260;483750
3371261;484241
3371262;484254
3371263;484255
3371264;484267
3371265;484269
3371266;484277
3371275;489999
3371288;490000
3371289;490325
3371290;490327
3371291;490332
3371292;490333
3371293;490338
3371294;490343
3371295;490377
3371304;493749
3371306;493750
3371327;496249
3371331;496250
3371332;496277
3371333;496281
3371334;496284
3371336;496286
3371337;496359
3371338;496363
3371340;496367
3371341;496429
3371376;497499
3371380;497500
3371382;497519
3371383;497522
3371384;497523
3371385;497548
3371387;497549
3371389;497551
3371391;497552
3371392;497553
3371394;497555
3371395;497571
3371396;497580
3371397;497583
3371399;497585
3371400;497586
3371401;497587
3371402;497591
3371403;497604
3371404;497605
3371406;497606
3371423;498749
3371424;498750
3371427;499831
3371428;499839
3371429;499849
3371431;499850
3371433;499851
3371436;499852
3371441;499853
3371442;499854
3371445;499855
3371449;499856
3371451;499857
3371465;499858
3371480;499859
3371490;499860
3371512;499861
3371532;499862
3371558;499863
3371588;499864
3371612;499865
3371643;499866
3371671;499867
3371697;499868
3371730;499869
3371754;499870
3371777;499871
3371796;499872
3371821;499873
3371838;499874
3371853;499875
3371872;499876
3371893;499877
3371914;499878
3371941;499879
3371969;499880
3371995;499881
3372027;499882
3372056;499883
3372080;499884
3372112;499885
3372144;499886
3372172;499887
3372205;499888
3372240;499889
3372271;499890
3372317;499891
3372358;499892
3372393;499893
3372431;499894
3372462;499895
3372494;499896
3372518;499897
3372548;499898
3372575;499899
3372604;499900
3372632;499901
3372676;499902
3372722;499903
3372761;499904
3372783;499905
3372804;499906
3372819;499907
3372832;499908
3372851;499909
3372863;499910
3372880;499911
3372892;499912
3372905;499913
3372914;499914
3372922;499915
3372929;499916
3372941;499917
3372948;499918
3372953;499919
3372958;499920
3372968;499921
3372982;499922
3372992;499923
3373001;499924
3373019;499925
3373025;499926
3373028;499927
3373030;499928
3373031;499929
3373035;499930
3373039;499931
3373040;499932
3373042;499933
3373044;499934
3373047;499935
3373050;499936
3373053;499937
3373057;499938
3373059;499939
3373062;499940
3373066;499941
3373069;499942
3373071;499943
3373073;499944
3373075;499945
3373080;499946
3373084;499947
3373088;499948
3373094;499949
3373097;499950
3373100;499951
3373105;499952
3373110;499953
3373114;499954
3373119;499955
3373121;499956
3373125;499957
3373127;499958
3373134;499959
3373141;499960
3373143;499962
3373148;499963
3373151;499964
3373154;499965
3373155;499966
3373160;499967
3373165;499968
3373166;499969
3373171;499970
3373175;499971
3373178;499972
3373179;499973
3373181;499974
3373183;499975
3373184;499976
3373187;499978
3373189;499980
3373190;499981
3373192;499982
3373193;499983
3373195;499984
3373196;499986
3373198;499993
3373199;499994
3373200;499995
3373234;499996
3373245;499997
3373264;499998
3377414;499999
3815969;500000
3815991;631250
3815992;637049
3815993;644183
3815994;644262
3815995;644319
3815996;644337
3815997;644359
3815998;644371
3815999;644396
3816000;644419
3816001;644430
3816002;644435
3816003;644441
3816004;644456
3816005;644458
3816006;644464
3816007;644480
3816008;644490
3816009;644493
3816010;644504
3816011;644517
3816013;644523
3816014;644527
3816015;644542
3816016;644549
3816017;644554
3816018;644567
3816019;644569
3816020;644579
3816021;644590
3816022;644605
3816023;644631
3816024;644667
3816025;644696
3816026;644709
3816027;644721
3816028;644745
3816029;644769
3816030;644830
3816031;644843
3816032;644850
3816033;644856
3816034;644858
3816035;644865
3816036;644869
3816037;644872
3816038;644899
3816039;644903
3816040;644905
3816041;644913
3816042;644938
3816043;644962
3816044;644969
3816045;644970
3816046;644973
3816047;644995
3816048;645007
3816049;645010
3816050;645041
3816051;645079
3816052;645106
3816053;645146
3816054;645174
3816055;645202
3816056;645208
3816057;645237
3816059;645263
3816061;645315
3816062;645323
3816063;645352
3816064;645362
3816065;645380
3816068;645385
3816069;645388
3816070;645437
3816071;654975
3816072;655125
3817664;656249
3817829;656250
3817838;656251
3817839;656252
3817843;656253
3817846;656254
3817854;656255
3817857;656256
3817863;656257
3817864;656265
3817869;656266
3817870;656268
3817872;656271
3817873;656272
3817874;656280
3817876;656286
3817877;656302
3817878;656303
3817880;656314
3817881;656328
3817883;656366
3817884;656367
3817885;656368
3817886;656369
3817888;656391
3817889;656392
3817890;656393
3817893;656395
3817894;656421
3817896;656424
3817897;656454
3817898;656456
3817899;656457
3817900;656463
3817901;656497
3817902;656499
3817903;656503
3817904;656605
3817905;656614
3817906;656673
3817907;656729
3817908;656772
3817909;656813
3817910;656974
3817911;657157
3817912;657337
3817913;657457
3817914;657570
3817915;657679
3817916;657690
3817917;657729
3817918;657736
3817919;657885
3817920;657985
3817921;657993
3817922;658107
3817923;658114
3817924;658228
3817925;658235
3817926;658297
3817927;658348
3817928;658355
3817929;658466
3817930;658474
3817931;671250
3817933;672500
3817934;673749
3817935;673750
3817936;675010
3817937;675030
3817938;675037
3817939;675742
3817940;682079
3818014;683749
3818018;683750
3818019;683752
3818020;685657
3818021;685696
3818022;685812
3818023;686632
3818024;686795
3818068;689999
3818072;690000
3818073;690001
3818074;690876
3818075;691877
3818076;692016
3818077;693365
3818099;693749
3818120;696249
3818197;697499
3818199;697500
3818279;698749
3818281;698750
3818282;699846
3818284;699847
3818285;699849
3818287;699850
3818288;699851
3818291;699852
3818293;699853
3818295;699854
3818296;699855
3818303;699856
3818307;699857
3818308;699858
3818313;699859
3818314;699860
3818317;699861
3818322;699862
3818328;699863
3818334;699864
3818339;699865
3818345;699866
3818350;699867
3818356;699868
3818360;699869
3818364;699870
3818366;699871
3818371;699872
3818380;699873
3818384;699874
3818388;699875
3818391;699876
3818397;699877
3818400;699878
3818402;699879
3818404;699880
3818409;699881
3818410;699882
3818414;699883
3818423;699884
3818437;699885
3818442;699886
3818447;699887
3818450;699888
3818452;699889
3818456;699890
3818457;699892
3818461;699893
3818463;699894
3818464;699896
3818468;699897
3818471;699898
3818473;699900
3818475;699902
3818476;699903
3818480;699904
3818482;699905
3818483;699906
3818486;699908
3818487;699911
3818489;699912
3818490;699913
3818491;699916
3818493;699917
3818494;699918
3818495;699921
3818496;699922
3818497;699925
3818498;699930
3818499;699931
3818500;699939
3818501;699941
3818502;699942
3818505;699947
3818506;699951
3818507;699953
3818509;699956
3818510;699958
3818511;699960
3818512;699961
3818514;699965
3818517;699970
3818520;699974
3818524;699978
3818525;699979
3818527;699981
3818530;699982
3818532;699983
3818534;699984
3818535;699985
3818537;699986
3818541;699987
3818544;699988
3818558;699989
3818579;699990
3818584;699991
3818586;699992
3818589;699993
3818593;699994
3818594;699995
3818646;699996
3818666;699997
3818698;699998
3819077;699999
3911254;700000
3911255;756682
3911256;764901
3911257;766493
3911258;766502
3911259;766516
3911260;766540
3911261;766553
3911262;766556
3911263;766562
3911264;766578
3911265;766588
3911266;766591
3911267;766593
3911268;766601
3911269;766614
3911270;766622
3911272;766649
3911273;766652
3911275;766682
3911276;766686
3911277;766711
3911278;766713
3911279;766742
3911280;766751
3911282;766774
3911283;766796
3911285;766802
3911286;766806
3911287;766816
3911288;766836
3911290;766837
3911291;766864
3911292;766867
3911293;766898
3911294;766901
3911295;766905
3911296;766924
3911297;766932
3911298;766933
3911299;766951
3911300;766962
3911301;766967
3911302;766977
3911303;766991
3911304;766995
3911306;766999
3911307;767002
3911309;767013
3911310;767027
3911311;767031
3911312;767034
3911313;767064
3911315;767066
3911316;767076
