CumulHa;Price
9516;0
9517;1
9518;2
9520;10
9522;13
9525;16
9526;17
9527;19
9529;21
9533;22
9535;24
9536;202596
9598;203212
9961;203213
9962;206323
10077;303213
10084;307643
10085;633491
10086;633807
10087;636135
10088;639878
10089;649019
10090;649227
10091;649831
10092;656827
10093;664271
10094;672652
10095;675199
10096;676845
10097;677500
10098;679131
10099;683018
10100;683189
10101;686298
10102;686550
10103;687797
10104;688411
10105;689140
10106;689666
10107;693909
10108;694733
10109;695545
10110;695744
10111;695893
10112;696188
10113;696215
10114;696886
10115;697101
10116;697312
10117;697319
10118;697856
10119;698182
10120;698468
10121;698737
10122;698778
10123;699094
10124;699164
10125;699282
10126;699434
10127;699584
10128;699636
10129;699736
10130;699843
10131;700015
10132;700016
10133;700066
10134;700150
10135;700275
10136;700320
10137;700382
10138;700470
10139;701107
10140;701145
10156;701152
10240;701153
10368;701154
10722;701155
11383;701156
11995;701157
12248;701158
12412;701159
12536;701160
12624;701161
12708;701162
12791;701163
12850;701164
12904;701165
12960;701166
12996;701167
13041;701168
13066;701169
13104;701170
13138;701171
13160;701172
13183;701173
13210;701174
13235;701175
13256;701176
13282;701177
13299;701178
13319;701179
13334;701180
13351;701181
13368;701182
13381;701183
13391;701184
13404;701185
13415;701186
13430;701187
13448;701188
13464;701189
13472;701190
13488;701191
13501;701192
13503;701193
13513;701194
13522;701195
13534;701196
13542;701197
13552;701198
13567;701199
13575;701200
13587;701201
13595;701202
13602;701203
13613;701204
13616;701205
13631;701206
13639;701207
13643;701208
13660;701209
13665;701210
13682;701211
13690;701212
13691;701213
13692;701214
13694;701215
13699;701216
13708;701217
13718;701218
13729;701219
13733;701220
13737;701221
13739;701222
13744;701223
13753;701224
13756;701225
13759;701226
13762;701227
13766;701228
13768;701229
13771;701230
13772;701231
13777;701232
13790;701233
13792;701234
13804;701235
13812;701236
13820;701237
13831;701238
13837;701239
13839;701240
13847;701242
13848;701243
13850;701244
13853;701245
13856;701246
13869;701247
13870;701248
13872;701249
13878;701250
13889;701251
13898;701252
13900;701254
13909;701256
13911;701257
13919;701258
13921;701259
13924;701260
13934;701261
13936;701262
13952;701263
13953;701264
13958;701265
13959;701266
13962;701267
13964;701268
13969;701269
13970;701270
13976;701271
13977;701272
13981;701273
13982;701274
13986;701277
13993;701278
13994;701279
13998;701280
14001;701281
14003;701282
14008;701283
14021;701284
14022;701285
14023;701286
14031;701287
14032;701288
14034;701289
14035;701290
14046;701291
14055;701292
14056;701293
14057;701294
14059;701295
14066;701296
14068;701297
14070;701298
14074;701299
14076;701301
14079;701302
14091;701304
14096;701306
14097;701308
14100;701309
14103;701310
14106;701311
14109;701313
14111;701314
14117;701315
14120;701317
14128;701319
14137;701320
14143;701321
14159;701322
14164;701325
14168;701326
14181;701328
14182;701330
14188;701331
14191;701332
14194;701333
14198;701334
14199;701335
14205;701336
14208;701337
14212;701338
14217;701340
14221;701341
14232;701342
14236;701343
14237;701344
14239;701345
14241;701348
14243;701349
14249;701350
14250;701351
14256;701352
14257;701353
14258;701354
14266;701356
14268;701357
14269;701359
14270;701360
14275;701363
14283;701365
14284;701367
14289;701368
14293;701370
14299;701373
14302;701374
14305;701376
14306;701377
14310;701378
14313;701380
14319;701381
14320;701384
14321;701385
14322;701387
14323;701388
14330;701389
14331;701390
14332;701391
14335;701393
14337;701395
14338;701396
14339;701398
14343;701399
14344;701401
14346;701403
14347;701404
14353;701406
14355;701408
14368;701412
14369;701414
14372;701415
14377;701416
14383;701420
14386;701421
14388;701423
14394;701424
14395;701426
14396;701427
14400;701428
14402;701429
14412;701430
14414;701432
14417;701433
14418;701434
14419;701440
14426;701441
14434;701444
14435;701448
14437;701449
14438;701452
14439;701454
14441;701455
14444;701456
14447;701457
14448;701458
14452;701459
14453;701460
14454;701466
14457;701467
14458;701468
14459;701474
14461;701482
14462;701484
14465;701485
14471;701486
14473;701489
14481;701494
14483;701495
14485;701499
14486;701500
14489;701503
14492;701504
14495;701506
14499;701509
14502;701512
14503;701515
14507;701516
14509;701520
14511;701521
14514;701523
14516;701524
14522;701525
14523;701527
14524;701528
14529;701529
14530;701534
14532;701539
14533;701541
14534;701543
14535;701547
14538;701549
14540;701557
14541;701559
14543;701563
14545;701570
14546;701572
14547;701574
14549;701577
14550;701578
14553;701579
14554;701581
14555;701582
14556;701583
14557;701589
14558;701592
14565;701596
14569;701600
14572;701601
14574;701607
14576;701612
14577;701613
14578;701614
14579;701615
14580;701618
14581;701619
14584;701623
14585;701626
14586;701627
14587;701629
14588;701630
14589;701636
14590;701638
14591;701643
14592;701644
14593;701647
14594;701648
14595;701649
14597;701652
14599;701653
14602;701659
14603;701660
14604;701663
14605;701668
14607;701674
14612;701675
14614;701676
14615;701683
14617;701684
14618;701690
14619;701691
14620;701702
14622;701706
14625;701710
14627;701714
14629;701716
14630;701728
14632;701729
14633;701730
14634;701732
14637;701733
14638;701734
14640;701735
14642;701738
14644;701747
14645;701750
14647;701755
14648;701758
14649;701769
14652;701770
14654;701772
14655;701776
14657;701779
14658;701780
14660;701786
14661;701791
14662;701793
14663;701798
14664;701803
14665;701807
14668;701808
14671;701811
14672;701813
14673;701814
14674;701816
14677;701819
14678;701831
14680;701835
14682;701837
14683;701838
14685;701842
14686;701854
14687;701858
14689;701865
14690;701868
14694;701880
14695;701881
14697;701888
14698;701891
14701;701897
14702;701898
14703;701902
14704;701903
14707;701905
14708;701908
14709;701922
14710;701925
14711;701931
14713;701935
14714;701940
14715;701942
14717;701958
14719;701975
14720;701992
14724;701994
14725;702002
14726;702009
14727;702010
14728;702012
14729;702013
14730;702031
14731;702033
14733;702039
14734;702042
14735;702051
14741;702067
14743;702077
14744;702078
14745;702093
14747;702097
14748;702099
14752;702107
14754;702111
14755;702118
14756;702131
14758;702137
14761;702142
14762;702149
14765;702166
14766;702176
14768;702181
14770;702189
14771;702202
14772;702203
14773;702218
14774;702235
14776;702239
14779;702256
14780;702264
14782;702265
14783;702266
14787;702267
14788;702278
14789;702309
14790;702317
14791;702325
14792;702337
14793;702345
14794;702367
14795;702382
14796;702385
14797;702397
14798;702399
14799;702419
14800;702429
14801;702431
14802;702442
14803;702459
14806;702467
14807;702476
14808;702480
14809;702486
14810;702495
14811;702521
14812;702526
14813;702527
14814;702529
14815;702532
14817;702536
14818;702546
14820;702557
14821;702559
14822;702571
14823;702582
14824;702584
14825;702585
14826;702589
14827;702623
14828;702625
14829;702628
14830;702636
14831;702639
14834;702646
14835;702659
14836;702665
14837;702694
14838;702715
14841;702718
14842;702720
14843;702728
14844;702765
14845;702770
14846;702777
14854;702800
14856;702806
14857;702807
14858;702824
14859;702826
14860;702835
14861;702844
14862;702874
14863;702883
14864;702891
14865;702893
14866;702896
14868;702898
14869;702901
14870;702905
14871;702920
14872;702921
14873;702923
14874;702927
14875;702941
14876;702951
14877;702954
14878;702957
14879;702968
14880;702970
14881;702972
14882;702973
14883;702979
14884;702994
14885;703002
14886;703005
14889;703006
14890;703009
14891;703018
14892;703021
14893;703023
14894;703029
14895;703033
14896;703034
14897;703039
14898;703041
14899;703047
14901;703048
14902;703049
14904;703057
14905;703064
14906;703066
14907;703067
14908;703070
14909;703079
14910;703080
14911;703082
14912;703083
14913;703086
14914;703092
14915;703100
14919;703108
14920;703109
14921;703110
14922;703111
14923;703112
14924;703116
14926;703117
14927;703126
14928;703127
14929;703129
14930;703132
14932;703136
14933;703139
14934;703143
14936;703144
14937;703145
14938;703146
14940;703150
14942;703152
14943;703154
14946;703156
14948;703157
14949;703160
14951;703161
14954;703163
14956;703164
14958;703166
14959;703167
14960;703168
14962;703169
14963;703170
14964;703171
14965;703172
14966;703173
14967;703174
14968;703177
14970;703178
14971;703180
14975;703181
14978;703184
14980;703185
14981;703186
14983;703187
14984;703188
14985;703189
14987;703191
14990;703192
14993;703193
14996;703194
15000;703197
15001;703198
15006;703199
15009;703200
15014;703201
15017;703202
15022;703203
15025;703204
15029;703205
15034;703206
15039;703207
15043;703208
15049;703209
15055;703210
15071;703211
15092;703212
15130;703213
15141;703214
15142;703224
15143;703259
15144;703486
15145;703636
15146;703753
15147;703793
15148;703885
15149;703939
15150;704039
15151;704101
15152;704108
15153;704135
15155;704150
15156;704695
15157;704731
15158;704883
15159;705012
15160;705045
15161;705055
15162;705097
15163;705145
15164;705296
15165;705374
15166;705412
15170;705489
15171;705500
15172;705514
15173;705651
15174;705715
15175;705999
15176;706091
15177;706170
15178;706211
15179;706230
15180;706314
15181;706383
15182;706422
15183;706514
15184;706573
15185;706577
15186;707134
15188;707320
15191;707385
15195;707423
15196;707691
15197;708007
15198;708205
15199;708240
15200;708380
15201;708502
15202;708850
15203;709049
15204;709229
15205;709260
15206;709348
15207;709349
15208;709395
15209;709542
15211;710051
15215;710154
15219;710211
15221;711452
15222;711673
15223;712500
15224;712509
15226;712757
15227;712939
15228;713096
15229;713389
15230;713419
15231;713973
15234;714134
15235;715425
15236;718607
15237;719322
15238;719716
15252;720722
15253;724379
15254;726283
15255;727273
15256;731036
15257;734550
15259;734754
15260;735760
15261;737586
15262;737607
15263;745279
15284;745823
15285;754581
15286;755154
15287;755774
15288;758275
15289;766925
15290;771529
15310;779306
15313;783039
15314;789362
15316;789377
15317;789513
15319;789533
15320;789830
15324;789874
15325;789948
15327;789949
15328;789950
15329;789960
15330;789972
15331;790001
15332;790054
15333;790076
15334;790077
15336;790086
15337;790188
15338;790254
15339;790278
15341;790308
15342;790337
15344;790340
15345;790412
15346;790568
15347;790594
15348;790688
15349;790721
15350;790725
15352;790745
15354;790829
15356;790884
15357;790924
15358;790985
15359;791028
15361;791228
15362;791249
15364;791251
15366;791276
15367;791294
15368;791297
15370;791323
15372;791348
15374;791390
15375;791402
15376;791484
15377;791496
15378;791564
15379;791591
15380;791621
15382;791625
15383;791672
15384;791687
15385;791727
15386;791752
15388;791795
15389;791812
15391;791829
