CumulHa;Price
1382018;0
1385211;1
1385440;2
1385542;3
1385604;4
1385662;5
1385726;6
1385776;7
1385824;8
1385880;9
1385941;10
1386002;11
1386066;12
1386130;13
1386199;14
1386257;15
1386307;16
1386372;17
1386427;18
1386479;19
1386529;20
1386572;21
1386604;22
1386642;23
1386670;24
1386692;25
1386712;26
1386739;27
1386764;28
1386789;29
1386811;30
1386826;31
1386854;32
1386883;33
1386911;34
1386933;35
1386944;36
1386955;37
1386967;38
1386989;39
1387016;40
1387038;41
1387049;42
1387064;43
1387079;44
1387097;45
1387109;46
1387119;47
1387129;48
1387137;49
1387152;50
1387168;51
1387182;52
1387192;53
1387196;54
1387204;55
1387208;56
1387218;57
1387231;58
1387242;59
1387254;60
1387266;61
1387275;62
1387280;63
1387287;64
1387295;65
1387304;66
1387314;67
1387325;68
1387332;69
1387339;70
1387346;71
1387357;72
1387366;73
1387372;74
1387381;75
1387389;76
1387396;77
1387404;78
1387409;79
1387412;80
1387417;81
1387420;82
1387423;83
1387426;84
1387427;85
1387431;86
1387433;87
1387439;88
1387446;89
1387453;90
1387456;91
1387460;92
1387461;94
1387466;95
1387469;96
1387472;97
1387476;99
1387478;100
1387479;101
1387485;102
1387488;103
1387495;104
1387499;106
1387506;107
1387508;108
1387510;109
1387514;110
1387515;111
1387520;112
1387528;113
1387530;114
1387541;115
1387545;116
1387548;117
1387554;118
1387557;119
1387561;120
1387564;121
1387568;122
1387573;123
1387579;124
1387584;125
1387586;126
1387592;127
1387598;128
1387600;129
1387602;130
1387609;131
1387612;132
1387615;133
1387620;134
1387622;135
1387631;136
1387633;137
1387637;138
1387640;139
1387641;140
1387647;141
1387652;142
1387657;143
1387660;144
1387662;146
1387665;147
1387666;148
1387667;149
1387668;150
1387670;151
1387672;153
1387673;154
1387676;155
1387678;156
1387680;157
1387683;159
1387686;160
1387688;161
1387689;164
1387690;165
1387692;167
1387693;168
1387694;169
1387695;171
1387697;175
1387698;177
1387699;178
1387700;179
1387701;181
1387707;182
1387708;183
1387709;185
1387710;186
1387714;188
1387717;189
1387718;190
1387721;192
1387722;193
1387725;194
1387728;195
1387729;196
1387734;198
1387736;200
1387737;201
1387739;202
1387740;204
1387742;205
1387744;206
1387747;207
1387748;208
1387749;209
1387751;210
1387752;211
1387756;213
1387758;214
1387759;216
1387760;217
1387762;220
1387763;222
1387766;224
1387768;225
1387771;226
1387772;227
1387774;230
1387776;231
1387777;236
1387778;237
1387779;238
1387780;239
1387781;241
1387783;243
1387784;244
1387785;246
1387787;248
1387788;249
1387789;252
1387790;256
1387791;264
1387792;269
1387793;270
1387794;271
1387795;272
1387796;273
1387797;275
1387798;276
1387799;277
1387801;278
1387802;279
1387804;281
1387805;282
1387807;283
1387808;284
1387809;286
1387810;287
1387811;290
1387813;293
1387814;295
1387815;296
1387816;297
1387817;298
1387820;299
1387822;300
1387823;301
1387825;302
1387826;303
1387829;304
1387830;305
1387831;311
1387832;314
1387833;319
1387834;322
1387836;324
1387837;327
1387839;329
1387840;330
1387841;334
1387843;336
1387844;344
1387846;345
1387848;347
1387849;348
1387850;349
1387852;351
1387853;355
1387855;356
1387857;359
1387859;360
1387861;362
1387863;363
1387865;364
1387866;365
1387867;366
1387869;368
1387870;371
1387871;372
1387874;374
1387875;375
1387876;382
1387877;383
1387878;391
1387879;392
1387881;394
1387883;398
1387884;399
1387885;401
1387886;406
1387887;412
1387888;415
1387890;417
1387891;421
1387893;422
1387895;423
1387896;427
1387897;429
1387898;436
1387899;442
1387900;443
1387901;450
1387902;460
1387903;461
1387906;463
1387907;465
1387908;474
1387909;476
1387911;486
1387912;488
1387913;493
1387915;494
1387916;498
1387918;500
1387919;505
1387920;509
1387921;511
1387922;512
1387923;528
1387924;536
1387926;538
1387928;539
1387929;543
1387930;544
1387932;555
1387933;556
1387934;557
1387935;572
1387936;574
1387937;575
1387938;583
1387939;584
1387941;586
1387942;588
1387943;594
1387944;601
1387945;609
1387946;613
1387947;616
1387948;617
1387949;622
1387950;623
1387951;625
1387952;626
1387953;627
1387956;628
1387958;629
1387960;631
1387961;632
1387962;633
1387963;636
1387965;637
