CumulHa;Price
12860570;0
13182490;1
13217141;2
13269154;3
13619423;4
13633884;5
13633995;6
13634095;7
13634189;8
13634264;9
13634323;10
13634377;11
13634430;12
13634477;13
13634510;14
13634550;15
13634599;16
13634638;17
13634682;18
13634717;19
13634738;20
13634777;21
13634804;22
13634836;23
13634863;24
13634909;25
13634936;26
13634968;27
13634996;28
13635022;29
13635048;30
13635076;31
13635103;32
13635127;33
13635158;34
13635181;35
13635202;36
13635220;37
13635241;38
13635261;39
13635282;40
13635301;41
13635327;42
13635349;43
13635362;44
13635377;45
13635390;46
13635410;47
13635425;48
13635441;49
13635470;50
13635480;51
13635487;52
13635505;53
13635524;54
13635533;55
13635540;56
13635551;57
13635567;58
13635578;59
13635595;60
13635607;61
13635616;62
13635629;63
13635642;64
13635664;65
13635675;66
13635685;67
13635691;68
13635699;69
13635711;70
13635716;71
13635728;72
13635737;73
13635748;74
13635756;75
13635764;76
13635771;77
13635776;78
13635782;79
13635786;80
13635792;81
13635797;82
13635804;83
13635810;84
13635816;85
13635824;86
13635829;87
13635831;88
13635837;89
13635845;90
13635851;91
13635855;92
13635862;93
13635865;94
13635869;95
13635877;96
13635880;97
13635889;98
13635896;99
13635900;100
13635902;102
13635907;103
13635910;104
13635911;105
13635916;106
13635918;107
13635920;109
13635924;110
13635931;111
13635937;112
13635942;113
13635945;114
13635948;115
13635953;116
13635958;117
13635962;118
13635969;119
13635974;120
13635976;122
13635978;123
13635982;124
13635984;125
13635986;126
13635987;127
13635991;128
13635993;129
13635995;131
13635996;132
13635997;133
13636000;136
13636001;137
13636002;138
13636006;139
13636008;140
13636009;141
13636011;142
13636013;143
13636015;144
13636017;145
13636020;146
13636024;147
13636026;148
13636027;149
13636029;150
13636030;151
13636033;153
13636038;154
13636041;155
13636044;156
13636046;157
13636047;160
13636050;161
13636053;162
13636059;163
13636061;165
13636062;166
13636064;167
13636066;168
13636068;169
13636070;170
13636074;171
13636075;172
13636076;173
13636077;174
13636080;175
13636082;178
13636084;179
13636087;180
13636090;181
13636092;182
13636093;184
13636094;185
13636095;186
13636102;187
13636104;189
13636105;190
13636106;191
13636109;192
13636111;194
13636113;195
13636114;196
13636115;197
13636117;199
13636118;200
13636121;201
13636123;202
13636126;203
13636128;204
13636130;205
13636132;207
13636133;208
13636135;209
13636137;210
13636139;212
13636141;213
13636142;215
13636143;216
13636146;217
13636147;218
13636151;220
13636152;221
13636153;222
13636155;223
13636159;224
13636160;226
13636161;228
13636162;229
13636164;230
13636167;234
13636168;235
13636172;236
13636173;237
13636175;238
13636178;240
13636180;241
13636182;244
13636183;245
13636186;246
13636188;247
13636189;248
13636190;249
13636192;252
13636197;253
13636199;255
13636200;256
13636201;257
13636202;258
13636204;259
13636205;261
13636207;262
13636208;263
13636209;264
13636210;265
13636212;266
13636214;268
13636216;270
13636218;271
13636219;273
13636221;274
13636222;275
13636223;276
13636225;278
13636228;279
13636229;280
13636230;281
13636232;282
13636234;283
13636235;284
13636238;285
13636240;286
13636242;288
13636244;289
13636245;290
13636247;292
13636248;295
13636250;296
13636251;298
13636252;300
13636253;301
13636256;302
13636259;303
13636263;304
13636267;305
13636269;306
13636270;307
13636275;308
13636279;309
13636281;310
13636283;311
13636286;312
13636289;314
13636292;315
13636293;317
13636295;318
13636296;319
13636298;320
13636299;321
13636302;323
13636305;325
13636308;326
13636310;327
13636313;328
13636314;330
13636316;331
13636317;332
13636318;333
13636319;335
13636321;336
13636324;337
13636326;338
13636327;339
13636331;340
13636334;341
13636335;343
13636336;344
13636337;345
13636340;347
13636341;348
13636343;351
13636345;352
13636346;353
13636349;356
13636350;357
13636353;360
13636356;361
13636358;362
13636364;363
13636366;364
13636367;365
13636368;366
13636370;368
13636371;369
13636373;370
13636374;371
13636375;375
13636378;378
13636380;379
13636382;381
13636383;382
13636385;383
13636387;385
13636390;386
13636391;389
13636392;390
13636394;391
13636396;392
13636399;393
13636400;394
13636404;395
13636405;396
13636406;398
13636408;399
13636409;400
13636410;401
13636411;402
