Region;Code;Label;count
PL11;FORFOR;Forest land remaining Forest land;437448
PL11;CRPCRP;Cropland remaining Cropland;1051718
PL11;CRPGRS;Cropland converted to Grassland;9513
PL11;CRPART;Cropland converted to Artificial land;4786
PL11;GRSCRP;Grassland converted to Cropland;18119
PL11;GRSGRS;Grassland remaining Grassland;152859
PL11;GRSART;Grassland converted to Artificial land;1379
PL11;ARTART;Artificial land remaining Artificial land;113171
PL12;FORFOR;Forest land remaining Forest land;950517
PL12;CRPCRP;Cropland remaining Cropland;1883897
PL12;CRPART;Cropland converted to Artificial land;14216
PL12;GRSCRP;Grassland converted to Cropland;24204
PL12;GRSGRS;Grassland remaining Grassland;384141
PL12;GRSART;Grassland converted to Artificial land;15097
PL12;ARTART;Artificial land remaining Artificial land;221023
PL12;RESRES;Residual land remaining Residual land;156
PL21;FORFOR;Forest land remaining Forest land;501372
PL21;CRPCRP;Cropland remaining Cropland;715151
PL21;CRPGRS;Cropland converted to Grassland;2709
PL21;CRPART;Cropland converted to Artificial land;18140
PL21;GRSGRS;Grassland remaining Grassland;108858
PL21;GRSART;Grassland converted to Artificial land;3876
PL21;ARTART;Artificial land remaining Artificial land;128898
PL21;RESRES;Residual land remaining Residual land;5755
PL22;FORFOR;Forest land remaining Forest land;453743
PL22;CRPCRP;Cropland remaining Cropland;445574
PL22;CRPGRS;Cropland converted to Grassland;1244
PL22;CRPART;Cropland converted to Artificial land;12285
PL22;GRSGRS;Grassland remaining Grassland;103337
PL22;GRSART;Grassland converted to Artificial land;2896
PL22;ARTART;Artificial land remaining Artificial land;173079
PL22;RESRES;Residual land remaining Residual land;250
PL31;FORFOR;Forest land remaining Forest land;656734
PL31;CRPCRP;Cropland remaining Cropland;1409459
PL31;CRPGRS;Cropland converted to Grassland;1548
PL31;CRPART;Cropland converted to Artificial land;3114
PL31;CRPRES;Cropland converted to Residual land;337
PL31;GRSFOR;Grassland converted to Forest land;4292
PL31;GRSCRP;Grassland converted to Cropland;25650
PL31;GRSGRS;Grassland remaining Grassland;250023
PL31;GRSART;Grassland converted to Artificial land;1191
PL31;GRSRES;Grassland converted to Residual land;449
PL31;ARTART;Artificial land remaining Artificial land;121220
PL31;RESRES;Residual land remaining Residual land;325
PL32;FORFOR;Forest land remaining Forest land;771021
PL32;CRPFOR;Cropland converted to Forest land;3
PL32;CRPCRP;Cropland remaining Cropland;720354
PL32;CRPGRS;Cropland converted to Grassland;4295
PL32;CRPART;Cropland converted to Artificial land;3851
PL32;CRPRES;Cropland converted to Residual land;154
