Region;Code;Label;count
SK01;FORFOR;Forest land remaining Forest land;79825
SK01;CRPCRP;Cropland remaining Cropland;90723
SK01;GRSGRS;Grassland remaining Grassland;4204
SK01;GRSART;Grassland converted to Artificial land;155
SK01;ARTART;Artificial land remaining Artificial land;21188
SK01;RESRES;Residual land remaining Residual land;1971
SK02;FORFOR;Forest land remaining Forest land;404601
SK02;FORART;Forest land converted to Artificial land;215
SK02;CRPCRP;Cropland remaining Cropland;931472
SK02;GRSGRS;Grassland remaining Grassland;31486
SK02;ARTART;Artificial land remaining Artificial land;107529
SK02;RESRES;Residual land remaining Residual land;402
SK03;FORFOR;Forest land remaining Forest land;932596
SK03;CRPCRP;Cropland remaining Cropland;452394
SK03;GRSGRS;Grassland remaining Grassland;132778
SK03;GRSART;Grassland converted to Artificial land;132
SK03;ARTART;Artificial land remaining Artificial land;62381
SK03;RESRES;Residual land remaining Residual land;28498
SK04;FORFOR;Forest land remaining Forest land;784451
SK04;FORART;Forest land converted to Artificial land;18
SK04;CRPCRP;Cropland remaining Cropland;571963
SK04;CRPART;Cropland converted to Artificial land;150
SK04;GRSGRS;Grassland remaining Grassland;101866
SK04;ARTART;Artificial land remaining Artificial land;77059
SK04;RESRES;Residual land remaining Residual land;10918
