CumulHa;Price
1399368;0
1407174;100000
1407246;100001
1407247;198403
1407248;198504
1407249;198722
1407250;199405
1407251;199418
1407252;199457
1407253;199622
1407254;199700
1407255;199789
1407256;199862
1407257;199863
1407258;199892
1407260;199904
1407261;199918
1407263;199926
1407264;199930
1407266;199935
1407268;199937
1407269;199938
1407271;199940
1407272;199942
1407273;199944
1407274;199946
1407275;199947
1407277;199948
1407278;199949
1407279;199952
1407280;199953
1407282;199954
1407285;199956
1407288;199957
1407289;199958
1407292;199959
1407294;199960
1407295;199962
1407297;199963
1407300;199964
1407302;199966
1407304;199967
1407308;199968
1407309;199969
1407312;199970
1407316;199971
1407319;199972
1407320;199973
1407324;199974
1407326;199975
1407333;199976
1407338;199977
1407342;199978
1407348;199979
1407351;199980
1407359;199981
1407369;199982
1407382;199983
1407400;199984
1407412;199985
1407427;199986
1407447;199987
1407481;199988
1407516;199989
1407565;199990
1407591;199991
1407632;199992
1407685;199993
1407745;199994
1407840;199995
1408034;199996
1408319;199997
1409121;199998
1633287;199999
2017114;200000
2017166;200001
2017181;200002
2017198;200003
2017220;200004
2017241;200005
2017264;200006
2017286;200007
2017309;200008
2017336;200009
2017364;200010
2017386;200011
2017411;200012
2017431;200013
2017449;200014
2017463;200015
2017476;200016
2017497;200017
2017511;200018
2017526;200019
2017537;200020
2017547;200021
2017553;200022
2017570;200023
2017587;200024
2017599;200025
2017608;200026
2017609;200029
2017611;200036
2017614;200038
2017615;200039
2017616;200041
2017617;200043
2017618;200044
2017619;200045
2017620;200046
2017622;200047
2017625;200048
2017626;200049
2017628;200051
2017631;200052
2017633;200053
2017634;200054
2017635;200060
2017636;200061
2017638;200062
2017640;200063
2017643;200065
2017644;200066
2017645;200068
2017646;200071
2017647;200072
2017648;200077
2017649;200078
2017652;200080
2017653;200083
2017655;200084
2017657;200086
2017658;200087
2017660;200088
2017661;200090
2017663;200092
2017664;200094
2017665;200095
2017666;200096
2017667;200098
2017668;200102
2017669;200103
2017670;200105
2017671;200112
2017672;200117
2017673;200118
2017674;200123
2017676;200125
2017677;200127
2017679;200129
2017680;200134
2017682;200137
2017683;200138
2017684;200139
2017685;200141
2017686;200146
2017687;200147
2017688;200148
2017689;200154
2017691;200158
2017692;200162
2017693;200165
2017694;200172
2017695;200175
2017696;200181
2017697;200183
2017698;200184
2017699;200187
2017700;200189
2017701;200190
2017703;200191
2017704;200193
2017705;200199
2017706;200202
2017707;200205
2017708;200212
2017709;200213
2017710;200214
2017712;200216
2017713;200219
2017714;200220
2017715;200226
2017716;200227
2017717;200228
2017718;200235
2017719;200240
2017720;200241
2017722;200242
2017723;200252
2017724;200253
2017725;200256
2017726;200258
2017727;200260
2017728;200264
2017729;200283
2017730;200289
2017731;200292
2017733;200295
2017734;200298
2017735;200303
2017736;200306
2017737;200313
2017738;200322
2017739;200328
2017740;200332
2017741;200341
2017742;200348
2017743;200351
2017744;200354
2017745;200368
2017746;200377
2017749;200385
2017750;200393
2017751;200412
2017752;200424
2017753;200441
2017754;200454
2017755;200461
2017756;200482
2017757;200488
2017758;200498
2017759;200499
2017760;200502
2017761;200508
2017762;200515
2017763;200521
2017764;200525
2017765;200529
2017766;200534
2017767;200538
2017768;200540
2017769;200541
2017770;200565
2017771;200587
2017772;200588
2017773;200589
2017774;200596
2017775;200602
2017776;200603
2017777;200604
2017778;200615
2017779;200683
2017780;200704
2017781;200706
2017782;200708
2017783;200713
2017784;200721
2017785;200723
2017786;200747
2017787;200752
2017788;200754
2017789;200767
2017790;200808
2017792;200848
2017793;200854
2017794;200859
2017795;200865
2017797;200867
2017798;200916
2017799;200946
2017800;200962
2017801;200975
2017802;201005
2017803;201071
2017804;201074
2017805;201080
2017806;201114
2017807;201129
2017808;201228
2017809;201264
2017810;201265
2017811;201270
2017812;201274
2017813;201289
2017814;201301
2017815;201302
2017817;201319
2017818;201321
2017819;201322
2017820;201330
2017821;201331
2017822;201339
2017823;201345
2017824;201350
2017825;201351
2017826;201356
2017827;201359
2017829;201365
2017831;201377
2017832;201379
2017833;201385
2017834;201393
