CumulHa;Price
193754;0
193755;99851
193756;99874
193757;99886
193758;99905
193759;99990
193760;99991
193761;99992
193762;99993
193763;100000
527052;200000
527058;200001
527063;200002
527078;200003
527089;200004
527102;200005
527107;200006
527111;200007
527115;200008
527124;200009
527129;200010
527134;200011
527143;200012
527151;200013
527158;200014
527166;200015
527173;200016
527177;200017
527182;200018
527195;200019
527202;200020
527209;200021
527225;200022
527235;200023
527246;200024
527256;200025
527266;200026
527276;200027
527283;200028
527296;200029
527304;200030
527318;200031
527323;200032
527334;200033
527346;200034
527358;200035
527372;200036
527380;200037
527395;200038
527408;200039
527423;200040
527434;200041
527442;200042
527456;200043
527476;200044
527494;200045
527502;200046
527523;200047
527533;200048
527549;200049
527561;200050
527572;200051
527590;200052
527599;200053
527613;200054
527628;200055
527636;200056
527654;200057
527684;200058
527708;200059
527723;200060
527738;200061
527754;200062
527780;200063
527799;200064
527814;200065
527832;200066
527844;200067
527870;200068
527890;200069
527915;200070
527949;200071
527980;200072
528010;200073
528040;200074
528066;200075
528094;200076
528119;200077
528147;200078
528172;200079
528204;200080
528240;200081
528265;200082
528290;200083
528326;200084
528359;200085
528387;200086
528422;200087
528449;200088
528475;200089
528501;200090
528527;200091
528559;200092
528581;200093
528615;200094
528652;200095
528682;200096
528720;200097
528760;200098
528799;200099
528842;200100
528886;200101
528939;200102
528971;200103
529018;200104
529061;200105
529107;200106
529153;200107
529203;200108
529244;200109
529292;200110
529348;200111
529403;200112
529465;200113
529532;200114
529606;200115
529714;200116
529849;200117
530025;200118
530159;200119
530367;200120
530770;200121
531809;200122
531822;200123
531823;200401
531824;200889
531825;200937
531826;201142
531827;201179
531828;201539
531829;201562
531830;201877
531831;202076
531832;202644
531833;202648
531834;203199
531835;203202
531836;203231
531837;203288
531838;203441
531839;203550
531840;203596
531841;203651
531842;203757
531843;203760
531844;203809
531845;204037
531846;204773
531847;204903
531848;205100
531849;205375
531850;205408
531851;205581
531852;205737
531853;205768
531854;205933
531855;206162
531856;206225
531857;206244
531858;206292
531859;206768
531860;206819
531861;206942
531862;206961
531863;207006
531864;207079
531865;207081
531866;207199
531867;207317
531868;207619
531869;207681
531870;207692
531871;207777
531872;207818
531873;208397
531874;208477
531875;208974
531876;209645
531877;209651
531878;210178
531879;210201
531880;210307
531881;210345
531882;210429
531883;210513
531884;210719
531885;210756
531886;211326
531887;212035
531888;212426
531889;212689
531890;212965
531891;213033
531892;213159
531893;213208
531894;213256
531895;213454
531896;213993
531897;214153
531898;214324
531899;214560
531900;214923
531901;214980
531902;215019
531903;215073
531904;215113
531905;215343
531906;215690
531907;215966
531908;215992
531909;216039
531910;216521
531911;216542
531912;216698
531913;217768
531914;218113
531915;218335
531916;218896
531917;218978
531918;218997
531919;219023
531920;219121
531921;219235
531922;219374
531923;219454
531924;219497
531925;219638
531926;219731
531927;219781
531928;220337
531929;220605
531930;220760
531931;220855
531932;220899
531933;221095
531934;221224
531935;221251
531936;221300
531937;222093
531938;222129
531939;222181
531940;222895
531941;222994
531942;223169
531943;223354
531944;223398
531945;223717
531946;223820
531947;223907
531948;224236
531949;224412
531950;224758
531951;225011
531952;225153
531953;225310
531954;225358
531955;225418
531956;225439
531957;225446
531958;225556
531959;225678
531960;225878
531961;226048
531962;226099
531963;226165
531964;226195
531965;226337
531966;226374
531967;226489
531968;226568
531969;226726
531970;226900
531971;226930
531972;227108
531973;227184
531974;227467
531975;227620
531976;227711
531977;227721
531978;227827
531979;227870
531980;228019
531981;228215
531982;228344
531983;228392
531984;228507
531985;228539
531986;228748
531987;228867
531988;229075
531989;229110
531990;229201
531991;229308
531992;229679
531993;229889
531994;229966
531995;230077
531996;230116
531997;230450
531998;230891
531999;230892
532000;231213
532001;231482
532002;231734
532003;231778
532004;231970
532005;232358
532006;232397
532007;232420
532008;232477
532009;232490
532010;232790
532011;232972
532012;233213
532013;233504
532014;233599
532015;233620
532016;233637
532017;234144
532018;234207
532019;234512
532020;234651
532021;235420
532022;235459
532023;235530
532024;235660
532025;235870
532026;235884
532027;235975
532028;236131
532029;236145
532030;236526
532031;236828
532032;237028
532033;237033
532034;237181
532035;237244
532036;237272
532037;237343
532038;237363
532039;237442
532040;237591
532041;237730
532042;238375
532043;238888
532044;238889
532045;238896
532046;238940
532047;239033
532048;239078
532049;239212
532050;239348
532051;239422
532052;239506
532053;239551
532054;239737
532055;239774
532056;239942
532057;239986
532058;240010
532059;240173
532060;240236
532061;240383
532062;240567
532063;240600
532064;240629
532065;240654
532066;240728
532067;240744
532068;240975
532069;241380
532070;241427
532071;241540
532072;241853
532073;242323
532074;242379
532075;242483
532076;242614
532077;242713
532078;242833
532079;243759
532080;243770
532081;243990
532082;244039
532083;244083
532084;244126
532085;244131
532086;244361
532087;244660
532088;244744
532089;244806
532090;244882
532091;244895
532092;245128
532093;245139
532094;245463
532095;245608
532096;245643
532097;245803
532098;245816
532099;245840
532100;245854
532101;246153
532102;246325
532103;246453
532104;246457
532105;246884
532106;246887
532107;246891
532108;246979
532109;246980
532110;247095
532111;247140
532112;247176
532113;247206
532114;247308
532115;247433
532116;247588
532117;247755
532118;247792
532119;247794
532120;247940
532121;247944
532122;247982
532123;248409
532124;248727
532125;248929
532126;249058
532127;249081
532128;249206
532129;249501
532130;249572
532131;249592
532132;249786
532133;250147
532134;250215
532135;250345
532136;250375
532137;250420
532138;250667
532139;250686
532140;250767
532141;250809
532142;250865
532143;250901
532144;251054
532145;251190
