Region;Code;Label;count
ES11;FORFOR;Forest land remaining Forest land;2267610
ES11;FORCRP;Forest land converted to Cropland;1
ES11;FORART;Forest land converted to Artificial land;1325
ES11;CRPCRP;Cropland remaining Cropland;532636
ES11;GRSGRS;Grassland remaining Grassland;3331
ES11;GRSART;Grassland converted to Artificial land;324
ES11;ARTART;Artificial land remaining Artificial land;54907
ES11;RESCRP;Residual land converted to Cropland;7
ES11;RESRES;Residual land remaining Residual land;54362
ES12;FORFOR;Forest land remaining Forest land;927736
ES12;FORGRS;Forest land converted to Grassland;1666
ES12;FORART;Forest land converted to Artificial land;38
ES12;CRPCRP;Cropland remaining Cropland;51922
ES12;CRPGRS;Cropland converted to Grassland;980
ES12;GRSGRS;Grassland remaining Grassland;30007
ES12;GRSART;Grassland converted to Artificial land;31
ES12;ARTART;Artificial land remaining Artificial land;15653
ES12;RESGRS;Residual land converted to Grassland;370
ES12;RESRES;Residual land remaining Residual land;7067
ES13;FORFOR;Forest land remaining Forest land;443917
ES13;FORGRS;Forest land converted to Grassland;768
ES13;FORART;Forest land converted to Artificial land;49
ES13;CRPCRP;Cropland remaining Cropland;10318
ES13;CRPGRS;Cropland converted to Grassland;42
ES13;GRSGRS;Grassland remaining Grassland;28586
ES13;GRSART;Grassland converted to Artificial land;13
ES13;ARTART;Artificial land remaining Artificial land;12191
ES13;RESGRS;Residual land converted to Grassland;733
ES13;RESRES;Residual land remaining Residual land;16517
ES21;FORFOR;Forest land remaining Forest land;579621
ES21;FORART;Forest land converted to Artificial land;18
ES21;CRPCRP;Cropland remaining Cropland;92320
ES21;CRPART;Cropland converted to Artificial land;1
ES21;GRSGRS;Grassland remaining Grassland;8428
ES21;GRSART;Grassland converted to Artificial land;118
ES21;ARTART;Artificial land remaining Artificial land;22797
ES21;RESRES;Residual land remaining Residual land;9540
ES22;FORFOR;Forest land remaining Forest land;527174
ES22;FORART;Forest land converted to Artificial land;258
ES22;CRPCRP;Cropland remaining Cropland;396983
ES22;CRPART;Cropland converted to Artificial land;2
ES22;GRSCRP;Grassland converted to Cropland;47
ES22;GRSGRS;Grassland remaining Grassland;13578
ES22;GRSART;Grassland converted to Artificial land;75
ES22;ARTART;Artificial land remaining Artificial land;15275
ES22;RESRES;Residual land remaining Residual land;69348
ES23;FORFOR;Forest land remaining Forest land;242965
ES23;FORCRP;Forest land converted to Cropland;2053
ES23;FORART;Forest land converted to Artificial land;26
ES23;CRPCRP;Cropland remaining Cropland;182325
ES23;GRSCRP;Grassland converted to Cropland;2734
ES23;GRSART;Grassland converted to Artificial land;8
ES23;ARTART;Artificial land remaining Artificial land;7648
ES23;RESCRP;Residual land converted to Cropland;33894
ES23;RESRES;Residual land remaining Residual land;24402
ES24;FORFOR;Forest land remaining Forest land;1575069
ES24;FORART;Forest land converted to Artificial land;54
ES24;CRPCRP;Cropland remaining Cropland;2142767
ES24;GRSCRP;Grassland converted to Cropland;9
ES24;GRSGRS;Grassland remaining Grassland;12759
ES24;GRSART;Grassland converted to Artificial land;729
ES24;ARTART;Artificial land remaining Artificial land;36098
ES24;RESCRP;Residual land converted to Cropland;1
ES24;RESRES;Residual land remaining Residual land;871591
ES30;FORFOR;Forest land remaining Forest land;244476
ES30;FORART;Forest land converted to Artificial land;163
ES30;CRPCRP;Cropland remaining Cropland;238785
ES30;CRPGRS;Cropland converted to Grassland;556
ES30;CRPART;Cropland converted to Artificial land;5
ES30;GRSGRS;Grassland remaining Grassland;47386
ES30;GRSART;Grassland converted to Artificial land;7948
ES30;ARTART;Artificial land remaining Artificial land;78854
ES30;RESRES;Residual land remaining Residual land;144319
ES41;FORFOR;Forest land remaining Forest land;3082990
ES41;FORCRP;Forest land converted to Cropland;90
ES41;FORGRS;Forest land converted to Grassland;1280
ES41;FORART;Forest land converted to Artificial land;440
ES41;CRPCRP;Cropland remaining Cropland;4144264
ES41;CRPGRS;Cropland converted to Grassland;125
ES41;CRPART;Cropland converted to Artificial land;1
ES41;GRSCRP;Grassland converted to Cropland;2879
ES41;GRSGRS;Grassland remaining Grassland;612648
ES41;GRSART;Grassland converted to Artificial land;209
ES41;ARTART;Artificial land remaining Artificial land;94725
ES41;RESCRP;Residual land converted to Cropland;70
ES41;RESGRS;Residual land converted to Grassland;1256
ES41;RESRES;Residual land remaining Residual land;1296222
ES42;FORFOR;Forest land remaining Forest land;2350761
ES42;FORCRP;Forest land converted to Cropland;30500
ES42;FORGRS;Forest land converted to Grassland;2713
ES42;FORART;Forest land converted to Artificial land;276
ES42;CRPCRP;Cropland remaining Cropland;4134560
ES42;GRSCRP;Grassland converted to Cropland;69564
ES42;GRSGRS;Grassland remaining Grassland;111660
ES42;ARTART;Artificial land remaining Artificial land;77856
ES42;RESCRP;Residual land converted to Cropland;379834
ES42;RESGRS;Residual land converted to Grassland;7889
ES42;RESRES;Residual land remaining Residual land;692424
ES43;FORFOR;Forest land remaining Forest land;898120
ES43;FORCRP;Forest land converted to Cropland;18547
ES43;FORGRS;Forest land converted to Grassland;7193
ES43;FORART;Forest land converted to Artificial land;432
ES43;CRPCRP;Cropland remaining Cropland;1226948
ES43;GRSCRP;Grassland converted to Cropland;40579
ES43;GRSGRS;Grassland remaining Grassland;1207855
ES43;ARTART;Artificial land remaining Artificial land;35854
ES43;RESCRP;Residual land converted to Cropland;28797
ES43;RESGRS;Residual land converted to Grassland;4526
ES43;RESRES;Residual land remaining Residual land;592995
ES51;FORFOR;Forest land remaining Forest land;1822877
ES51;FORCRP;Forest land converted to Cropland;26688
ES51;FORGRS;Forest land converted to Grassland;10555
ES51;CRPCRP;Cropland remaining Cropland;990955
ES51;GRSCRP;Grassland converted to Cropland;13126
ES51;GRSGRS;Grassland remaining Grassland;225
ES51;ARTART;Artificial land remaining Artificial land;122892
ES51;RESCRP;Residual land converted to Cropland;117285
ES51;RESGRS;Residual land converted to Grassland;9170
ES51;RESRES;Residual land remaining Residual land;13196
ES52;FORFOR;Forest land remaining Forest land;878032
ES52;FORCRP;Forest land converted to Cropland;19277
ES52;FORGRS;Forest land converted to Grassland;5920
ES52;FORART;Forest land converted to Artificial land;40
ES52;CRPCRP;Cropland remaining Cropland;829255
ES52;GRSCRP;Grassland converted to Cropland;9924
ES52;GRSGRS;Grassland remaining Grassland;24245
ES52;ARTART;Artificial land remaining Artificial land;119100
ES52;RESCRP;Residual land converted to Cropland;375244
ES52;RESGRS;Residual land converted to Grassland;3753
ES52;RESRES;Residual land remaining Residual land;3302
ES53;FORFOR;Forest land remaining Forest land;168064
ES53;FORCRP;Forest land converted to Cropland;752
ES53;FORGRS;Forest land converted to Grassland;1828
ES53;FORART;Forest land converted to Artificial land;433
ES53;CRPCRP;Cropland remaining Cropland;238259
ES53;CRPGRS;Cropland converted to Grassland;22
ES53;GRSCRP;Grassland converted to Cropland;1489
ES53;GRSGRS;Grassland remaining Grassland;6336
ES53;ARTART;Artificial land remaining Artificial land;24428
ES53;RESCRP;Residual land converted to Cropland;2423
ES53;RESGRS;Residual land converted to Grassland;548
ES53;RESRES;Residual land remaining Residual land;36868
ES61;FORFOR;Forest land remaining Forest land;1839573
ES61;FORCRP;Forest land converted to Cropland;299956
ES61;FORGRS;Forest land converted to Grassland;73073
ES61;FORART;Forest land converted to Artificial land;101
ES61;CRPCRP;Cropland remaining Cropland;3942633
ES61;CRPGRS;Cropland converted to Grassland;33
ES61;GRSCRP;Grassland converted to Cropland;208327
ES61;GRSGRS;Grassland remaining Grassland;680603
ES61;ARTART;Artificial land remaining Artificial land;173939
ES61;RESCRP;Residual land converted to Cropland;1054180
ES61;RESGRS;Residual land converted to Grassland;93499
ES61;RESRES;Residual land remaining Residual land;1263
ES62;FORFOR;Forest land remaining Forest land;218731
ES62;FORCRP;Forest land converted to Cropland;920
ES62;FORART;Forest land converted to Artificial land;2
ES62;CRPCRP;Cropland remaining Cropland;597743
ES62;GRSCRP;Grassland converted to Cropland;30621
ES62;GRSART;Grassland converted to Artificial land;161
ES62;ARTART;Artificial land remaining Artificial land;31827
ES62;RESCRP;Residual land converted to Cropland;163280
ES62;RESRES;Residual land remaining Residual land;70043
ES63;FORFOR;Forest land remaining Forest land;435
ES63;FORART;Forest land converted to Artificial land;18
ES63;GRSGRS;Grassland remaining Grassland;65
ES63;ARTART;Artificial land remaining Artificial land;700
ES63;RESRES;Residual land remaining Residual land;557
ES64;FORFOR;Forest land remaining Forest land;73
ES64;FORART;Forest land converted to Artificial land;4
ES64;GRSGRS;Grassland remaining Grassland;338
ES64;GRSART;Grassland converted to Artificial land;4
ES64;ARTART;Artificial land remaining Artificial land;728
ES64;RESRES;Residual land remaining Residual land;53
ES70;FORFOR;Forest land remaining Forest land;117638
ES70;CRPCRP;Cropland remaining Cropland;135232
ES70;GRSGRS;Grassland remaining Grassland;14797
ES70;ARTART;Artificial land remaining Artificial land;38067
ES70;RESRES;Residual land remaining Residual land;82265
