Region;Code;Label;count
SE01;FORFOR;Forest land remaining Forest land;385145
SE01;FORART;Forest land converted to Artificial land;10839
SE01;CRPFOR;Cropland converted to Forest land;26481
SE01;CRPCRP;Cropland remaining Cropland;81992
SE01;CRPGRS;Cropland converted to Grassland;6501
SE01;CRPART;Cropland converted to Artificial land;18528
SE01;CRPRES;Cropland converted to Residual land;166
SE01;GRSGRS;Grassland remaining Grassland;6764
SE01;GRSART;Grassland converted to Artificial land;160
SE01;ARTART;Artificial land remaining Artificial land;77024
SE02;FORFOR;Forest land remaining Forest land;2672862
SE02;FORGRS;Forest land converted to Grassland;7
SE02;FORART;Forest land converted to Artificial land;4046
SE02;CRPFOR;Cropland converted to Forest land;374038
SE02;CRPCRP;Cropland remaining Cropland;598945
SE02;CRPGRS;Cropland converted to Grassland;992
SE02;CRPART;Cropland converted to Artificial land;11526
SE02;CRPRES;Cropland converted to Residual land;428
SE02;GRSFOR;Grassland converted to Forest land;7653
SE02;GRSGRS;Grassland remaining Grassland;29988
SE02;GRSART;Grassland converted to Artificial land;377
SE02;GRSRES;Grassland converted to Residual land;46
SE02;ARTART;Artificial land remaining Artificial land;88834
SE02;RESRES;Residual land remaining Residual land;572
SE04;FORFOR;Forest land remaining Forest land;653470
SE04;FORART;Forest land converted to Artificial land;143
SE04;CRPFOR;Cropland converted to Forest land;34314
SE04;CRPCRP;Cropland remaining Cropland;540498
SE04;CRPGRS;Cropland converted to Grassland;149
SE04;CRPART;Cropland converted to Artificial land;17402
SE04;GRSFOR;Grassland converted to Forest land;220
SE04;GRSCRP;Grassland converted to Cropland;36
SE04;GRSGRS;Grassland remaining Grassland;56768
SE04;GRSART;Grassland converted to Artificial land;2780
SE04;ARTART;Artificial land remaining Artificial land;66972
SE04;RESRES;Residual land remaining Residual land;455
SE06;FORFOR;Forest land remaining Forest land;5548463
SE06;FORGRS;Forest land converted to Grassland;109
SE06;FORART;Forest land converted to Artificial land;1461
SE06;CRPFOR;Cropland converted to Forest land;172467
SE06;CRPCRP;Cropland remaining Cropland;170758
SE06;CRPGRS;Cropland converted to Grassland;11734
SE06;CRPART;Cropland converted to Artificial land;2164
SE06;CRPRES;Cropland converted to Residual land;2
SE06;GRSFOR;Grassland converted to Forest land;1878
SE06;GRSCRP;Grassland converted to Cropland;233
SE06;GRSGRS;Grassland remaining Grassland;7093
SE06;GRSART;Grassland converted to Artificial land;107
SE06;GRSRES;Grassland converted to Residual land;17
SE06;ARTART;Artificial land remaining Artificial land;72704
SE06;RESGRS;Residual land converted to Grassland;68
SE06;RESART;Residual land converted to Artificial land;381
SE06;RESRES;Residual land remaining Residual land;95414
SE07;FORFOR;Forest land remaining Forest land;5553346
SE07;FORGRS;Forest land converted to Grassland;661
SE07;FORART;Forest land converted to Artificial land;2143
SE07;CRPFOR;Cropland converted to Forest land;90744
SE07;CRPCRP;Cropland remaining Cropland;61671
SE07;CRPGRS;Cropland converted to Grassland;17175
SE07;CRPART;Cropland converted to Artificial land;182
SE07;CRPRES;Cropland converted to Residual land;195
SE07;GRSGRS;Grassland remaining Grassland;9643
SE07;GRSART;Grassland converted to Artificial land;7
SE07;GRSRES;Grassland converted to Residual land;35
SE07;ARTART;Artificial land remaining Artificial land;28975
SE07;RESART;Residual land converted to Artificial land;282
SE07;RESRES;Residual land remaining Residual land;729173
SE08;FORFOR;Forest land remaining Forest land;10171437
SE08;FORART;Forest land converted to Artificial land;9447
SE08;CRPFOR;Cropland converted to Forest land;94707
SE08;CRPCRP;Cropland remaining Cropland;58799
SE08;CRPGRS;Cropland converted to Grassland;7741
SE08;CRPART;Cropland converted to Artificial land;338
SE08;CRPRES;Cropland converted to Residual land;182
SE08;GRSGRS;Grassland remaining Grassland;23473
SE08;GRSART;Grassland converted to Artificial land;51
SE08;ARTART;Artificial land remaining Artificial land;43027
SE08;RESART;Residual land converted to Artificial land;83
SE08;RESRES;Residual land remaining Residual land;2125347
SE09;FORFOR;Forest land remaining Forest land;2587428
SE09;FORGRS;Forest land converted to Grassland;74
SE09;FORART;Forest land converted to Artificial land;527
SE09;CRPFOR;Cropland converted to Forest land;265746
SE09;CRPCRP;Cropland remaining Cropland;245788
SE09;CRPGRS;Cropland converted to Grassland;4443
SE09;CRPART;Cropland converted to Artificial land;3313
SE09;CRPRES;Cropland converted to Residual land;222
SE09;GRSFOR;Grassland converted to Forest land;2862
SE09;GRSGRS;Grassland remaining Grassland;66258
SE09;GRSART;Grassland converted to Artificial land;606
SE09;GRSRES;Grassland converted to Residual land;746
SE09;ARTART;Artificial land remaining Artificial land;58146
SE09;RESRES;Residual land remaining Residual land;1049
SE0A;FORFOR;Forest land remaining Forest land;1908748
SE0A;FORART;Forest land converted to Artificial land;1
SE0A;CRPFOR;Cropland converted to Forest land;191223
SE0A;CRPCRP;Cropland remaining Cropland;586159
SE0A;CRPGRS;Cropland converted to Grassland;4258
SE0A;CRPART;Cropland converted to Artificial land;18142
SE0A;CRPRES;Cropland converted to Residual land;1
SE0A;GRSFOR;Grassland converted to Forest land;15
SE0A;GRSGRS;Grassland remaining Grassland;42129
SE0A;GRSART;Grassland converted to Artificial land;1862
SE0A;ARTART;Artificial land remaining Artificial land;92616
SE0A;RESRES;Residual land remaining Residual land;657
