Label;count
Forest land remaining Forest land;3037221
Forest land converted to Cropland;6515
Forest land converted to Grassland;11786
Forest land converted to Artificial land;36670
Cropland converted to Forest land;75
Cropland remaining Cropland;6215861
Cropland converted to Grassland;391682
Cropland converted to Artificial land;169135
Cropland converted to Residual land;100
Grassland converted to Cropland;83629
Grassland remaining Grassland;6533133
Grassland converted to Artificial land;156512
Artificial land remaining Artificial land;1376615
Residual land converted to Cropland;76831
Residual land converted to Grassland;238373
Residual land converted to Artificial land;92866
Residual land remaining Residual land;2734225
