CumulHa;Price
887086;0
1017376;100000
1018205;100001
1018752;100002
1019217;100003
1019316;100004
1019385;133333
1381464;200000
1381557;200001
1381637;200002
1381707;200003
1381765;200004
1381809;200005
1381848;200006
1381888;200007
1381919;200008
1381954;200009
1381977;200010
1382012;200011
1382059;200012
1382089;200013
1382108;200014
1382136;200015
1382173;200016
1382195;200017
1382218;200018
1382245;200019
1382267;200020
1382290;200021
1382303;200022
1382308;200023
1382316;200024
1382319;200025
1382321;200026
1382326;200027
1382328;200028
1382333;200030
1382335;200031
1382338;200032
1382339;200033
1382341;200034
1382343;200035
1382345;200036
1382346;200037
1382348;200040
1382349;200042
1382350;200045
1382351;200050
1382352;200054
1382353;200056
1382354;200060
1382356;200062
1382357;200064
1382358;200065
1382359;200066
1382361;200069
1382362;200072
1382363;200073
1382364;200081
1382365;200087
1382366;200090
1382367;200095
1382368;200099
1382369;200104
1382370;200105
1382371;200111
1382372;200113
1382373;200114
1382374;200117
1382375;200123
1382376;200125
1382377;200131
1382378;200133
1382379;200144
1382380;200147
1382381;200148
1382382;200149
1382383;200152
1382384;200154
1382385;200159
1382387;200161
1382388;200162
1382389;200164
1382390;200169
1382391;200177
1382392;200185
1382393;200190
1382394;200191
1382395;200193
1382396;200197
1382397;200200
1382398;200203
1382399;200214
1382400;200216
1382401;200224
1382402;200227
1382403;200252
1382404;200270
1382405;200279
1382406;200286
1382407;200322
1382408;200331
1382409;200335
1382410;200345
1382411;200367
1382412;200376
1382414;200390
1382415;200401
1382416;200406
1382417;200407
1382418;200432
1382419;200433
1382420;200441
1382421;200455
1382422;200461
1382423;200462
1382424;200467
1382425;200468
1382426;200469
1382428;200480
1382429;200485
1382430;200487
1382431;200500
1382432;200501
1382433;200502
1382434;200524
1382435;200526
1382436;200531
1382437;200540
1382438;200563
1382439;200572
1382441;200581
1382442;200585
1382443;200591
1382444;200594
1382445;200596
1382446;200605
1382447;200627
1382448;200628
1382449;200631
1382450;200636
1382451;200650
1382452;200651
1382453;200659
1382454;200662
1382455;200666
1382456;200670
1382457;200684
1382459;200685
1382460;200703
1382461;200705
1382463;200714
1382464;200726
1382465;200733
1382466;200735
1382467;200754
1382468;200762
1382469;200774
1382470;200781
1382471;200795
1382472;200798
1382474;200799
1382475;200803
1382476;200809
1382477;200815
1382478;200829
1382479;200837
1382480;200863
1382481;200865
1382482;200867
1382483;200871
1382484;200872
1382485;200883
1382487;200896
1382488;200898
1382490;200911
1382491;200944
1382492;200957
1382494;200958
1382495;200963
1382496;200975
1382497;200983
1382498;200987
1382499;200989
1382500;200998
1382501;200999
1382502;201001
1382503;201015
1382504;201018
1382505;201035
