CumulHa;Price
5143948;0
5144745;1
5144750;2
5144756;3
5144761;4
5144763;5
5144765;6
5144767;7
5144771;8
5144772;9
5144776;10
5144777;11
5144782;12
5144786;13
5144788;14
5144791;15
5144799;16
5144803;17
5144808;18
5144813;19
5144816;20
5144819;21
5144827;22
5144833;23
5144840;24
5144841;25
5144845;27
5144850;28
5144856;29
5144860;30
5144863;31
5144868;32
5144869;33
5144872;34
5144877;35
5144878;36
5144883;37
5144885;38
5144889;39
5144892;40
5144899;41
5144904;42
5144908;43
5144912;44
5144916;45
5144917;46
5144926;47
5144927;48
5144930;49
5144933;50
5144939;51
5144940;52
5144943;53
5144946;54
5144948;55
5144952;56
5144956;57
5144960;58
5144961;59
5144962;60
5144968;61
5144972;62
5144976;63
5144978;64
5144983;65
5144988;66
5144989;67
5144993;68
5144994;69
5144999;70
5145003;71
5145004;72
5145006;73
5145011;74
5145014;75
5145020;76
5145029;77
5145036;78
5145037;79
5145041;80
5145046;81
5145048;82
5145049;83
5145051;84
5145053;85
5145059;86
5145062;87
5145066;88
5145072;89
5145076;90
5145078;91
5145079;92
5145085;93
5145090;94
5145096;95
5145099;96
5145100;97
5145104;98
5145108;99
5145111;100
5145116;101
5145119;102
5145127;103
5145128;104
5145130;105
5145133;106
5145138;108
5145141;109
5145142;110
5145144;111
5145145;112
5145147;113
5145150;114
5145155;115
5145158;116
5145159;117
5145167;118
5145174;119
5145176;120
5145181;121
5145190;122
5145193;124
5145197;125
5145205;126
5145208;127
5145210;128
5145214;129
5145215;130
5145218;132
5145220;133
5145223;134
5145225;135
5145228;136
5145229;137
5145236;138
5145238;139
5145245;140
5145246;141
5145249;142
5145257;143
5145258;144
5145264;146
5145270;147
5145273;148
5145277;149
5145281;150
5145282;151
5145285;152
5145289;153
5145292;154
5145299;155
5145302;156
5145306;157
5145308;158
5145311;159
5145315;160
5145320;161
5145322;162
5145327;164
5145334;165
5145339;166
5145346;167
5145349;168
5145352;169
5145355;170
5145360;171
5145364;172
5145371;173
5145375;174
5145378;175
5145380;176
5145385;177
5145389;178
5145391;179
5145394;180
5145401;181
5145405;182
5145408;183
5145411;184
5145418;185
5145422;186
5145429;187
5145434;188
5145435;189
5145439;190
5145446;191
5145453;192
5145455;193
5145459;194
5145464;195
5145468;196
5145473;197
5145478;198
5145481;199
5145483;200
5145484;201
5145487;202
5145490;203
5145496;204
5145497;205
5145501;206
5145504;207
5145508;208
5145512;209
5145514;210
5145518;211
5145521;212
5145528;213
5145534;214
5145538;216
5145540;217
5145544;218
5145548;219
5145553;220
5145558;221
5145561;222
5145566;224
5145567;225
5145570;226
5145571;227
5145577;228
5145579;229
5145583;230
5145586;231
5145589;232
5145592;233
5145594;234
5145598;235
5145602;236
5145609;237
5145615;238
5145620;239
5145622;240
5145626;241
5145628;242
5145633;243
5145636;244
5145639;245
5145643;246
5145649;247
5145651;248
5145652;249
5145659;250
5145665;251
5145668;252
5145671;253
5145675;254
5145681;255
5145684;256
5145688;257
5145693;258
5145699;259
5145704;260
5145707;261
5145712;262
5145720;263
5145723;264
5145732;265
5145735;266
