Region;Code;Label;count
HR00;FORFOR;Forest land remaining Forest land;2684407
HR00;FORCRP;Forest land converted to Cropland;561
HR00;FORART;Forest land converted to Artificial land;231
HR00;CRPCRP;Cropland remaining Cropland;1934777
HR00;CRPGRS;Cropland converted to Grassland;24833
HR00;CRPART;Cropland converted to Artificial land;6068
HR00;GRSCRP;Grassland converted to Cropland;105
HR00;GRSGRS;Grassland remaining Grassland;273189
HR00;GRSART;Grassland converted to Artificial land;7227
HR00;GRSRES;Grassland converted to Residual land;7
HR00;ARTART;Artificial land remaining Artificial land;177845
HR00;RESCRP;Residual land converted to Cropland;25
HR00;RESRES;Residual land remaining Residual land;368800
