CumulHa;Price
2496853;0
2497271;1
2497485;2
2497717;3
2497939;4
2498148;5
2498255;6
2498256;9
2498260;12
2498262;16
2498263;18
2498264;20
2498266;21
2498268;22
2498270;24
2498271;25
2498274;27
2498275;30
2498277;31
2498280;34
2498281;36
2498282;38
2498283;39
2498284;40
2498285;41
2498287;43
2498289;46
2498291;48
2498292;49
2498294;50
2498296;52
2498297;55
2498299;56
2498300;57
2498302;61
2498303;62
2498305;63
2498306;64
2498307;65
2498308;66
2498309;67
2498310;70
2498311;71
2498312;73
2498313;74
2498315;75
2498316;76
2498317;77
2498318;78
2498321;79
2498322;80
2498324;82
2498327;84
2498328;85
2498330;86
2498331;91
2498332;93
2498333;96
2498335;99
2498336;102
2498337;103
2498338;104
2498341;106
2498342;107
2498343;116
2498344;119
2498346;120
2498347;121
2498349;124
2498350;125
2498353;126
2498355;127
2498356;129
2498357;130
2498358;131
2498360;132
2498361;134
2498362;135
2498364;137
2498365;141
2498366;143
2498368;144
2498369;146
2498370;147
2498371;149
2498373;152
2498374;154
2498377;156
2498379;157
2498380;159
2498381;160
2498382;163
2498384;164
2498385;167
2498387;169
2498388;170
2498390;171
2498391;172
2498392;173
2498393;176
2498394;177
2498395;178
2498397;180
2498398;185
2498400;187
2498401;192
2498402;193
2498403;198
2498404;199
2498405;201
2498407;202
2498410;203
2498411;204
2498414;205
2498415;207
2498416;211
2498418;212
2498420;213
2498422;219
2498423;220
2498425;226
2498426;227
2498427;229
2498428;230
2498429;231
2498431;232
2498433;236
2498434;237
2498435;238
2498437;239
2498438;243
2498439;244
2498440;247
2498441;248
2498443;249
2498445;253
2498448;254
2498449;257
2498451;259
2498452;260
2498453;261
2498454;262
2498456;263
2498457;265
2498459;266
2498460;267
2498461;268
2498462;271
2498463;273
2498464;274
2498465;275
2498466;278
2498470;280
2498471;282
2498473;284
2498474;286
2498476;287
2498477;288
2498478;289
2498479;290
2498480;291
2498482;292
2498483;293
2498484;294
2498486;295
2498487;296
2498488;300
2498491;302
2498494;303
2498496;304
2498497;305
2498498;306
2498500;307
2498503;312
2498504;313
2498505;315
2498506;316
2498507;317
2498510;323
2498511;324
2498512;326
2498513;329
2498514;330
2498517;332
2498518;334
2498519;335
2498520;337
2498522;341
2498523;344
2498525;345
2498526;347
2498529;348
2498532;349
2498534;350
2498535;352
2498536;354
2498538;355
2498540;356
2498541;359
2498543;362
2498544;363
2498545;364
2498547;366
2498548;367
2498549;368
2498550;369
2498551;371
2498552;372
2498553;373
2498556;375
2498558;376
2498559;377
2498560;380
2498561;382
2498562;383
2498564;384
2498565;385
2498567;390
2498568;391
2498570;394
2498571;396
2498572;399
2498573;400
2498575;404
2498576;405
2498577;406
2498578;407
2498579;408
2498580;410
2498583;411
2498584;412
2498588;414
2498589;416
2498590;418
2498592;422
2498593;425
2498594;430
2498596;431
2498597;432
2498598;433
2498599;436
2498600;437
2498601;438
2498602;439
2498604;441
2498605;444
2498607;445
2498609;447
2498610;448
2498611;449
2498612;451
2498615;452
2498617;455
2498618;458
2498619;460
2498620;462
2498621;463
2498624;467
2498625;471
2498626;473
2498628;475
2498630;476
2498631;477
2498633;479
2498635;480
2498637;482
2498638;483
2498639;485
2498640;488
2498641;490
2498643;494
2498644;497
2498645;499
2498646;501
2498647;502
2498649;504
2498650;505
2498651;507
2498652;508
2498653;510
2498654;511
2498655;513
2498656;514
2498657;516
2498658;517
2498659;519
2498660;522
2498662;523
2498665;525
2498666;527
2498667;528
2498668;529
2498669;530
2498670;531
2498672;532
2498673;533
2498674;539
2498676;540
2498679;541
2498680;543
2498681;544
2498682;545
2498683;546
2498684;548
2498686;550
2498687;553
2498688;554
2498689;555
2498691;556
2498693;559
2498694;560
2498695;563
2498696;564
2498697;566
2498698;571
2498701;572
2498703;573
2498705;574
2498706;576
2498707;577
2498708;579
2498709;580
2498710;581
2498713;582
