Label;count
Forest land remaining Forest land;2518324
Forest land converted to Artificial land;6869
Cropland converted to Forest land;5
Cropland remaining Cropland;1074675
Cropland converted to Grassland;54887
Cropland converted to Artificial land;4723
Grassland converted to Cropland;53
Grassland remaining Grassland;300130
Grassland converted to Artificial land;5002
Artificial land remaining Artificial land;76477
Residual land converted to Artificial land;4137
Residual land remaining Residual land;41738
