Label;count
Forest land remaining Forest land;24208879
Forest land converted to Cropland;3039
Forest land converted to Artificial land;4732
Cropland converted to Forest land;689413
Cropland remaining Cropland;2162432
Cropland converted to Grassland;9698
Cropland converted to Artificial land;27804
Grassland converted to Forest land;1049
Grassland converted to Cropland;88
Grassland remaining Grassland;4666
Grassland converted to Artificial land;812
Artificial land remaining Artificial land;391563
Residual land converted to Artificial land;82
Residual land remaining Residual land;723693
