Region;Code;Label;count
FI13;FORFOR;Forest land remaining Forest land;6438026
FI13;FORCRP;Forest land converted to Cropland;2315
FI13;FORART;Forest land converted to Artificial land;9
FI13;CRPFOR;Cropland converted to Forest land;136030
FI13;CRPCRP;Cropland remaining Cropland;268006
FI13;CRPGRS;Cropland converted to Grassland;2187
FI13;CRPART;Cropland converted to Artificial land;2053
FI13;GRSFOR;Grassland converted to Forest land;81
FI13;GRSCRP;Grassland converted to Cropland;88
FI13;ARTART;Artificial land remaining Artificial land;45268
FI18;FORFOR;Forest land remaining Forest land;2799125
FI18;FORCRP;Forest land converted to Cropland;1768
FI18;FORART;Forest land converted to Artificial land;2307
FI18;CRPFOR;Cropland converted to Forest land;228098
FI18;CRPCRP;Cropland remaining Cropland;791853
FI18;CRPGRS;Cropland converted to Grassland;1211
FI18;CRPART;Cropland converted to Artificial land;21704
FI18;GRSFOR;Grassland converted to Forest land;249
FI18;GRSART;Grassland converted to Artificial land;505
FI18;ARTART;Artificial land remaining Artificial land;162760
FI19;FORFOR;Forest land remaining Forest land;4595326
FI19;FORCRP;Forest land converted to Cropland;923
FI19;FORART;Forest land converted to Artificial land;639
FI19;CRPFOR;Cropland converted to Forest land;225151
FI19;CRPCRP;Cropland remaining Cropland;759622
FI19;CRPGRS;Cropland converted to Grassland;1356
FI19;CRPART;Cropland converted to Artificial land;6386
FI19;GRSFOR;Grassland converted to Forest land;195
FI19;GRSART;Grassland converted to Artificial land;241
FI19;ARTART;Artificial land remaining Artificial land;120616
FI1A;FORFOR;Forest land remaining Forest land;10274367
FI1A;FORART;Forest land converted to Artificial land;1772
FI1A;CRPFOR;Cropland converted to Forest land;146243
FI1A;CRPCRP;Cropland remaining Cropland;268775
FI1A;CRPGRS;Cropland converted to Grassland;8029
FI1A;CRPART;Cropland converted to Artificial land;1461
FI1A;GRSFOR;Grassland converted to Forest land;524
FI1A;GRSGRS;Grassland remaining Grassland;1990
FI1A;GRSART;Grassland converted to Artificial land;23
FI1A;ARTART;Artificial land remaining Artificial land;60067
FI1A;RESART;Residual land converted to Artificial land;93
FI1A;RESRES;Residual land remaining Residual land;723682
FI20;FORFOR;Forest land remaining Forest land;99860
FI20;FORART;Forest land converted to Artificial land;213
FI20;CRPFOR;Cropland converted to Forest land;500
FI20;CRPCRP;Cropland remaining Cropland;18732
FI20;CRPGRS;Cropland converted to Grassland;1770
FI20;CRPART;Cropland converted to Artificial land;180
FI20;GRSGRS;Grassland remaining Grassland;2668
FI20;GRSART;Grassland converted to Artificial land;51
FI20;ARTART;Artificial land remaining Artificial land;2852
