Region;Code;Label;count
DE11;FORFOR;Forest land remaining Forest land;357299
DE11;CRPCRP;Cropland remaining Cropland;441024
DE11;CRPART;Cropland converted to Artificial land;20
DE11;GRSCRP;Grassland converted to Cropland;19
DE11;GRSGRS;Grassland remaining Grassland;139016
DE11;GRSART;Grassland converted to Artificial land;346
DE11;ARTART;Artificial land remaining Artificial land;109337
DE11;RESRES;Residual land remaining Residual land;1159
DE12;FORFOR;Forest land remaining Forest land;335596
DE12;FORCRP;Forest land converted to Cropland;81
DE12;CRPCRP;Cropland remaining Cropland;204334
DE12;CRPGRS;Cropland converted to Grassland;51
DE12;CRPART;Cropland converted to Artificial land;671
DE12;GRSGRS;Grassland remaining Grassland;57913
DE12;ARTART;Artificial land remaining Artificial land;79407
DE12;RESRES;Residual land remaining Residual land;491
DE13;FORFOR;Forest land remaining Forest land;441705
DE13;FORCRP;Forest land converted to Cropland;14793
DE13;CRPCRP;Cropland remaining Cropland;204215
DE13;CRPART;Cropland converted to Artificial land;933
DE13;GRSCRP;Grassland converted to Cropland;3361
DE13;GRSGRS;Grassland remaining Grassland;186705
DE13;GRSART;Grassland converted to Artificial land;109
DE13;ARTART;Artificial land remaining Artificial land;71796
DE13;RESCRP;Residual land converted to Cropland;108
DE13;RESRES;Residual land remaining Residual land;699
DE14;FORFOR;Forest land remaining Forest land;294414
DE14;FORCRP;Forest land converted to Cropland;5963
DE14;CRPCRP;Cropland remaining Cropland;300994
DE14;GRSCRP;Grassland converted to Cropland;2679
DE14;GRSGRS;Grassland remaining Grassland;203845
DE14;GRSART;Grassland converted to Artificial land;1978
DE14;ARTART;Artificial land remaining Artificial land;65341
DE14;RESCRP;Residual land converted to Cropland;20
DE14;RESRES;Residual land remaining Residual land;7159
DE21;FORFOR;Forest land remaining Forest land;649696
DE21;CRPCRP;Cropland remaining Cropland;494207
DE21;CRPART;Cropland converted to Artificial land;832
DE21;GRSCRP;Grassland converted to Cropland;1855
DE21;GRSGRS;Grassland remaining Grassland;389016
DE21;GRSART;Grassland converted to Artificial land;5587
DE21;ARTART;Artificial land remaining Artificial land;122846
DE21;RESCRP;Residual land converted to Cropland;5478
DE21;RESRES;Residual land remaining Residual land;8283
DE22;FORFOR;Forest land remaining Forest land;333936
DE22;FORCRP;Forest land converted to Cropland;8
DE22;CRPCRP;Cropland remaining Cropland;445199
DE22;CRPART;Cropland converted to Artificial land;751
DE22;GRSCRP;Grassland converted to Cropland;4316
DE22;GRSGRS;Grassland remaining Grassland;184574
DE22;ARTART;Artificial land remaining Artificial land;49203
DE22;RESCRP;Residual land converted to Cropland;936
DE22;RESRES;Residual land remaining Residual land;2598
DE23;FORFOR;Forest land remaining Forest land;416970
DE23;FORART;Forest land converted to Artificial land;1
DE23;CRPCRP;Cropland remaining Cropland;312605
DE23;GRSCRP;Grassland converted to Cropland;62
DE23;GRSGRS;Grassland remaining Grassland;171752
DE23;GRSART;Grassland converted to Artificial land;1091
DE23;ARTART;Artificial land remaining Artificial land;45815
DE23;RESRES;Residual land remaining Residual land;12445
DE24;FORFOR;Forest land remaining Forest land;297697
DE24;FORCRP;Forest land converted to Cropland;2567
DE24;CRPCRP;Cropland remaining Cropland;237312
DE24;CRPART;Cropland converted to Artificial land;3
DE24;GRSCRP;Grassland converted to Cropland;555
DE24;GRSGRS;Grassland remaining Grassland;136589
DE24;GRSART;Grassland converted to Artificial land;62
DE24;ARTART;Artificial land remaining Artificial land;43964
DE24;RESRES;Residual land remaining Residual land;161
DE25;FORFOR;Forest land remaining Forest land;254967
DE25;FORCRP;Forest land converted to Cropland;44
DE25;CRPCRP;Cropland remaining Cropland;278038
DE25;GRSCRP;Grassland converted to Cropland;19
DE25;GRSGRS;Grassland remaining Grassland;131312
DE25;GRSART;Grassland converted to Artificial land;174
DE25;ARTART;Artificial land remaining Artificial land;52672
DE25;RESCRP;Residual land converted to Cropland;2
DE25;RESRES;Residual land remaining Residual land;540
DE26;FORFOR;Forest land remaining Forest land;359657
DE26;FORCRP;Forest land converted to Cropland;42
DE26;CRPCRP;Cropland remaining Cropland;340742
DE26;GRSCRP;Grassland converted to Cropland;248
DE26;GRSGRS;Grassland remaining Grassland;84884
DE26;GRSART;Grassland converted to Artificial land;100
DE26;ARTART;Artificial land remaining Artificial land;53734
DE26;RESRES;Residual land remaining Residual land;5838
DE27;FORFOR;Forest land remaining Forest land;298827
DE27;CRPCRP;Cropland remaining Cropland;294069
DE27;GRSCRP;Grassland converted to Cropland;272
DE27;GRSGRS;Grassland remaining Grassland;296961
DE27;GRSART;Grassland converted to Artificial land;3109
DE27;ARTART;Artificial land remaining Artificial land;70352
DE27;RESCRP;Residual land converted to Cropland;2845
DE27;RESRES;Residual land remaining Residual land;15980
DE30;FORFOR;Forest land remaining Forest land;24203
DE30;CRPCRP;Cropland remaining Cropland;2115
DE30;GRSGRS;Grassland remaining Grassland;2175
