Label;count
Forest land remaining Forest land;11392360
Forest land converted to Cropland;34392
Forest land converted to Artificial land;1097
Cropland remaining Cropland;13766292
Cropland converted to Grassland;70742
Cropland converted to Artificial land;167361
Grassland converted to Cropland;22634
Grassland remaining Grassland;6285355
Grassland converted to Artificial land;36019
Artificial land remaining Artificial land;2877559
Residual land converted to Cropland;9751
Residual land converted to Artificial land;123
Residual land remaining Residual land;201920
