CumulHa;Price
1047615;0
1047616;1
1047620;2
1047623;3
1047625;5
1047628;6
1047630;10
1047631;11
1047634;12
1047637;13
1047638;14
1047639;15
1047641;19
1047642;20
1047643;23
1047647;24
1047649;27
1047650;28
1047652;29
1047653;30
1047656;32
1047658;33
1047660;35
1047661;37
1047663;38
1047665;40
1047669;41
1047671;42
1047674;43
1047676;44
1047677;45
1047682;46
1047684;47
1047685;48
1047690;49
1047691;50
1047693;52
1047696;53
1047697;55
1047699;56
1047700;57
1047701;61
1047704;62
1047705;63
1047706;64
1047708;66
1047710;67
1047713;68
1047715;69
1047716;70
1047718;71
1047721;73
1047723;74
1047725;76
1047727;77
1047730;78
1047733;79
1047734;81
1047735;82
1047736;84
1047737;85
1047738;86
1047740;87
1047741;89
1047742;90
1047743;91
1047744;92
1047747;93
1047750;94
1047753;95
1047755;97
1047758;98
1047760;100
1047762;102
1047765;103
1047766;105
1047770;106
1047774;107
1047779;108
1047781;109
1047783;110
1047784;112
1047785;113
1047786;114
1047788;116
1047789;117
1047795;119
1047797;120
1047798;121
1047802;122
1047804;123
1047806;125
1047809;128
1047810;129
1047812;130
1047814;132
1047820;133
1047823;135
1047824;136
1047825;137
1047826;138
1047829;139
1047831;140
1047832;141
1047834;142
1047835;143
1047836;144
1047839;146
1047841;147
1047842;150
1047844;151
1047845;152
1047846;153
1047849;155
1047852;156
1047855;157
1047858;158
1047861;159
1047863;160
1047866;161
1047868;162
1047871;164
1047872;165
1047873;166
1047874;167
1047876;170
1047877;171
1047878;172
1047879;173
1047880;174
1047882;175
1047886;176
1047888;177
1047890;178
1047892;179
1047894;180
1047896;181
1047899;182
1047900;183
1047903;184
1047907;185
1047909;186
1047910;188
1047913;189
1047917;190
1047920;191
1047921;192
1047922;195
1047924;196
1047926;197
1047927;198
1047928;199
1047930;200
1047933;201
1047934;202
1047935;203
1047936;204
1047937;206
1047938;207
1047943;208
1047944;211
1047945;212
1047948;213
1047950;214
1047951;216
1047953;218
1047955;219
1047958;220
1047960;222
1047963;223
1047964;224
1047965;225
1047969;226
1047970;228
1047973;229
1047975;230
1047978;233
1047979;235
1047980;236
1047987;237
1047988;238
1047991;239
1047994;240
1047997;241
1047998;243
1048000;244
1048002;245
1048005;247
1048008;249
1048010;250
1048014;252
1048016;253
1048018;254
1048022;255
1048023;256
1048024;257
1048026;258
1048030;259
1048032;260
1048033;262
1048036;263
1048038;264
1048040;266
1048042;267
1048044;268
1048045;269
1048048;270
1048049;271
1048050;274
1048051;276
1048053;277
1048054;278
1048055;279
1048058;280
1048062;281
1048065;283
1048066;284
1048069;285
1048071;286
1048072;287
1048074;288
1048076;290
1048077;292
1048079;293
1048080;295
1048082;297
1048085;298
1048088;299
1048090;300
1048092;301
1048098;302
1048099;303
1048100;304
1048101;306
1048103;307
1048106;308
1048110;309
1048111;311
1048112;312
1048114;313
1048115;314
1048116;316
1048117;317
1048121;318
1048125;319
1048127;320
1048129;321
1048130;322
1048133;324
1048135;325
1048136;326
1048138;327
1048142;328
1048143;329
1048145;330
1048147;331
1048148;333
1048149;334
1048150;335
1048152;336
1048153;337
1048154;338
1048156;340
1048157;342
