CumulHa;Price
1044262;0
1044263;3219
1044264;6840
1044265;7836
1044266;8119
1044267;8138
1044268;8245
1044269;8303
1044270;8429
1044271;9036
1044272;9256
1044273;9323
1044274;9332
1044275;9396
1044276;9476
1044277;9490
1044278;9548
1044279;9657
1044280;9694
1044281;9697
1044282;9845
1044283;9899
1044284;9924
1044285;10078
1044286;10208
1044287;10226
1044288;10311
1044289;10318
1044290;10377
1044292;10518
1044293;10619
1044294;10659
1044295;10718
1044296;10951
1044297;11178
1044298;11199
1044299;11328
1044300;15572
1044301;28445
1044302;28604
1044303;30488
1044305;31863
1044307;32005
1044308;32944
1044309;33294
1044311;33862
1044312;36001
1044313;38474
1044314;199549
1044315;199570
1044316;199584
1044317;199590
1044319;199598
1044320;199605
1044321;199669
1044322;199670
1044323;199672
1044324;199679
1044325;199684
1044326;199687
1044327;199690
1044328;199698
1044329;199704
1044330;199711
1044331;199717
1044332;199728
1044333;199734
1044335;199747
1044336;199754
1044340;199758
1044341;199761
1044342;199769
1044343;199773
1044344;199788
1044345;199792
1044346;199793
1044347;199797
1044348;199803
1044350;199810
1044351;199816
1044352;199817
1044353;199818
1044354;199819
1044355;199825
1044356;199826
1044357;199830
1044358;199836
1044359;199837
1044360;199846
1044361;199849
1044363;199853
1044364;199866
1044365;199869
1044367;199872
1044368;199876
1044369;199879
1044370;199882
1044371;199883
1044372;199888
1044373;199891
1044374;199893
1044375;199895
1044376;199897
1044378;199899
1044379;199901
1044380;199902
1044381;199903
1044383;199904
1044385;199909
1044386;199913
1044388;199914
1044390;199918
1044391;199920
1044393;199922
1044395;199924
1044397;199925
1044398;199926
1044401;199927
1044404;199928
1044405;199931
1044406;199932
1044408;199933
1044409;199934
1044410;199935
1044411;199937
1044412;199939
1044413;199940
1044416;199942
1044418;199943
1044420;199944
1044424;199945
1044428;199946
1044433;199947
1044435;199949
1044438;199951
1044439;199953
1044440;199954
1044441;199955
1044443;199956
1044445;199957
1044448;199958
1044449;199959
1044455;199960
