CumulHa;Price
14855172;0
14919219;1
15319815;2
15418581;3
15418582;9
15418583;34
15418585;36
15418590;37
15418595;38
15418597;39
15418598;40
15418603;41
15418605;42
15418606;43
15418610;44
15418611;45
15418618;46
15418619;47
15418621;48
15418630;49
15418632;50
15418633;51
15418634;52
15418639;53
15418640;54
15418641;55
15418642;57
15418647;58
15418648;59
15418649;60
15418653;64
15418654;65
15418655;66
15418656;67
15418657;68
15418658;71
15418659;72
15418660;73
15418662;74
15418663;76
15418664;89
15418665;108
15418666;113
15418667;116
15418668;117
15418669;144
15418670;150
15418672;153
15418673;160
15418674;186
15418675;204
15418676;347
15418677;391
15418678;392
15418679;434
15418680;447
15418681;452
15418682;499
15418683;517
15418684;594
15418685;605
15418686;699
15418687;719
15418688;751
15418689;831
15418690;833
15418691;866
15418692;972
15418693;1008
15418694;1048
15418695;1056
15418696;1057
15418697;1181
15418698;1232
15418699;1295
15418700;1446
15418701;1466
15418702;1517
15418703;1585
15418704;1711
15418705;1790
15418706;1920
15418707;1987
15418708;2060
15418709;2094
15418710;2269
15418711;2376
15418712;2402
15418713;2482
15418714;2696
15418715;3134
15418716;3307
15418717;3481
15418718;3622
15418719;3654
15418720;3944
15418721;4010
15418722;4581
15418723;4860
15418724;5141
15418725;5323
15418726;5985
15418727;6431
15418728;6626
15418729;9746
15418730;10067
15418731;10883
15418732;14914
15418733;15647
15418734;17060
15418735;19797
15418736;20781
15418737;22684
15418738;27906
15418739;28905
15418740;37327
15418741;40959
15418742;45039
15418743;45341
15418744;46487
15418745;60123
15418746;96307
15418747;119872
15418748;119909
15418749;120126
15418750;121783
15418751;122667
15418752;124051
15418753;124055
15418754;124125
15418755;125062
15418756;126699
15418757;126726
15418758;126987
15418759;129750
15418760;132437
15418761;133090
15418762;134024
15418763;134803
15418764;135805
15418765;136667
15418766;136706
15418767;137371
15418768;137827
15418769;138083
15418770;138638
15418771;139577
15418772;140106
15418773;140170
15418774;140324
15418775;140560
15418776;140873
15418777;141114
15418778;141382
15418779;141759
15418780;142240
15418781;142578
15418782;143072
15418783;143158
15418784;143280
15418785;143512
15418786;143653
15418787;143680
15418788;143975
15418789;144091
15418790;144305
15418791;144610
15418792;144863
15418793;144938
15418794;144999
15418795;145294
15418796;145712
15418797;145854
15418798;145993
15418799;146217
15418800;146661
15418801;147149
15418802;147989
15418803;148161
15418804;148440
15418805;148648
15418806;148723
15418807;148817
15418808;148843
15418809;148913
15418810;149045
15418811;149158
15418812;149284
15418813;149575
15418814;149908
15418815;150385
15418816;151493
15418817;151572
15418818;152343
15418819;152690
15418820;153142
15418821;153623
15418822;153690
15418823;153856
15418824;154849
15418825;155369
15418826;156388
15418827;156447
15418828;157018
15418829;157546
15418830;157732
15418831;158177
15418832;158576
15418833;159472
15418834;159772
15418835;159906
15418836;160817
15418837;161204
15418838;161793
15418839;161994
15418840;162263
15418841;162708
15418842;163521
15418843;163757
15418844;163804
15418845;164691
15418846;165472
15418847;166565
15418848;167235
15418849;167623
15418850;167858
15418851;168101
15418852;168148
15418853;169416
15418854;171101
15418855;172669
15418856;172818
15418857;173002
15418858;173946
15418859;174329
15418860;174735
15418861;175570
15418862;176820
15418863;177080
15418864;177689
15418865;177975
15418866;178582
15418867;178782
15418868;179042
15418869;180765
15418870;181208
15418871;182226
15418872;182473
15418873;183331
15418874;183589
15418875;184988
15418876;186016
15418877;186227
15418878;187929
15418879;189388
15418880;189675
15418881;190253
15418882;190908
15418883;191258
15418884;191695
15418885;191895
15418886;192655
15418887;195295
15418888;195904
15418889;196245
15418890;196950
15418891;197056
15418892;197165
15418893;197192
15418894;199185
15418895;199308
15418896;199335
15418897;199748
15418899;199998
15418954;199999
15419101;200000
15419113;200001
15419130;200002
15419131;203304
15419132;203365
15419133;203471
15419134;205626
15419135;207221
15419136;208066
15419137;210254
15419138;210854
15419139;211429
15419140;213233
15419141;215625
15419142;215789
15419143;217612
15419144;218474
15419145;218891
15419146;221771
15419147;222511
15419148;225990
15419149;226238
15419150;227334
15419151;228205
15419152;229198
15419153;230708
15419154;230791
15419155;232156
15419156;233970
15419157;233979
15419158;234595
15419159;234626
15419160;235086
15419161;236274
15419162;237472
15419163;239127
15419164;239197
15419165;239226
15419166;241862
15419167;241880
15419168;242399
15419169;242410
15419170;242564
15419171;242861
15419172;242952
15419173;243103
15419174;243119
15419175;243148
15419176;243197
15419177;243244
15419178;243306
15419179;243353
15419180;243607
15419181;243708
15419182;243980
15419183;244167
15419184;244509
15419185;244516
15419186;246186
15419187;246193
15419188;246226
15419189;246293
15419190;246295
15419191;246340
15419192;246425
15419193;246437
15419194;246494
15419195;246558
15419196;246604
15419197;246687
15419198;246849
15419199;246866
15419200;246872
15419201;246899
15419202;247220
15419203;247257
15419204;247579
15419205;247755
15419206;247757
15419207;247765
15419208;247800
15419209;247813
15419210;247831
15419211;247883
15419212;247892
15419213;247896
15419214;248002
15419215;248130
15419216;248151
15419217;248161
15419218;248210
15419219;248310
15419220;248349
15419221;248423
15419222;248447
15419223;248526
15419224;248550
15419225;248600
15419226;248610
15419227;248622
15419228;248668
15419229;248752
15419230;248755
15419231;248779
15419232;248819
15419233;249301
15419234;249325
15419235;249414
15419236;249526
15419237;249545
15419238;249584
15419239;249654
15419240;249784
15419241;249880
15419242;249949
15419243;250164
15419244;250166
15419245;250405
15419246;250680
15419247;250862
15419248;251037
15419249;251257
15419250;251305
15419251;251346
15419252;251395
15419253;251400
15419254;251461
15419255;251588
15419256;251874
15419257;252032
15419258;252060
15419259;252196
15419260;252256
15419261;252581
15419262;252596
15419263;252621
15419264;252660
15419265;253030
15419266;253102
15419267;253239
15419268;253398
15419269;253483
15419270;253620
15419271;253658
15419272;253671
15419273;253696
15419274;253759
15419275;253765
15419276;253882
15419277;253885
15419278;253986
15419279;254236
15419280;254383
15419281;254406
15419282;254525
15419283;254844
15419284;254866
15419285;255053
15419286;255161
15419287;255318
15419288;255333
15419289;255404
15419290;255813
15419291;255991
15419292;256054
15419293;256144
15419294;256179
15419295;256487
15419296;256529
15419297;256645
15419298;256667
15419299;256678
15419300;256751
15419301;256929
15419302;257032
15419303;257055
15419304;257169
15419305;257335
15419306;257370
15419307;257493
15419308;257547
15419309;257561
15419310;257584
15419311;257590
15419312;257624
15419313;257667
15419314;257701
15419315;257721
15419316;257726
15419317;257735
15419318;257858
15419319;257946
15419320;258101
15419321;258233
15419322;258325
15419323;258332
15419324;258335
15419326;258341
15419327;258356
15419328;258357
15419329;258380
15419330;258390
15419331;258438
15419333;258453
15419334;258484
15419335;258543
15419336;258548
15419337;258550
15419338;258602
15419339;258603
15419340;258774
15419342;258782
15419343;258851
15419344;258864
15419345;258878
15419346;258919
15419347;258930
15419348;258953
15419349;259079
15419350;259107
15419351;259123
15419352;259131
15419353;259244
15419354;259253
15419355;259284
15419356;259514
15419357;259652
15419358;259667
15419359;259767
15419360;259799
15419361;259883
15419362;259905
15419363;259976
15419364;260048
15419365;260061
15419367;260195
15419368;260303
15419369;260318
15419370;260327
15419371;260374
15419372;260376
15419373;260400
15419374;260417
15419375;260450
15419376;260453
15419377;260454
15419378;260512
15419379;260552
15419380;260568
15419381;260572
15419382;260616
15419383;260688
15419384;260690
15419385;260691
15419386;260741
15419387;260845
15419388;260867
15419389;260880
15419391;260952
15419392;260957
15419393;260962
15419394;260979
15419395;261001
15419396;261038
15419397;261064
15419398;261120
15419399;261162
15419400;261171
15419401;261185
15419402;261228
15419403;261310
15419404;261353
15419405;261420
15419406;261438
15419407;261524
15419408;261539
15419409;261567
15419410;261608
15419411;261728
15419412;261794
15419413;261865
15419414;261887
15419415;261954
15419417;262046
15419418;262047
15419419;262048
15419420;262057
15419421;262072
15419422;262365
15419423;262460
15419424;262486
15419425;262496
15419426;262566
15419427;262634
15419428;262737
15419429;262819
15419430;262879
15419431;263000
15419432;263065
15419433;263073
15419434;263346
15419435;263360
15419436;263448
15419437;263610
15419438;263620
15419439;263638
15419440;263682
15419441;263713
15419442;263717
15419443;263727
15419444;263745
15419445;263756
15419446;263812
15419447;263817
15419448;263949
15419449;264016
15419450;264076
15419451;264078
15419452;264249
15419453;264282
15419454;264380
15419455;264399
15419456;264447
15419457;264518
15419458;264521
15419459;264526
15419460;264539
15419461;264545
15419462;264576
15419463;264616
15419464;264628
15419465;264633
15419466;264634
15419467;264651
15419468;264708
15419469;264721
15419470;264729
15419471;264788
15419472;264860
15419473;264869
15419474;264922
15419475;264942
15419476;264946
15419477;265055
15419478;265101
15419479;265116
15419480;265178
15419481;265219
15419482;265240
15419483;265268
15419484;265309
15419485;265318
15419486;265320
15419487;265400
15419488;265410
15419489;265420
15419490;265454
15419491;265464
15419492;265511
15419493;265601
15419494;265700
15419495;265703
15419496;265704
15419497;265813
15419498;265821
15419499;265899
15419500;265931
15419501;265969
15419502;266002
15419503;266039
15419504;266069
15419505;266088
15419506;266126
15419507;266316
15419508;266324
15419509;266335
15419510;266343
15419511;266433
15419512;266435
15419513;266482
15419514;266483
15419515;266484
15419516;266489
15419517;266595
15419518;266630
15419519;266639
15419520;266642
15419521;266650
15419522;266664
15419523;266671
15419524;266674
15419525;266695
15419526;266699
15419527;266711
15419528;266717
15419529;266755
15419530;266781
15419531;266805
15419532;266813
15419533;266872
15419534;266881
15419535;266895
15419536;266907
15419537;266913
15419538;266977
15419539;267047
15419540;267054
15419541;267088
15419542;267119
15419543;267184
15419544;267249
15419545;267397
15419546;267525
15419547;267542
15419548;267567
15419549;267587
15419550;267646
15419551;267673
15419552;267713
15419553;267807
15419554;267848
15419555;267888
15419556;267901
15419827;267983
15419828;267990
15419829;267997
15419830;268024
15419831;268027
15419832;268035
15419833;268049
15419834;268069
15419835;268076
15419836;268078
15419837;268105
15419838;268129
15419839;268146
15419840;268150
15419841;268151
15419842;268165
15419843;268187
15419844;268197
15419845;268204
15419846;268211
15419847;268230
15419848;268231
15419849;268246
15419850;268254
15419851;268269
15419852;268272
15419858;268273
15419859;268274
15419861;268275
15419863;268276
15419865;268281
15419867;268284
15419868;268285
15419869;268292
15419871;268294
15419872;268299
15419873;268300
15419874;268305
15419875;268309
15419876;268310
15419878;268316
15419879;268317
15419880;268326
15419881;268376
15419882;268383
15419883;268388
15419884;268389
15419885;268391
15419886;268395
15419887;268399
15419888;268424
15419889;268426
15419890;268438
15419891;268440
15419892;268460
15419893;268466
15419894;268472
15419895;268477
15419896;268481
15419897;268485
15419898;268487
15419899;268498
15419900;268499
15419901;268530
15419902;268536
15419903;268546
15419904;268554
15419905;268555
15419906;268559
15419907;268564
15419908;268569
15419909;268572
15419911;268574
15419912;268576
15419913;268589
15419914;268591
15419915;268628
15419916;268634
15419917;268642
15419918;268647
15419919;268653
15419920;268658
15419921;268661
15419922;268663
15419923;268664
15419924;268674
15419925;268685
15419926;268695
15419927;268717
15419928;268720
15419929;268730
15419930;268737
15419931;268742
15419932;268746
15419933;268751
15419934;268753
15419935;268754
15419936;268784
15419937;268820
15419938;268827
15419939;268833
15419940;268837
15419941;268840
15419942;268842
15419943;268844
15419944;268854
15419945;268881
15419946;268897
15419947;268911
15419948;268918
15419949;268924
15419950;268928
15419951;268932
15419952;268934
15419953;268935
15419954;268945
15419955;268984
15419956;269008
15419957;269010
15419958;269016
15419959;269020
15419960;269024
15419961;269027
15419962;269028
15419963;269058
15419964;269085
15419965;269103
15419966;269109
15419967;269114
15419968;269117
15419969;269121
15419970;269122
15419971;269152
15419972;269157
15419973;269181
15419974;269198
15419975;269203
15419976;269208
15419977;269212
15419978;269215
15419979;269225
15419980;269227
15419981;269228
15419982;269260
15419983;269302
15419984;269308
15419985;269310
15419986;269326
15419987;269370
15419988;269382
15419989;269397
15419990;269404
15419992;269408
15419993;269423
15419995;269431
15419996;269436
15419997;269448
15419999;269505
15420001;269520
15420002;269534
15420003;269546
15420004;269549
15420005;269558
15420006;269568
15420007;269575
15420008;269577
15420009;269600
15420010;269604
15420011;269645
15420012;269657
15420013;269664
15420014;269668
15420015;269677
15420016;269685
15420017;269702
15420018;269705
15420019;269718
15420020;269732
15420021;269745
15420022;269752
15420023;269756
15420024;269778
15420025;269785
15420026;269798
15420027;269802
15420028;269815
15420029;269819
15420030;269833
15420031;269834
15420032;269847
15420033;269852
15420034;269859
15420035;269870
15420036;269880
15420037;269902
15420038;269904
15420039;269914
15420040;269918
15420041;269921
15420042;269935
15420043;269936
15420044;269949
15420045;269973
15420046;269983
15420047;269988
15420048;269992
15420050;269999
15420051;270012
15420052;270029
15420053;270039
15420054;270054
15420055;270078
15420056;270094
15420057;270097
15420058;270105
15420059;270127
15420060;270129
15420061;270131
15420062;270153
15420063;270159
15420064;270167
15420065;270172
15420066;270184
15420067;270194
15420068;270234
15420069;270251
15420070;270275
15420071;270291
15420072;270305
15420073;270311
15420074;270319
15420075;270340
15420076;270356
15420077;270420
15420078;270435
15420079;270440
15420080;270461
15420081;270511
15420082;270536
15420083;270540
15420084;270546
15420085;270551
15420086;270556
15420087;270558
15420088;270568
15420089;270615
15420090;270619
15420091;270623
15420092;270647
15420093;270663
15420094;270671
15420095;270677
15420096;270726
15420097;270773
15420098;270779
15420099;270783
15420100;270786
15420101;270822
15420102;270851
15420105;270903
15420106;270907
15420107;270910
15420108;270950
15420109;270976
15420110;270999
15420111;271017
15420112;271019
15420113;271079
15420114;271098
15420115;271113
15420116;271119
15420117;271138
15420119;271139
15420120;271252
15420121;271260
15420122;271267
15420123;271276
15420124;271298
15420125;271316
15420126;271327
15420127;271353
15420128;271381
15420129;271384
15420130;271417
15420131;271445
15420132;271464
15420133;271488
15420134;271502
15420135;271505
15420146;271526
15420147;271538
15420148;271550
15420149;271568
15420150;271570
15420151;271594
15420152;271622
15420153;271632
15420154;271635
15420155;271658
15420156;271664
15420157;271693
15420158;271720
15420159;271732
15420160;271746
15420161;271752
15420162;271759
15420164;271761
15420165;271768
15420166;271771
15420167;271775
15420168;271789
15420169;271797
15420170;271819
15420171;271848
15420172;271855
15420173;271860
15420174;271874
15420175;271898
15420176;271917
15420177;271935
15420178;271941
15420179;271947
15420180;271971
15420181;271978
15420182;271992
15420183;272004
15420184;272006
15420185;272016
15420186;272021
15420187;272022
15420188;272030
15420189;272046
15420190;272052
15420191;272065
15420192;272066
15420193;272074
15420194;272078
15420195;272108
15420196;272127
15420197;272136
15420198;272153
15420199;272157
15420200;272163
15420201;272177
15420202;272186
15420203;272189
15420204;272209
15420205;272210
15420206;272234
15420207;272263
15420208;272271
15420209;272275
15420210;272285
15420211;272298
15420212;272311
15420213;272321
15420214;272323
15420215;272338
15420217;272345
15420218;272376
15420219;272378
15420220;272396
15420221;272402
15420222;272403
15420223;272408
15420224;272409
15420225;272436
15420226;272447
15420227;272461
15420228;272476
15420229;272482
15420230;272484
15420231;272489
15420232;272515
15420233;272544
15420234;272547
15420235;272601
15420237;272620
15420238;272625
15420239;272631
15420241;272641
15420242;272648
15420243;272655
15420244;272667
15420245;272670
15420247;272684
15420248;272701
15420249;272724
15420250;272734
15420252;272744
15420253;272754
15420254;272759
