Label;count
Forest land remaining Forest land;10266507
Forest land converted to Artificial land;1011
Cropland converted to Forest land;108
Cropland remaining Cropland;15469926
Cropland converted to Grassland;62434
Cropland converted to Artificial land;59254
Cropland converted to Residual land;1881
Grassland converted to Forest land;5251
Grassland remaining Grassland;2777224
Grassland converted to Artificial land;26818
Grassland converted to Residual land;448
Artificial land remaining Artificial land;1676252
Residual land remaining Residual land;32257
