Region;Code;Label;count
PL11;FORFOR;Forest land remaining Forest land;437448
PL11;CRPCRP;Cropland remaining Cropland;1052301
PL11;CRPGRS;Cropland converted to Grassland;9513
PL11;CRPART;Cropland converted to Artificial land;4203
PL11;GRSGRS;Grassland remaining Grassland;171402
PL11;GRSART;Grassland converted to Artificial land;955
PL11;ARTART;Artificial land remaining Artificial land;113171
PL12;FORFOR;Forest land remaining Forest land;950517
PL12;CRPCRP;Cropland remaining Cropland;1867176
PL12;CRPGRS;Cropland converted to Grassland;18024
PL12;CRPART;Cropland converted to Artificial land;12913
PL12;GRSCRP;Grassland converted to Cropland;67
PL12;GRSGRS;Grassland remaining Grassland;414008
PL12;GRSART;Grassland converted to Artificial land;9367
PL12;ARTART;Artificial land remaining Artificial land;221023
PL12;RESRES;Residual land remaining Residual land;156
PL21;FORFOR;Forest land remaining Forest land;501372
PL21;CRPCRP;Cropland remaining Cropland;719550
PL21;CRPGRS;Cropland converted to Grassland;2709
PL21;CRPART;Cropland converted to Artificial land;13741
PL21;GRSGRS;Grassland remaining Grassland;109361
PL21;GRSART;Grassland converted to Artificial land;3373
PL21;ARTART;Artificial land remaining Artificial land;128898
PL21;RESRES;Residual land remaining Residual land;5755
PL22;FORFOR;Forest land remaining Forest land;453743
PL22;CRPCRP;Cropland remaining Cropland;447033
PL22;CRPGRS;Cropland converted to Grassland;1050
PL22;CRPART;Cropland converted to Artificial land;11020
PL22;GRSGRS;Grassland remaining Grassland;103337
PL22;GRSART;Grassland converted to Artificial land;2896
PL22;ARTART;Artificial land remaining Artificial land;173079
PL22;RESRES;Residual land remaining Residual land;250
PL31;FORFOR;Forest land remaining Forest land;656734
PL31;CRPCRP;Cropland remaining Cropland;1405207
PL31;CRPGRS;Cropland converted to Grassland;6184
PL31;CRPART;Cropland converted to Artificial land;2730
PL31;CRPRES;Cropland converted to Residual land;337
PL31;GRSFOR;Grassland converted to Forest land;3185
PL31;GRSGRS;Grassland remaining Grassland;277104
PL31;GRSART;Grassland converted to Artificial land;913
PL31;GRSRES;Grassland converted to Residual land;403
PL31;ARTART;Artificial land remaining Artificial land;121220
PL31;RESRES;Residual land remaining Residual land;325
PL32;FORFOR;Forest land remaining Forest land;771021
PL32;CRPFOR;Cropland converted to Forest land;2
PL32;CRPCRP;Cropland remaining Cropland;721188
PL32;CRPGRS;Cropland converted to Grassland;4295
PL32;CRPART;Cropland converted to Artificial land;3040
PL32;CRPRES;Cropland converted to Residual land;132
PL32;GRSFOR;Grassland converted to Forest land;2120
PL32;GRSGRS;Grassland remaining Grassland;137582
