Label;count
Forest land remaining Forest land;3044133
Forest land converted to Cropland;282370
Forest land converted to Grassland;3570
Forest land converted to Artificial land;3481
Cropland converted to Forest land;7953
Cropland remaining Cropland;3142085
Cropland converted to Grassland;71730
Cropland converted to Artificial land;36815
Grassland converted to Forest land;1208
Grassland converted to Cropland;19957
Grassland remaining Grassland;970960
Grassland converted to Artificial land;16894
Artificial land remaining Artificial land;284149
Residual land converted to Cropland;67360
Residual land converted to Grassland;1260
Residual land converted to Artificial land;236
Residual land remaining Residual land;695549
